date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2015-04-07,TEX,OAK,"W,3-1",99,1.0,0,0,0,0,1,0,0,0.00,3,9,7,4,1,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.12,0.084,0.05%,0.47
2015-04-10,TEX,HOU,"L,1-5",2,1.0,0,0,0,0,2,0,0,0.00,3,8,8,3,3,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.39,0.029,0.02%,0.51
2015-04-11,TEX,HOU,"W,6-2",0,1.0,1,0,0,0,0,0,0,0.00,4,9,8,2,1,1,3,2,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.58,0.044,0.03%,0.51
2015-04-12,TEX,HOU,"L,4-6",0,1.0,0,0,0,0,1,0,0,0.00,3,14,9,3,0,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.83,0.140,0.09%,0.51
2015-04-17,TEX,SEA,"W,3-1",4,1.0,0,0,0,0,2,0,0,0.00,3,16,10,1,3,1,0,0,0,0,,2,0,0,0,0,3,0,0,0,0,0,0,3.38,0.250,0.16%,1.44
2015-04-19,TEX,SEA,"L,10-11",1,1.0,2,1,1,0,2,0,0,1.50,5,17,12,3,4,1,2,2,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.56,0.001,0.00%,-0.54
2015-04-21,TEX,ARI,"W,7-1",1,1.1,0,0,0,0,3,0,0,1.23,4,17,13,3,4,1,0,0,0,0,,2,0,0,0,0,4,0,0,0,0,0,0,1.07,0.115,0.06%,0.98
2015-04-26,TEX,LAA,"W,5-4",4,1.0,3,1,1,1,1,0,0,2.16,7,31,19,4,3,2,3,2,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,2.40,-0.246,-0.13%,-0.54
2015-04-28,TEX,SEA,"L,1-2",1,1.0,1,0,0,0,1,0,0,1.93,3,14,8,4,1,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.94,0.053,0.03%,0.51
2015-05-01,TEX,OAK,"L,5-7",2,0.2,3,4,4,1,1,1,0,5.40,6,26,16,5,1,2,2,2,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.01,-0.051,-0.02%,-1.93
2015-05-05,TEX,HOU,"W,7-1",3,1.0,0,0,0,0,1,0,0,4.91,3,13,9,3,2,0,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.04,0.003,0.00%,0.47
2015-05-07,TEX,TBR,"W,5-4",1,1.0,1,1,1,0,2,1,0,5.25,4,17,11,4,2,0,2,1,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.78,-0.003,0.00%,-0.53
2015-05-10,TEX,TBR,"W,2-1",2,1.0,1,0,0,0,1,0,0,4.85,4,13,9,3,2,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,3.38,0.136,0.06%,0.47
2015-05-12,TEX,KCR,"L,6-7",1,1.0,2,0,0,0,1,0,0,4.50,4,15,10,1,3,2,1,1,0,0,,0,0,0,0,0,4,1,0,0,1,0,0,2.45,0.108,0.05%,0.51
2015-05-13,TEX,KCR,"W,5-2",0,1.0,0,0,0,0,1,0,0,4.20,3,9,7,2,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.57,0.044,0.02%,0.51
2015-05-16,TEX,CLE,"L,8-10",2,1.1,2,0,0,1,2,0,0,3.86,7,35,20,8,2,2,2,2,0,0,,2,0,0,0,0,6,1,0,1,0,0,1,2.99,0.197,0.08%,1.02
2015-05-17,TEX,CLE,"W,5-1",0,1.0,1,0,0,0,2,0,0,3.63,4,17,13,2,5,1,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.18,0.015,0.01%,0.51
2015-05-20,TEX,BOS,"W,2-1",2,1.0,1,0,0,1,0,0,0,3.44,5,21,10,4,2,2,2,2,0,0,,0,0,0,0,0,4,1,0,1,0,0,0,4.59,0.207,0.07%,0.52
2015-05-21,TEX,BOS,"W,3-1",0,1.0,1,0,0,0,2,0,0,3.26,4,17,11,3,6,0,2,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,2.37,0.096,0.03%,0.52
2015-05-24,TEX,NYY,"W,5-2",2,1.0,0,0,0,0,3,0,0,3.10,3,13,10,2,3,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.52,0.040,0.02%,0.49
2015-05-25,TEX,CLE,"W,10-8",0,1.0,0,0,0,0,1,0,0,2.95,3,8,6,2,1,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.24,0.096,0.05%,0.52
2015-05-26,TEX,CLE,"W,4-3",0,1.0,0,0,0,0,0,0,1,2.82,5,19,11,4,1,2,2,0,2,0,,0,0,0,0,0,4,0,0,0,0,0,1,3.67,0.207,0.11%,0.52
2015-05-29,TEX,BOS,"W,7-4",2,1.0,0,0,0,0,0,0,0,2.70,3,12,7,3,0,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.44,0.034,0.02%,0.51
2015-06-04,TEX,CHW,"W,2-1",5,2.0,1,0,0,0,1,0,0,2.49,7,26,20,4,4,3,3,1,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,1.90,0.279,0.18%,1.02
