date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-04-02,WSN,ATL,"W,8-1",99,7.0,4,1,1,1,6,0,0,1.29,25,93,62,14,7,10,8,4,2,0,70,,,1,0,0,24,0,0,0,1,0,1,.62,0.163,0.12%,2.41
2018-04-08,WSN,NYM,"L,5-6",5,5.0,5,5,5,4,9,2,0,4.50,24,100,61,19,16,2,9,4,1,0,42,,,0,0,0,20,2,0,0,0,0,0,.86,-0.321,-0.22%,-2.44
2018-04-13,WSN,COL,"L,1-2",4,6.0,3,2,1,1,3,1,0,3.50,22,96,63,12,9,6,12,3,4,0,62,,,0,1,0,20,0,0,0,0,1,1,.99,0.033,0.02%,1.07
2018-04-18,WSN,NYM,"L,5-11",4,7.0,2,2,2,3,6,0,1,3.24,27,103,61,18,8,10,7,3,1,0,68,,,0,0,0,23,1,0,0,1,0,1,1.22,0.201,0.13%,1.11
2018-04-24,WSN,SFG,"L,3-4",5,6.0,6,4,4,2,4,2,1,3.77,26,105,66,17,6,7,13,5,2,0,46,,,0,0,0,23,0,0,0,0,0,0,1.00,-0.198,-0.09%,-1.30
2018-04-30,WSN,PIT,"W,3-2",5,7.0,6,2,2,2,4,1,0,3.55,26,105,64,18,7,9,11,5,1,0,59,,,0,1,0,24,1,0,0,2,0,0,1.04,0.235,0.10%,1.59
2018-05-05,WSN,PHI,"L,1-3",4,6.1,6,3,3,3,9,1,0,3.65,27,115,70,24,18,9,6,3,0,0,55,,,0,0,0,24,0,1,0,1,0,0,.77,-0.072,-0.05%,0.05
2018-05-10,WSN,ARI,"W,2-1",4,7.0,4,1,1,0,4,0,1,3.33,26,107,67,19,12,10,11,5,2,0,69,,,1,0,0,25,0,0,0,0,0,0,.90,0.212,0.13%,2.56
2018-05-19,WSN,LAD,"L,1-4",8,7.0,6,3,3,1,8,0,1,3.39,29,117,74,21,11,8,11,4,2,0,60,,,0,0,0,26,2,1,0,1,1,1,1.04,-0.027,-0.02%,0.59
2018-05-26,WSN,MIA,"W,4-1",6,7.0,4,1,1,2,5,0,0,3.17,26,111,71,15,10,14,5,2,0,0,68,,,1,0,0,23,1,0,0,2,0,1,1.04,0.181,0.13%,2.18
2018-05-31,WSN,ATL,"L,2-4",4,6.2,7,4,4,5,3,0,1,3.38,30,98,53,10,8,11,10,5,2,0,42,,,0,1,0,24,4,0,2,2,0,0,1.15,-0.161,-0.16%,-1.08
