date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-04-11,TEX,LAA,"L,2-7",99,0.2,0,2,0,0,0,0,1,0.00,4,13,8,2,1,1,2,1,1,0,,0,0,0,0,0,3,0,0,0,0,0,1,.11,0.000,0.00%,0.03
2018-04-14,TEX,HOU,"W,6-5",2,2.0,0,0,0,1,3,0,0,0.00,7,40,24,6,5,3,0,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.26,0.030,0.01%,1.01
2018-04-29,TEX,TOR,"L,2-7",14,2.0,2,3,2,1,2,0,1,3.86,10,38,23,6,3,3,3,1,0,0,,0,0,0,0,1,8,1,0,0,0,0,1,.41,-0.059,-0.02%,-1.49
2018-05-03,TEX,BOS,"W,11-5",3,1.1,0,0,0,0,0,0,0,3.00,4,17,10,2,1,4,0,0,0,0,,1,0,0,0,0,4,0,0,0,0,0,0,.06,0.006,0.00%,0.91
2018-05-06,TEX,BOS,"L,1-6",2,1.0,0,0,0,0,1,0,0,2.57,3,8,5,2,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.03,0.002,0.00%,0.56
2018-05-07,TEX,DET,"W,7-6",0,0.1,2,0,0,0,0,0,0,2.45,3,5,4,1,0,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.32,0.004,0.00%,0.12
2018-05-12,TEX,HOU,"L,1-6",4,1.0,3,3,2,0,0,1,0,4.32,6,23,13,3,2,2,4,1,1,0,,1,0,0,0,0,6,2,0,0,0,0,0,.29,-0.025,-0.01%,-1.65
2018-05-15,TEX,SEA,"L,8-9",2,2.0,0,0,0,0,3,0,0,3.48,6,23,14,6,3,1,2,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,1.07,0.160,0.03%,0.96
2018-05-18,TEX,CHW,"W,12-5",2,1.0,0,0,0,1,3,0,0,3.18,4,26,18,4,5,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.02,0.001,0.00%,0.50
2018-05-20,TEX,CHW,"L,0-3",1,1.0,0,0,0,0,1,0,0,2.92,3,12,8,4,1,0,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.23,0.017,0.00%,0.50
2018-05-23,TEX,NYY,"W,12-10",2,0.2,2,2,2,0,1,1,0,4.15,4,9,7,3,0,1,2,0,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.35,-0.104,-0.01%,-1.70
2018-05-27,TEX,KCR,"L,3-5",3,1.0,1,0,0,0,0,0,0,3.86,4,17,13,0,2,2,2,1,1,0,,2,0,0,0,0,4,0,0,0,0,0,0,.48,0.013,0.00%,0.96
2018-05-30,TEX,SEA,"W,7-6",2,0.2,2,0,0,0,0,0,0,3.68,3,6,5,1,1,2,1,1,0,0,,1,1,0,0,0,3,0,0,0,1,0,0,.96,-0.060,-0.01%,-0.34
2018-06-06,TEX,OAK,"W,8-2",6,1.0,1,0,0,0,0,0,0,3.45,3,10,6,3,0,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.07,0.003,0.00%,0.56
2018-06-08,TEX,HOU,"L,3-7",1,2.0,1,0,0,0,3,0,0,3.06,7,25,19,7,5,3,1,1,0,0,,0,0,1,0,0,7,0,0,0,0,0,0,.11,0.015,0.00%,1.13
2018-06-12,TEX,LAD,"L,5-12",3,2.0,1,0,0,1,3,0,0,2.75,8,35,22,9,6,1,3,2,1,0,,0,0,0,0,0,7,1,0,0,0,0,0,.00,0.000,0.00%,0.95
2018-06-15,TEX,COL,"L,5-9",2,2.0,3,1,1,0,2,0,0,2.91,9,38,28,7,2,4,3,3,0,0,,0,0,0,0,0,9,3,0,0,0,0,0,.47,-0.036,0.00%,0.13
2018-06-18,TEX,KCR,"W,6-3",2,1.0,0,0,0,0,1,0,0,2.78,3,10,8,4,1,0,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.69,0.053,0.00%,0.51
2018-06-23,TEX,MIN,"W,9-6",4,0.2,0,0,0,1,1,0,0,2.70,3,16,8,4,2,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.29,0.012,0.00%,0.27
2018-06-25,TEX,SDP,"W,7-4",1,1.0,0,0,0,0,1,0,0,2.59,3,11,8,2,2,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.37,0.029,0.00%,0.56
2018-06-29,TEX,CHW,"W,11-3",3,0.2,1,0,0,0,0,0,0,2.52,3,9,7,1,1,3,0,0,0,0,,2,2,0,0,0,3,0,0,0,0,0,0,.02,0.001,0.00%,-0.53
2018-07-03,TEX,HOU,"L,3-5",3,1.1,0,0,0,0,1,0,0,2.39,4,11,7,2,2,0,3,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.31,0.033,0.00%,0.82
2017-04-05,TEX,CLE,"L,6-9",99,1.0,1,0,0,0,1,0,0,0.00,4,19,12,2,2,3,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,2.01,0.102,0.05%,0.58
2017-04-07,TEX,OAK,"W,10-5",1,1.0,0,0,0,0,0,0,0,0.00,3,17,11,3,1,1,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.10,0.008,0.00%,0.58
2017-04-08,TEX,OAK,"L,1-6",0,1.0,1,1,0,0,1,0,0,0.00,5,14,10,1,2,2,2,2,0,0,,0,0,0,0,0,4,0,0,0,0,1,1,1.10,-0.079,-0.05%,-0.42
