date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2021-06-13,CIN,COL,"W,6-2",99,4.2,5,1,1,4,5,0,2,1.93,25,97,52,14,9,6,8,2,1,0,51,,,1,0,0,18,1,0,0,0,1,0,1.33,0.092,0.05%,1.06
2021-06-18,CIN,SDP,"L,2-8",4,3.0,4,3,3,1,3,2,0,4.70,14,53,33,10,3,3,7,5,1,0,41,,,0,0,0,11,2,0,0,0,1,0,.75,-0.193,-0.14%,-1.59
2021-06-24,CIN,ATL,"W,5-3",5,6.0,3,1,1,3,8,1,1,3.29,25,104,64,12,15,3,10,2,1,0,67,,,0,0,0,21,0,0,0,0,0,0,1.24,0.293,0.16%,2.47
2021-06-29,CIN,SDP,"L,4-5",4,3.0,6,3,2,2,4,0,0,3.78,18,75,44,14,9,5,7,4,0,0,39,,,0,0,0,14,0,1,0,0,2,0,1.19,-0.135,-0.08%,-1.27
2021-07-16,CIN,MIL,"L,6-11",16,1.0,0,0,0,0,1,0,0,3.57,3,12,8,2,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,0.00%,0.58
2021-07-18,CIN,MIL,"L,0-8",1,1.0,3,2,2,0,0,1,0,4.34,6,23,15,1,6,1,5,2,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.01,-0.002,0.00%,-1.42
2021-07-21,CIN,NYM,"L,0-7",2,1.0,2,2,2,0,2,1,1,5.03,6,20,14,5,1,1,2,1,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.16,-0.041,-0.02%,-1.42
2021-07-23,CIN,STL,"W,6-5",1,1.0,0,0,0,0,2,0,0,4.79,3,12,7,3,1,0,1,1,0,0,,2,0,0,0,0,3,0,0,0,0,0,0,1.27,0.104,0.06%,1.60
2021-07-25,CIN,STL,"L,6-10",1,1.0,0,0,0,1,2,0,1,4.57,5,21,13,5,3,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.38,0.020,0.01%,0.58
2021-07-26,CIN,CHC,"L,5-6",0,1.2,1,0,0,0,3,0,0,4.24,5,22,13,3,6,1,1,1,0,0,,3,0,0,0,0,5,0,0,0,1,0,0,1.61,0.287,0.17%,2.10
2021-08-17,CIN,CHC,"L,1-2",21,1.0,0,0,0,1,1,0,0,4.07,3,12,6,1,3,0,1,0,0,0,,0,0,0,1,0,2,0,0,0,0,0,0,.78,0.047,0.03%,0.58
2021-08-19,CIN,MIA,"W,6-1",1,1.0,0,0,0,0,2,0,0,3.91,3,15,9,1,5,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.10,0.008,0.00%,0.58
2021-08-21,CIN,MIA,"W,7-4",1,1.0,0,0,0,0,1,0,1,3.76,3,5,4,2,1,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,.64,0.035,0.03%,0.58
2021-08-26,CIN,MIL,"W,5-1",4,0.1,1,1,1,2,1,1,0,4.05,4,16,6,2,2,0,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.85,-0.070,-0.05%,-1.41
2021-08-28,CIN,MIA,"L,1-6",1,2.0,3,0,0,2,2,0,0,3.77,11,43,28,10,6,4,3,3,0,0,,0,0,0,0,0,9,0,0,0,0,0,0,.36,0.028,0.02%,1.00
2021-09-01,CIN,STL,"L,4-5",3,1.0,0,0,0,1,2,0,0,3.64,4,21,12,5,1,0,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.83,0.062,0.05%,0.58
2021-09-03,CIN,DET,"L,5-15",1,1.2,1,0,0,0,3,0,0,3.45,6,24,16,5,3,0,3,3,0,0,,1,0,0,0,0,6,0,0,0,0,0,0,.62,0.078,0.05%,1.32
