date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2021-04-05,CLE,KCR,"L,0-3",99,3.2,2,1,1,4,5,0,0,2.45,16,58,32,6,10,0,7,3,0,0,,0,0,0,0,0,11,0,0,0,0,1,0,.40,0.002,0.00%,0.66
2021-04-12,CLE,CHW,"L,3-4",6,4.0,2,3,3,2,6,1,0,4.70,15,76,45,13,9,2,5,2,1,0,50,,,0,0,0,13,0,0,0,1,0,0,.95,-0.139,-0.10%,-0.89
2021-04-17,CLE,CIN,"L,2-3",4,5.0,5,1,1,4,7,1,0,3.55,23,87,45,12,12,1,11,6,1,0,56,,,0,0,0,19,1,0,0,0,0,0,1.31,0.207,0.12%,1.89
2021-04-25,CLE,NYY,"W,7-3",7,4.0,4,3,3,4,5,2,0,4.32,20,87,46,13,10,2,9,4,2,0,43,,,0,0,0,16,0,0,0,0,0,0,.96,-0.123,-0.06%,-0.89
2021-05-01,CLE,CHW,"L,3-7",5,2.0,1,5,5,4,6,1,0,6.27,11,57,31,6,11,0,1,0,0,0,36,,,0,0,0,7,0,0,0,0,0,0,1.24,-0.302,-0.21%,-3.95
2021-05-06,CLE,KCR,"W,4-0",4,5.0,2,0,0,4,5,0,0,4.94,21,92,56,11,10,4,8,5,0,0,64,,,0,0,0,17,0,0,0,1,0,1,1.36,0.180,0.15%,1.72
2021-05-15,CLE,SEA,"L,3-7",8,4.1,5,5,5,3,6,2,0,5.79,21,90,56,14,15,2,10,1,2,0,36,,,0,0,0,18,2,0,0,0,0,0,.70,-0.191,-0.15%,-2.43
2021-05-21,CLE,MIN,"L,0-10",5,3.1,2,6,6,5,4,1,0,6.89,17,72,37,13,6,2,6,1,0,0,31,,,0,0,0,12,0,0,0,0,0,0,.91,-0.203,-0.15%,-2.50
2021-05-26,CLE,DET,"L,0-1",4,5.0,1,0,0,3,5,0,0,5.94,18,73,44,14,10,4,6,1,0,0,67,,,0,0,0,15,0,0,0,1,0,0,1.03,0.280,0.22%,2.50
2021-05-31,CLE,CHW,"L,6-8",4,5.1,4,5,5,2,10,0,0,6.26,21,86,54,17,8,5,4,3,0,0,48,,,0,1,1,19,2,0,0,0,0,0,1.16,-0.169,-0.17%,-1.39
2021-06-12,CLE,SEA,"W,5-4",11,0.2,0,1,1,4,0,0,0,6.38,6,32,12,5,1,0,2,0,1,0,44,,,0,0,0,2,0,0,0,0,0,0,1.73,-0.115,-0.09%,-1.26
2021-07-09,CLE,KCR,"W,2-1",26,7.0,1,0,0,1,9,0,0,5.47,23,85,57,12,12,8,5,3,0,0,83,,,0,0,0,22,0,0,0,1,0,1,1.08,0.472,0.27%,3.69
2021-07-20,CLE,HOU,"L,3-9",10,4.0,8,5,5,1,3,2,1,5.91,22,93,63,12,10,6,11,4,1,0,28,,,0,0,0,20,2,0,0,0,0,0,.92,-0.167,-0.10%,-2.52
2021-07-25,CLE,TBR,"W,3-2",4,6.0,5,2,2,1,6,1,0,5.61,24,87,63,12,14,8,9,4,2,0,59,,,1,0,0,23,1,0,0,0,0,0,1.11,0.087,0.04%,1.16
2021-07-31,CLE,CHW,"W,12-11",5,4.0,4,6,6,3,2,3,0,6.11,19,83,47,11,3,1,13,5,1,0,29,,,0,0,0,16,1,0,0,0,0,0,.83,-0.318,-0.18%,-3.89
2021-08-05,CLE,TOR,"L,0-3",4,7.0,5,3,3,0,4,1,0,5.89,26,90,66,12,8,8,14,3,4,0,59,,,0,0,0,26,1,0,0,0,0,0,.60,-0.027,-0.01%,0.72
2021-08-10,CLE,OAK,"L,3-4",4,6.0,4,2,2,1,5,1,1,5.66,23,86,59,17,13,5,11,5,4,0,60,,,0,1,1,21,2,0,0,0,0,0,.91,0.163,0.04%,1.16
2021-08-15,CLE,DET,"W,11-0",4,8.0,1,0,0,0,11,0,0,5.12,25,106,73,15,20,5,9,2,3,0,91,,,0,0,0,25,0,0,0,0,0,0,.12,0.077,0.01%,4.00
2021-08-21,CLE,LAA,"W,5-1",5,7.0,2,1,1,1,8,0,0,4.83,24,95,68,17,15,4,11,4,2,0,76,,,0,0,0,23,1,0,0,0,0,0,.75,0.339,0.03%,3.30
2021-09-02,CLE,KCR,"W,4-2",11,6.0,2,1,1,1,6,0,0,4.62,22,76,57,14,9,4,11,4,2,0,69,,,0,0,0,21,0,0,0,0,0,1,.86,0.241,0.03%,2.28
2021-09-08,CLE,MIN,"L,0-3",5,6.0,3,1,1,1,7,0,0,4.44,21,83,53,13,10,5,8,6,0,0,68,,,1,0,0,20,3,0,0,0,0,0,.97,0.194,0.01%,2.16
2021-09-14,CLE,MIN,"W,3-1",5,6.0,3,1,1,1,7,0,0,4.28,21,72,55,10,10,3,10,7,1,0,68,,,0,0,1,20,2,0,0,0,0,0,1.25,0.267,0.00%,2.07
2021-09-20,CLE,KCR,"L,2-7",5,4.1,9,7,7,1,4,3,0,4.67,22,74,50,10,7,6,11,4,2,0,20,,,3,0,0,21,0,0,0,1,0,0,.89,-0.304,0.00%,-4.65
2021-09-26,CLE,CHW,"L,2-5",5,2.1,5,3,3,3,3,0,1,4.81,16,61,37,7,8,3,6,4,1,0,35,,,0,0,0,12,1,0,0,0,0,0,1.26,-0.240,0.00%,-3.02
2021-10-02,CLE,TEX,"L,2-7",5,4.0,4,4,4,4,2,2,0,4.95,18,74,40,5,8,2,10,6,0,0,36,,,0,1,0,14,0,0,0,1,0,0,.94,-0.231,0.00%,-1.94
2020-08-22,CLE,DET,"W,6-1",99,6.0,2,1,1,1,10,1,0,1.50,20,80,56,16,13,4,5,3,0,0,73,,,0,1,0,19,1,0,0,0,0,0,.82,0.224,0.14%,2.45
2020-08-28,CLE,STL,"W,14-2",5,4.0,3,2,2,3,3,1,0,2.70,18,84,50,15,8,4,8,2,2,0,48,,,0,0,0,15,0,0,0,0,0,0,.72,0.063,0.03%,0.07
2020-09-02,CLE,KCR,"W,5-0",4,6.0,3,0,0,0,6,0,0,1.69,19,81,54,8,14,7,6,4,0,0,72,,,0,0,0,19,1,0,0,1,0,0,.99,0.380,0.19%,3.35
2020-09-08,CLE,KCR,"L,6-8",5,5.0,3,3,3,1,7,1,0,2.57,19,92,57,15,12,6,5,0,1,0,55,,,0,0,0,18,1,0,0,0,0,0,.85,0.007,0.00%,-0.13
2020-09-13,CLE,MIN,"L,5-7",4,4.1,3,5,5,1,7,3,1,3.91,18,82,51,15,10,2,7,3,1,0,43,,,0,0,0,16,0,0,0,0,0,0,.94,-0.310,-0.15%,-2.53
2020-09-19,CLE,DET,"L,2-5",5,4.0,6,1,1,3,3,0,0,3.68,20,79,48,15,3,4,10,5,4,0,46,,,1,1,0,17,1,0,0,0,0,0,1.24,0.130,0.02%,1.26
2020-09-23,CLE,CHW,"W,3-2",3,2.0,1,0,0,0,3,0,0,3.45,7,30,21,5,5,3,1,0,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,1.31,0.181,0.04%,1.15
2020-09-26,CLE,PIT,"L,0-8",2,2.0,0,0,0,0,3,0,0,3.24,6,22,16,4,3,0,3,1,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,.04,0.006,0.00%,1.15
