date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2019-08-27,SFG,ARI,"L,2-3",99,1.0,0,0,0,0,0,0,0,0.00,3,11,9,2,0,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.38,0.028,0.01%,0.50
2019-08-30,SFG,SDP,"W,8-3",2,1.0,2,1,1,0,1,0,0,4.50,5,13,9,1,1,2,2,1,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.05,0.003,0.00%,-0.50
2019-08-31,SFG,SDP,"L,1-4",0,1.1,0,0,0,0,0,0,0,2.70,4,12,8,3,0,4,0,0,0,0,,2,0,0,0,0,4,0,0,0,0,0,0,1.80,0.152,0.01%,0.93
2019-09-02,SFG,STL,"L,1-3",1,1.0,0,0,0,1,1,0,0,2.08,4,17,9,3,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.30,0.015,0.00%,0.52
2019-09-04,SFG,STL,"W,9-8",1,1.1,2,0,0,0,0,0,0,1.59,6,16,11,3,0,2,4,2,1,0,,2,2,0,0,0,6,1,0,0,0,0,0,1.47,-0.231,0.00%,-0.87
2019-09-06,SFG,LAD,"W,5-4",1,1.0,0,0,0,1,2,0,0,1.35,4,13,8,5,1,0,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.52,0.082,0.00%,0.51
2019-09-07,SFG,LAD,"W,1-0",0,0.2,0,0,0,0,0,0,0,1.23,2,3,3,1,0,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.66,0.084,0.00%,0.40
2019-09-09,SFG,PIT,"L,4-6",1,1.0,1,1,1,0,0,0,0,2.16,4,10,6,2,0,3,1,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.11,-0.001,0.00%,0.11
2019-09-11,SFG,PIT,"L,3-6",1,0.1,0,0,0,0,0,0,0,2.08,1,4,4,1,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,1.10,0.030,0.00%,0.36
2019-09-13,SFG,MIA,"W,1-0",1,1.2,0,0,0,0,3,0,0,1.74,5,24,16,4,2,1,1,0,0,0,,1,0,0,0,0,5,0,0,0,0,0,0,1.74,0.221,0.00%,1.02
2019-09-15,SFG,MIA,"W,2-1",1,1.0,0,0,0,0,1,0,0,1.59,3,10,8,2,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.41,0.106,0.00%,0.50
2019-09-17,SFG,BOS,"W,7-6",1,0.1,2,0,0,0,0,0,0,1.54,3,8,5,2,0,3,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,2.08,-0.136,0.00%,-0.91
2019-09-18,SFG,BOS,"W,11-3",0,1.0,0,0,0,0,0,0,0,1.42,3,10,9,2,1,2,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.45,0.035,0.00%,0.58
2019-09-22,SFG,ATL,"W,4-1",3,2.0,2,0,0,0,3,0,0,1.23,8,39,28,6,6,3,2,1,1,0,,0,0,0,0,0,8,1,0,0,0,0,0,1.13,0.120,0.00%,1.11
