date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2016-06-22,ATL,MIA,"L,0-3",99,1.0,1,0,0,0,0,0,0,0.00,4,16,8,2,1,4,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.07,0.006,0.00%,0.46
2016-06-27,ATL,CLE,"L,3-8",4,4.0,6,4,4,1,3,1,0,7.20,18,58,36,9,1,4,10,5,0,0,,1,0,0,0,1,17,1,0,0,0,0,0,.81,-0.221,0.00%,-2.02
2016-06-30,ATL,MIA,"W,8-5",2,2.1,2,0,0,3,2,0,0,4.91,12,46,23,4,2,6,2,2,0,0,,0,0,0,0,0,9,0,0,0,0,0,0,1.28,0.099,0.00%,0.95
2016-07-03,ATL,MIA,"L,2-5",2,2.0,3,2,2,2,1,1,0,5.79,11,43,22,8,2,4,4,4,0,0,,0,0,0,0,0,8,0,1,0,0,1,0,.09,-0.033,0.00%,-1.03
2016-07-06,ATL,PHI,"L,3-4",2,4.2,4,1,1,1,1,0,0,4.50,18,64,38,5,5,12,4,2,1,0,52,,,1,0,0,17,0,0,0,0,0,0,1.32,0.240,0.00%,2.10
2016-07-19,ATL,CIN,"W,5-4",12,6.0,4,2,2,4,2,1,1,4.05,26,107,58,10,8,11,8,4,1,0,54,,,0,0,0,21,2,0,0,1,0,0,1.12,0.154,0.00%,1.00
2016-07-24,ATL,COL,"L,2-7",4,3.1,8,7,7,5,2,3,0,6.17,23,87,45,12,3,4,12,6,1,0,13,,,1,0,0,18,3,0,0,0,0,0,.62,-0.307,0.00%,-5.01
2016-07-29,ATL,PHI,"W,2-1",4,6.0,4,1,0,4,4,0,0,4.91,26,90,51,11,8,9,9,5,1,0,62,,,0,0,0,21,1,0,1,0,0,0,1.20,0.238,0.00%,1.91
2016-08-04,ATL,PIT,"W,5-2",5,6.0,3,1,1,4,2,0,0,4.33,24,105,57,14,5,9,9,5,0,0,60,,,0,0,0,19,1,0,0,2,0,1,1.38,0.227,0.00%,1.91
2016-08-09,ATL,MIL,"W,2-1",4,6.0,3,1,1,3,3,1,0,3.92,21,77,45,12,9,11,4,2,1,0,62,,,0,1,0,18,1,0,0,2,0,0,.94,0.171,0.00%,2.03
2016-08-14,ATL,WSN,"L,1-9",4,4.2,6,7,7,3,1,1,0,4.89,23,84,48,13,2,9,10,5,1,0,22,,,0,0,0,17,2,0,0,0,2,0,.73,-0.296,0.00%,-4.56
2016-08-20,ATL,WSN,"L,9-11",5,3.1,8,9,9,2,3,3,0,6.20,20,76,45,15,4,6,9,7,0,0,9,,,1,0,0,18,0,0,0,0,0,0,1.03,-0.628,0.00%,-6.57
2016-09-27,ATL,PHI,"W,7-6",37,2.0,2,0,0,1,2,0,0,5.96,8,36,22,8,3,2,3,1,1,0,,0,0,0,0,0,7,0,0,0,1,0,0,.17,0.019,0.00%,0.97
2016-09-30,ATL,DET,"L,2-6",2,0.2,1,0,0,0,0,0,0,5.88,3,8,5,1,0,0,3,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.06,0.002,0.00%,0.26
