date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2021-05-28,CIN,CHC,"L,0-1",99,5.0,2,1,1,2,3,1,0,1.80,19,67,47,15,3,4,10,2,0,0,60,,,1,0,0,17,0,0,0,0,0,0,.96,0.122,0.07%,1.56
2021-06-03,CIN,STL,"W,4-2",5,5.0,3,2,2,3,3,0,0,2.70,21,77,47,17,6,9,6,1,2,0,53,,,1,0,0,17,0,0,0,0,0,0,1.23,0.079,0.03%,0.35
2021-06-09,CIN,MIL,"W,7-3",5,7.0,6,2,2,3,7,0,1,2.65,31,102,68,16,12,12,8,3,2,0,61,,,0,0,0,26,1,0,0,0,1,0,.81,0.139,0.08%,2.05
2021-06-14,CIN,MIL,"W,10-2",4,6.0,4,2,2,2,6,1,0,2.74,24,110,66,16,13,4,12,3,1,0,60,,,1,0,0,21,1,0,0,0,1,0,1.09,0.176,0.12%,1.10
2021-06-19,CIN,SDP,"L,5-7",4,5.0,8,5,5,4,4,1,0,3.86,27,102,57,17,8,4,15,6,4,0,31,,,1,0,0,23,4,0,0,0,0,0,1.34,-0.313,-0.22%,-2.65
2021-06-25,CIN,ATL,"L,2-3",5,6.0,6,3,3,2,4,2,0,3.97,26,96,61,13,12,11,9,6,0,0,50,,,3,0,0,24,2,0,0,0,0,0,1.10,-0.035,-0.02%,0.47
2021-06-30,CIN,SDP,"L,5-7",4,4.1,6,6,6,3,3,3,0,4.93,22,72,43,8,8,4,12,6,1,0,27,,,0,0,0,18,0,0,0,0,0,0,1.22,-0.140,-0.07%,-1.77
2021-07-05,CIN,KCR,"W,6-2",4,6.0,5,2,2,2,6,0,0,4.67,25,92,56,13,15,8,9,3,0,0,58,,,1,0,0,23,3,0,0,0,0,0,1.26,0.073,0.04%,1.28
2021-07-10,CIN,MIL,"W,4-3",4,6.0,5,1,1,2,0,0,1,4.29,23,84,55,14,3,8,12,3,1,0,56,,,1,0,0,20,1,0,0,1,0,0,.95,0.208,0.20%,2.10
2021-07-19,CIN,NYM,"L,11-15",8,4.0,9,6,6,2,1,3,0,4.97,21,68,43,10,5,6,12,6,0,0,19,,,0,0,0,19,1,0,0,1,0,0,1.11,-0.301,-0.17%,-3.69
2021-07-27,CIN,CHC,"W,7-4",7,6.1,5,2,2,3,5,1,1,4.75,27,109,66,23,13,8,10,3,2,0,57,,,0,0,0,23,2,0,0,0,0,0,1.00,0.092,0.05%,0.66
2021-08-01,CIN,NYM,"W,7-1",4,7.0,3,1,1,2,4,1,0,4.39,25,80,53,14,7,9,10,1,2,0,69,,,0,0,0,23,0,0,0,1,0,0,.81,0.334,0.22%,2.40
2021-08-07,CIN,PIT,"W,11-3",5,6.0,6,1,1,1,6,0,0,4.15,23,99,65,20,6,5,11,5,2,0,61,,,0,1,1,22,3,1,0,0,0,0,.86,0.233,0.16%,2.47
2021-08-12,CIN,ATL,"W,12-3",4,6.0,5,1,1,2,6,0,0,3.95,25,102,68,15,13,10,7,3,0,0,62,,,1,0,0,23,0,0,0,1,0,0,.49,0.031,0.02%,2.28
2021-08-17,CIN,CHC,"L,1-2",4,6.1,9,2,2,1,7,1,0,3.87,27,80,60,19,11,11,8,2,1,0,53,,,0,0,0,26,2,0,0,2,0,0,.96,0.076,0.05%,1.30
2021-08-22,CIN,MIA,"W,3-1",4,7.0,3,1,1,1,8,0,0,3.68,25,89,65,18,15,7,9,1,4,0,74,,,1,0,0,24,1,0,0,0,0,1,1.21,0.372,0.26%,3.05
2021-08-28,CIN,MIA,"L,1-6",5,3.0,7,5,5,0,2,1,1,4.03,17,67,39,8,4,8,5,3,0,0,27,,,2,0,0,14,0,0,0,0,0,0,.69,-0.317,-0.21%,-3.50
2021-09-03,CIN,DET,"L,5-15",5,3.1,4,4,3,1,1,2,0,4.17,16,67,41,9,3,7,7,3,0,0,38,,,0,0,0,15,2,0,0,0,0,1,.84,-0.236,-0.16%,-2.43
2021-09-08,CIN,CHC,"L,1-4",4,5.0,2,1,1,2,6,1,0,4.05,19,85,47,15,8,7,4,0,1,0,63,,,0,0,0,17,0,0,0,1,0,1,.90,0.162,0.12%,1.56
2021-09-15,CIN,PIT,"L,4-5",6,3.2,5,4,4,3,0,0,0,4.25,19,71,41,11,3,10,6,3,0,0,32,,,1,0,0,14,2,1,0,0,1,0,1.18,-0.190,-0.14%,-1.36
2021-09-20,CIN,PIT,"W,9-5",4,3.1,7,5,5,1,3,2,0,4.53,18,56,37,9,5,6,8,3,1,0,28,,,0,0,0,16,0,0,0,0,1,0,.74,-0.266,-0.11%,-3.28
2021-09-25,CIN,WSN,"W,7-6",4,2.2,5,4,4,4,3,0,0,4.74,16,56,33,9,7,3,6,2,0,0,31,,,0,0,0,12,1,0,0,0,0,0,1.32,-0.120,0.00%,-1.09
