date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2015-05-08,ATL,WSN,"L,2-9",99,0.1,2,4,4,2,0,1,0,108.00,5,27,13,3,1,1,2,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.20,-0.052,-0.03%,-3.03
2015-05-13,ATL,CIN,"L,1-5",4,2.0,1,0,0,2,2,0,0,15.43,8,34,22,8,2,3,1,1,0,0,,0,0,0,0,0,6,0,0,0,1,0,0,.08,0.007,0.00%,0.93
2015-05-20,ATL,TBR,"W,2-1",6,5.0,6,1,1,1,7,0,0,6.14,21,79,49,14,8,9,4,4,0,0,57,,,0,0,0,19,0,0,0,1,1,0,1.31,0.145,0.08%,1.25
2015-05-25,ATL,LAD,"L,3-6",4,6.0,7,1,1,1,7,0,1,4.05,26,106,59,28,4,7,10,7,2,0,60,,,0,0,0,24,1,0,0,1,0,0,1.19,0.225,0.14%,1.64
2015-05-30,ATL,SFG,"W,8-0",4,7.0,4,0,0,4,3,0,0,2.66,28,105,63,20,5,15,6,4,0,0,68,,,0,0,0,24,0,0,0,1,0,0,.81,0.299,0.17%,3.22
2015-06-05,ATL,PIT,"L,8-10",5,5.0,5,4,4,5,5,1,0,3.55,25,101,58,20,5,5,10,6,0,0,41,,,1,0,0,20,0,0,0,0,0,0,1.39,-0.270,-0.18%,-1.75
2015-06-10,ATL,SDP,"W,4-1",4,7.0,4,1,0,2,5,0,1,2.78,28,98,61,19,6,8,12,5,1,0,70,,,0,0,0,25,2,0,0,0,0,0,.97,0.284,0.18%,2.15
2015-06-13,ATL,NYM,"W,5-3",2,1.0,2,0,0,0,0,0,0,2.70,4,9,7,2,0,2,2,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,2.92,0.080,0.06%,0.45
2015-06-15,ATL,BOS,"W,4-2",1,6.0,5,0,0,2,2,0,0,2.29,21,79,47,17,1,12,5,2,0,0,62,,,0,0,1,19,0,0,0,3,0,0,.98,0.321,0.18%,3.13
2015-06-20,ATL,NYM,"W,6-4",4,6.0,5,4,4,2,5,2,2,2.78,26,100,62,26,6,6,11,2,1,0,49,,,0,0,0,22,0,0,0,1,0,0,1.11,-0.184,-0.15%,-1.30
2015-06-26,ATL,PIT,"L,2-3",5,4.2,4,2,2,2,2,0,2,2.88,21,66,40,12,4,9,6,3,2,0,48,,,0,0,0,17,1,0,0,0,0,0,1.08,0.228,0.14%,1.89
2015-07-31,ATL,PHI,"L,3-9",34,4.1,9,9,9,4,3,1,1,4.14,27,89,58,14,7,8,11,7,0,0,8,,,1,0,0,21,1,0,1,0,1,0,.48,-0.324,-0.06%,-5.89
2015-08-05,ATL,SFG,"L,1-6",4,6.0,10,6,5,2,2,0,1,4.48,30,96,56,17,7,10,15,7,2,0,30,,,0,0,0,27,2,0,0,1,0,0,.66,-0.188,-0.02%,-2.91
2015-08-11,ATL,TBR,"L,0-2",5,8.0,4,2,2,4,1,1,0,4.21,30,92,58,14,4,13,12,4,0,0,63,,,0,0,0,26,1,0,0,2,0,0,.97,0.068,0.01%,1.73
