date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2021-05-01,SEA,LAA,"L,5-10",99,1.0,0,0,0,0,0,0,0,0.00,3,14,8,1,3,1,2,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.00%,0.50
2021-05-03,SEA,BAL,"L,3-5",1,1.2,2,2,2,1,2,1,0,6.75,8,31,20,6,2,2,3,0,0,0,,1,1,0,0,0,7,1,0,0,0,0,0,.44,-0.134,-0.09%,-1.57
2021-05-08,SEA,TEX,"L,8-9",4,0.1,0,0,0,0,0,0,0,6.00,1,1,1,0,0,0,1,1,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,1.19,0.034,0.03%,0.33
2021-05-09,SEA,TEX,"L,2-10",0,0.2,3,2,2,2,0,0,0,9.82,6,23,11,4,1,3,1,1,0,0,,0,0,0,0,0,4,0,0,0,1,0,0,.11,-0.019,-0.01%,-1.99
2021-05-12,SEA,LAD,"L,1-7",2,1.0,0,0,0,0,1,0,0,7.71,4,17,12,4,1,2,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,1,.01,0.001,0.00%,0.51
2021-05-21,SEA,SDP,"L,1-16",8,1.0,4,4,4,1,2,0,0,12.71,8,32,18,8,3,4,1,1,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,.05,-0.009,0.00%,-3.53
2021-05-23,SEA,SDP,"L,2-9",1,1.0,1,1,1,0,2,0,1,12.15,5,9,8,1,3,2,0,0,0,0,,0,0,0,0,0,4,0,1,0,0,0,0,.00,0.000,0.00%,-0.53
2021-05-26,SEA,OAK,"L,3-6",2,1.2,3,1,1,2,1,0,0,10.80,9,37,21,5,2,3,3,2,0,0,,2,2,0,0,0,6,0,0,0,0,1,0,.37,-0.080,-0.05%,-1.60
2021-08-15,SEA,TOR,"L,3-8",80,2.0,1,0,0,0,3,0,0,8.71,7,31,22,9,3,3,1,0,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.10,0.015,0.01%,0.99
2021-08-20,SEA,HOU,"L,3-12",4,1.1,3,3,3,1,0,0,0,10.03,8,24,12,5,0,1,6,2,1,0,,2,0,0,0,0,6,1,0,0,0,1,0,.10,-0.021,-0.02%,-2.02
2021-08-28,SEA,KCR,"L,2-4",7,1.0,2,1,1,0,0,0,0,9.95,5,11,9,2,0,2,3,2,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.25,-0.033,-0.02%,-0.51
