date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2019-03-21,SEA,OAK,"W,5-4",99,4.2,4,2,1,1,3,0,0,1.93,19,91,58,15,8,6,9,4,3,0,52,,,0,0,0,18,0,0,0,0,0,0,1.22,0.117,0.08%,1.17
2019-03-29,SEA,BOS,"L,6-7",7,6.0,4,3,2,0,5,2,0,2.53,22,86,55,21,8,7,10,2,2,0,59,,,0,0,0,22,0,0,0,1,0,1,.66,0.104,0.07%,0.08
2019-04-05,SEA,CHW,"L,8-10",6,5.0,7,6,4,1,4,0,0,4.02,24,93,59,11,10,13,6,4,0,0,36,,,1,0,0,23,3,0,0,1,0,2,.79,-0.309,-0.22%,-3.32
2019-04-10,SEA,KCR,"W,6-5",4,6.0,5,3,3,1,3,2,0,4.15,23,80,52,13,3,8,11,3,2,0,52,,,3,1,0,22,0,0,0,0,0,0,.85,0.062,0.04%,0.35
2019-04-15,SEA,CLE,"L,4-6",4,6.0,5,3,3,3,5,1,0,4.23,24,92,56,12,9,8,8,3,2,0,52,,,1,0,0,21,0,0,0,1,0,0,.64,-0.079,-0.06%,0.08
2019-04-20,SEA,LAA,"W,6-5",4,5.0,10,4,4,2,3,0,0,4.68,26,97,66,22,3,9,12,6,2,0,32,,,0,0,0,23,3,1,0,0,1,0,1.20,-0.117,-0.09%,-1.29
2019-04-26,SEA,TEX,"W,5-4",5,1.0,0,0,0,0,2,0,0,4.54,3,9,7,2,3,1,0,0,0,0,55,,,0,0,0,3,0,0,0,0,0,0,.63,0.048,0.04%,0.51
2019-05-03,SEA,CLE,"L,1-2",6,7.0,3,1,1,1,10,0,0,3.98,24,93,60,17,15,6,7,5,2,0,76,,,0,0,0,23,2,0,0,1,0,0,.98,0.348,0.24%,3.02
2019-05-08,SEA,NYY,"W,10-1",4,7.2,3,1,1,1,3,0,0,3.54,27,106,74,20,7,10,13,4,2,0,71,,,0,0,0,25,1,0,0,0,1,0,.62,0.282,0.19%,3.09
2019-05-13,SEA,OAK,"W,6-5",4,6.0,5,3,3,2,5,3,0,3.64,25,93,66,21,7,8,10,4,0,0,53,,,0,1,1,23,0,0,0,0,0,1,1.00,-0.048,-0.03%,0.08
2019-05-19,SEA,MIN,"W,7-4",5,6.0,5,3,1,2,6,0,1,3.43,26,93,57,11,12,8,9,3,3,0,58,,,0,0,0,23,0,0,0,1,0,1,1.26,-0.053,-0.02%,0.08
2019-05-25,SEA,OAK,"L,5-6",5,3.1,10,5,4,1,1,1,1,3.82,20,74,45,12,3,7,10,6,2,0,22,,,1,0,0,18,2,0,0,1,0,0,1.24,-0.381,-0.11%,-3.60
2019-05-30,SEA,LAA,"L,3-9",4,3.1,10,6,6,2,0,2,0,4.43,20,73,40,14,1,7,11,6,1,0,14,,,0,0,0,18,1,0,0,2,0,0,.96,-0.316,-0.05%,-4.64
2019-06-08,SEA,LAA,"L,3-12",8,3.1,9,7,6,3,1,3,1,4.99,24,79,47,11,5,9,10,4,0,0,14,,,0,0,0,20,2,0,0,0,0,1,.91,-0.373,-0.03%,-4.79
2019-06-13,SEA,MIN,"L,5-10",4,5.0,6,1,1,2,4,1,0,4.78,23,92,62,15,9,8,9,5,2,0,53,,,0,0,0,21,2,0,0,1,0,1,1.15,0.145,0.01%,1.76
2019-06-18,SEA,KCR,"L,0-9",4,5.0,9,6,6,2,5,2,0,5.15,25,97,55,12,13,8,10,5,1,0,28,,,1,0,0,23,2,0,0,1,0,0,.75,-0.282,-0.01%,-3.43
2019-06-23,SEA,BAL,"W,13-3",4,6.0,5,3,3,5,3,1,0,5.11,26,94,56,14,8,7,11,6,0,0,48,,,0,0,0,21,2,0,0,2,0,0,.62,-0.044,0.00%,0.08
2019-06-29,SEA,HOU,"L,5-6",5,5.0,6,5,3,3,5,0,1,5.12,26,94,58,10,10,8,9,5,3,0,41,,,0,0,0,21,1,0,0,0,1,1,1.02,-0.245,-0.01%,-2.15
2019-07-05,SEA,OAK,"L,2-5",5,7.0,4,3,2,1,5,1,0,4.94,25,95,66,18,15,7,12,5,0,0,63,,,0,0,0,23,1,0,0,0,1,0,1.03,-0.075,0.00%,0.59
2019-07-14,SEA,LAA,"L,3-6",8,4.0,2,3,3,4,3,1,0,5.01,18,87,50,16,7,5,6,2,0,0,45,,,0,0,0,14,0,0,0,0,0,0,.92,-0.002,0.00%,0.16
2019-07-21,SEA,LAA,"L,3-9",6,5.0,9,7,7,1,3,2,0,5.37,25,74,48,13,2,10,11,2,3,0,23,,,0,0,0,23,3,1,0,0,1,0,.53,-0.281,0.00%,-4.43
2019-07-26,SEA,DET,"W,3-2",4,6.2,7,2,2,0,4,2,0,5.21,25,85,60,11,9,10,11,7,0,0,56,,,0,0,0,25,0,1,0,1,0,0,.71,0.056,0.00%,1.23
2019-08-02,SEA,HOU,"L,2-10",6,4.0,9,6,6,0,1,4,0,5.49,21,77,51,17,2,10,10,4,2,0,21,,,0,0,0,21,0,1,0,0,0,0,.61,-0.253,0.00%,-3.72
2019-08-07,SEA,SDP,"W,3-2",4,5.0,4,1,1,3,8,1,0,5.34,22,94,54,10,14,4,7,2,3,0,60,,,0,0,0,19,0,0,0,0,0,0,1.22,0.180,0.00%,1.57
2019-08-13,SEA,DET,"W,11-6",5,3.1,9,5,5,1,3,2,0,5.56,20,81,58,11,4,11,5,4,0,0,24,,,0,0,0,19,4,0,0,0,0,0,1.12,-0.384,0.00%,-3.22
2019-08-18,SEA,TOR,"W,7-0",4,9.0,2,0,0,1,8,0,0,5.19,29,96,65,15,11,5,15,5,4,0,90,,,0,0,0,28,1,0,0,1,0,0,.65,0.331,0.00%,4.82
2019-08-27,SEA,NYY,"L,0-7",8,4.0,8,5,5,3,1,2,0,5.36,23,95,59,16,9,8,11,7,1,0,24,,,0,0,0,20,2,0,0,0,0,0,.61,-0.274,0.00%,-2.95
2019-09-01,SEA,TEX,"W,11-3",4,5.0,6,3,3,0,1,0,1,5.36,21,79,48,8,5,13,6,3,0,0,44,,,0,0,0,20,0,1,0,1,0,0,1.07,0.068,0.00%,0.07
2019-09-07,SEA,HOU,"L,1-2",5,5.0,5,1,1,2,5,1,0,5.24,22,92,60,18,5,5,10,5,2,0,56,,,0,0,0,20,1,0,0,0,0,0,1.11,0.097,0.00%,1.45
2019-09-13,SEA,CHW,"L,7-9",5,2.1,10,5,5,1,1,2,0,5.46,16,60,40,13,5,6,8,4,0,0,17,,,0,1,1,15,0,1,0,0,0,0,1.02,-0.401,0.00%,-3.73
2019-09-19,SEA,PIT,"W,6-5",5,4.0,8,4,4,1,1,0,0,5.55,21,67,42,8,5,11,8,7,0,0,30,,,0,0,0,20,4,0,0,0,0,0,1.19,-0.158,0.00%,-1.97
