date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2019-03-28,NYM,WSN,"W,2-0",4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,.250,.250,.250,.500,7,.57,-0.071,.60,-0.05%,-0.75,SS
2019-03-30,NYM,WSN,"W,11-8",5,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.250,.333,.250,.583,7,1.04,0.092,1.18,0.06%,0.09,SS
2019-03-31,NYM,WSN,"L,5-6",4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,.250,.308,.250,.558,6,1.49,-0.069,1.72,-0.05%,-0.43,SS
2019-04-01,NYM,MIA,"W,7-3",5,5,1,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,.235,.278,.235,.513,1,1.71,0.210,1.93,0.14%,0.49,SS
2019-04-02,NYM,MIA,"W,6-5",5,4,0,1,1,0,0,2,1,0,2,0,0,0,0,0,1,0,.238,.304,.286,.590,7,.64,0.079,.76,0.06%,1.08,SS
2019-04-03,NYM,MIA,"W,6-4",4,3,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,.250,.333,.375,.708,7,.54,0.108,.66,0.08%,0.66,SS
2019-04-04,NYM,WSN,"L,0-4",4,4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,.250,.323,.357,.680,7,1.11,0.058,1.42,0.04%,0.14,SS
2019-04-06,NYM,WSN,"W,6-5",3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.226,.294,.323,.617,7,.44,-0.033,.54,-0.02%,-0.36,SS
2019-04-07,NYM,WSN,"L,9-12",4,4,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.229,.289,.314,.604,7,.74,-0.075,.92,-0.06%,-0.86,SS
2019-04-09,NYM,MIN,"L,8-14",5,5,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.275,.326,.375,.701,7,.70,0.161,.74,0.10%,1.10,SS
2019-04-10,NYM,MIN,"W,9-6",4,2,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,.262,.340,.357,.698,7,.75,0.097,.75,0.06%,0.07,SS
2019-04-11,NYM,ATL,"W,6-3",4,4,1,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,.283,.353,.435,.788,7,1.13,0.297,1.41,0.22%,2.61,SS
2019-04-12,NYM,ATL,"W,6-2",5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.255,.321,.392,.714,2,.74,-0.110,.96,-0.09%,-1.88,SS
2019-04-13,NYM,ATL,"L,7-11",4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.255,.317,.382,.698,7,.56,0.066,.76,0.05%,2.04,SS
2019-04-14,NYM,ATL,"L,3-7",4,4,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,.254,.313,.373,.685,7,1.14,-0.074,1.47,-0.06%,-0.32,SS
2019-04-15,NYM,PHI,"W,7-6",5,5,0,2,1,0,0,0,0,0,1,0,0,0,0,1,1,0,.266,.319,.391,.709,7,1.26,-0.165,1.66,-0.13%,-0.76,SS
2019-04-16,NYM,PHI,"L,3-14",4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.265,.315,.382,.697,7,.16,-0.010,.22,-0.01%,-0.82,SS
2019-04-17,NYM,PHI,"L,2-3",4,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.264,.312,.375,.687,6,1.93,-0.060,2.57,-0.05%,-0.07,SS
2019-04-19,NYM,STL,"W,5-4",5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.260,.305,.364,.669,7,.81,-0.083,.89,-0.06%,-1.33,SS
2019-04-20,NYM,STL,"L,2-10",3,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,.263,.306,.388,.693,7,.45,-0.033,.52,-0.02%,0.94,SS
2019-04-21,NYM,STL,"L,4-6",4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.262,.303,.381,.684,5,1.16,-0.089,1.31,-0.06%,-0.82,SS
2019-04-24,NYM,PHI,"L,0-6",4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.261,.301,.375,.676,7,.95,-0.028,1.32,-0.02%,-0.53,SS
2019-04-26,NYM,MIL,"L,2-10",4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.253,.299,.363,.662,8,.31,0.006,.35,0.00%,-0.17,SS
2019-04-27,NYM,MIL,"L,6-8",4,4,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.263,.307,.400,.707,7,1.77,0.091,1.98,0.06%,1.16,SS
2019-04-28,NYM,MIL,"W,5-2",4,4,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,.263,.305,.404,.709,7,.97,0.146,1.05,0.09%,1.03,SS
2019-04-29,NYM,CIN,"L,4-5",4,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.262,.303,.398,.701,7,1.09,-0.003,1.20,0.00%,0.36,SS
2019-04-30,NYM,CIN,"W,4-3",4,3,0,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,.274,.319,.406,.724,7,.98,0.055,1.04,0.04%,0.89,SS
2019-05-01,NYM,CIN,"L,0-1",3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.275,.319,.404,.723,7,1.20,0.015,1.33,0.01%,0.05,SS
2019-05-02,NYM,CIN,"W,1-0",3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.268,.311,.393,.704,8,.68,-0.032,.72,-0.02%,-0.51,SS
2019-05-03,NYM,MIL,"L,1-3",4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,.267,.309,.388,.697,8,1.30,-0.095,1.46,-0.06%,-0.52,SS
2019-05-04,NYM,MIL,"L,3-4",7,7,0,1,0,1,0,1,0,0,4,0,0,0,0,0,0,0,.260,.300,.390,.690,7,1.81,-0.193,1.96,-0.13%,-0.28,SS
2019-05-05,NYM,MIL,"L,2-3",4,4,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,.276,.313,.409,.723,2,.92,0.056,.96,0.04%,0.73,SS
2019-05-07,NYM,SDP,"W,7-6",5,5,2,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,.280,.317,.417,.733,2,1.24,0.110,1.17,0.06%,1.18,SS
