date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2015-04-06,SEA,LAA,"W,4-1",4,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.500,.500,.750,1.250,1,.59,-0.028,.61,-0.02%,-0.71,CF
2015-04-07,SEA,LAA,"L,0-2",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.250,.250,.375,.625,2,.99,-0.095,1.11,-0.06%,-0.72,CF
2015-04-08,SEA,LAA,"L,3-5",5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,.231,.231,.308,.538,1,.88,-0.106,.91,-0.07%,-1.05,CF
2015-04-10,SEA,OAK,"L,0-12",4,3,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.313,.353,.375,.728,2,.23,-0.002,.23,0.00%,0.60,CF
2015-04-11,SEA,OAK,"W,5-4",6,6,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.273,.304,.318,.623,1,1.51,-0.129,1.54,-0.08%,-0.99,CF
2015-04-12,SEA,OAK,"W,8-7",5,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.231,.286,.269,.555,1,1.14,-0.025,1.17,-0.02%,-0.68,CF
2015-04-13,SEA,LAD,"L,5-6",0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.231,.286,.269,.555,2,,,,,,CF
2015-04-14,SEA,LAD,"L,5-6",5,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.226,.273,.258,.531,2,.69,-0.060,.63,-0.03%,-0.63,CF
2015-04-15,SEA,LAD,"L,2-5",4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.229,.270,.257,.527,2,.60,-0.018,.52,-0.01%,-0.19,CF
2015-04-17,SEA,TEX,"L,1-3",4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.231,.268,.256,.525,1,1.86,-0.031,1.74,-0.02%,0.06,CF
2015-04-18,SEA,TEX,"W,3-1",4,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.262,.311,.286,.597,1,.79,0.066,.73,0.04%,0.92,CF
