date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2015-04-06,OAK,TEX,"W,8-0",5,4,1,1,1,0,0,1,1,0,2,0,0,0,1,0,0,0,.250,.400,.500,.900,4,.33,-0.023,.34,-0.02%,1.33,DH
2015-04-07,OAK,TEX,"L,1-3",4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.250,.333,.375,.708,4,1.28,-0.059,1.45,-0.04%,-0.75,DH
2015-04-08,OAK,TEX,"W,10-0",5,4,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.333,.429,.417,.845,4,.43,-0.005,.46,0.00%,0.76,DH
2015-04-09,OAK,TEX,"L,1-10",4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.313,.389,.375,.764,4,.26,-0.024,.29,-0.02%,-0.62,DH
2015-04-10,OAK,SEA,"W,12-0",4,4,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.300,.364,.350,.714,4,.35,-0.024,.37,-0.02%,-0.23,DH
2015-04-11,OAK,SEA,"L,4-5",3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.348,.400,.391,.791,4,1.34,0.085,1.50,0.06%,0.53,DH
2015-04-12,OAK,SEA,"L,7-8",5,4,1,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,.407,.467,.481,.948,4,1.85,-0.185,1.95,-0.12%,0.79,DH
2015-04-13,OAK,HOU,"W,8-1",4,4,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,.387,.441,.548,.990,4,.51,0.047,.54,0.03%,1.79,DH
2015-04-14,OAK,HOU,"W,4-0",4,4,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,.371,.421,.543,.964,4,.97,0.006,1.10,0.00%,-0.11,DH
2015-04-15,OAK,HOU,"L,1-6",4,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.359,.405,.513,.918,4,.58,0.003,.67,0.00%,-0.18,DH
2015-04-17,OAK,KCR,"L,4-6",4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.349,.391,.488,.880,4,1.09,-0.049,1.10,-0.03%,-0.38,DH
2015-04-18,OAK,KCR,"W,5-0",4,4,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.362,.400,.489,.889,4,.65,0.033,.63,0.02%,0.49,DH
2015-04-19,OAK,KCR,"L,2-4",4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,.347,.407,.469,.877,4,1.20,-0.059,1.19,-0.04%,-0.60,DH
2015-04-20,OAK,LAA,"W,6-3",4,3,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.365,.431,.500,.931,4,.89,0.128,1.00,0.09%,1.55,DH
2015-04-21,OAK,LAA,"L,1-14",4,4,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.375,.435,.554,.989,4,.48,0.054,.54,0.04%,0.53,DH
2015-04-22,OAK,LAA,"W,9-2",5,5,1,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,.377,.433,.590,1.023,4,.98,0.089,1.09,0.06%,2.83,DH
2015-04-23,OAK,LAA,"L,0-2",4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.369,.423,.569,.992,4,1.14,0.001,1.33,0.00%,-0.20,DH
2015-04-24,OAK,HOU,"L,4-5",5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.343,.395,.529,.923,4,2.00,-0.265,2.35,-0.19%,-1.24,1B
2015-04-25,OAK,HOU,"L,3-9",4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.329,.388,.507,.894,4,.46,-0.034,.48,-0.02%,-0.52,DH
2015-04-26,OAK,HOU,"L,6-7",4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.325,.381,.506,.887,4,.97,-0.049,.98,-0.03%,-0.58,DH
2015-04-28,OAK,LAA,"W,6-2",4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.313,.375,.488,.863,4,.67,0.021,.60,0.01%,-0.74,DH
2015-04-29,OAK,LAA,"L,3-6",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.298,.359,.464,.823,4,1.48,-0.195,1.36,-0.11%,-1.57,DH
2015-04-30,OAK,LAA,"L,5-6",4,3,1,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,.287,.354,.448,.802,4,1.00,-0.107,.82,-0.05%,-1.14,DH
2015-05-01,OAK,TEX,"W,7-5",4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.275,.340,.429,.769,4,1.20,-0.118,.88,-0.05%,-1.12,DH
2015-05-02,OAK,TEX,"L,7-8",5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.260,.324,.406,.730,4,1.73,-0.246,1.30,-0.11%,-1.79,DH
2015-05-04,OAK,MIN,"L,7-8",5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.257,.318,.396,.714,4,1.23,-0.043,.91,-0.02%,-0.24,DH
2015-05-05,OAK,MIN,"W,2-1",4,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.267,.325,.400,.725,4,.96,0.083,.66,0.03%,0.70,DH
2015-05-06,OAK,MIN,"L,0-13",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.257,.314,.385,.699,4,.70,-0.062,.56,-0.03%,-0.79,DH
2015-05-07,OAK,MIN,"L,5-6",4,4,2,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.265,.320,.398,.718,4,1.24,0.102,.92,0.05%,1.20,DH
2015-05-08,OAK,SEA,"L,3-4",5,4,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,.265,.323,.393,.716,4,1.56,0.086,1.15,0.04%,0.89,DH
2015-05-09,OAK,SEA,"L,2-7",5,5,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,.262,.318,.385,.703,4,.82,0.075,.55,0.03%,0.67,DH
2015-05-10,OAK,SEA,"L,3-4",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.254,.309,.373,.682,4,.98,-0.099,.58,-0.04%,-0.80,DH
2015-05-11,OAK,BOS,"L,4-5",5,5,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.267,.319,.389,.708,4,1.89,0.249,1.02,0.08%,1.62,DH
2015-05-12,OAK,BOS,"W,9-2",5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.257,.308,.375,.683,4,.25,-0.020,.11,-0.01%,-1.26,DH
2015-05-13,OAK,BOS,"L,0-2",4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.257,.307,.371,.678,4,1.49,-0.111,.78,-0.04%,-1.14,DH
2015-05-15,OAK,CHW,"L,6-7",5,5,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,.262,.310,.372,.682,4,.97,0.013,.43,0.00%,0.39,DH
2015-05-16,OAK,CHW,"L,3-4",4,4,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.268,.314,.396,.710,4,.87,0.194,.34,0.05%,1.75,DH
2015-05-17,OAK,CHW,"L,3-7",4,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.268,.313,.392,.705,4,1.60,-0.070,.47,-0.01%,-0.25,DH
2015-05-18,OAK,HOU,"W,2-1",4,4,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.274,.317,.401,.719,4,.93,0.076,.28,0.01%,0.62,DH
2015-05-19,OAK,HOU,"L,4-6",4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.267,.310,.391,.701,4,1.18,-0.125,.47,-0.03%,-0.94,DH
2015-05-20,OAK,HOU,"L,1-6",4,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.270,.320,.393,.713,4,1.01,0.058,.34,0.01%,0.48,DH
2015-05-21,OAK,TBR,"L,0-3",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.263,.313,.383,.696,4,1.15,-0.113,.24,-0.01%,-0.99,DH
2015-05-22,OAK,TBR,"L,2-5",5,4,0,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,.269,.315,.386,.701,4,1.14,-0.074,.22,-0.01%,-0.38,DH
2015-05-23,OAK,TBR,"W,5-0",5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.267,.312,.381,.693,4,.93,-0.020,.17,0.00%,-0.77,DH
