date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2020-07-24,HOU,SEA,"W,8-2",4,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.250,.250,.500,.750,6,.58,-0.045,.67,-0.03%,0.53,SS
2020-07-25,HOU,SEA,"W,7-2",4,3,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,.286,.375,.429,.804,6,.46,0.028,.55,0.02%,0.83,SS
2020-07-26,HOU,SEA,"L,6-7",4,3,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.300,.417,.400,.817,6,1.54,-0.087,1.85,-0.06%,-0.54,SS
2020-07-27,HOU,SEA,"W,8-5",4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.308,.438,.385,.822,6,.71,0.008,.84,0.01%,0.05,SS
2020-07-28,HOU,LAD,"L,2-5",4,4,1,3,1,0,1,2,0,0,1,0,0,0,0,0,0,0,.412,.500,.706,1.206,6,1.24,0.164,1.35,0.11%,1.78,SS
2020-07-29,HOU,LAD,"L,2-4",6,5,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,.409,.500,.636,1.136,6,2.70,-0.184,2.94,-0.12%,-0.47,SS
2020-07-31,HOU,LAA,"W,9-6",5,4,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,.385,.484,.615,1.099,6,1.02,0.026,1.24,0.02%,0.26,SS
2020-08-01,HOU,LAA,"L,4-5",5,5,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,.323,.417,.516,.933,6,2.13,-0.333,2.66,-0.25%,-2.30,SS
2020-08-02,HOU,LAA,"W,6-5",2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.421,.515,.936,8,3.06,0.068,3.84,0.05%,0.20,PH SS
2020-08-04,HOU,ARI,"W,8-2",5,3,2,3,0,0,1,1,2,1,0,0,0,0,0,0,0,0,.389,.488,.639,1.127,5,.52,0.129,.57,0.09%,2.03,SS
2020-08-05,HOU,ARI,"L,7-14",4,4,1,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.400,.489,.650,1.139,5,.61,0.033,.68,0.02%,0.41,SS
2020-08-06,HOU,ARI,"L,4-5",4,4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,.386,.471,.614,1.084,6,.89,-0.038,.99,-0.03%,-0.09,SS
2020-08-07,HOU,OAK,"L,2-3",5,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.375,.464,.583,1.048,6,1.72,-0.181,2.21,-0.14%,-0.61,SS
2020-08-08,HOU,OAK,"L,1-3",3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.373,.458,.569,1.026,6,1.62,-0.018,2.05,-0.01%,-0.35,SS
2020-08-09,HOU,OAK,"L,2-7",4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.345,.429,.527,.956,6,.99,-0.102,1.21,-0.08%,-1.39,SS
2020-08-10,HOU,SFG,"W,6-4",4,3,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,.345,.433,.517,.950,6,.58,0.056,.62,0.04%,0.40,SS
2020-08-11,HOU,SFG,"L,6-7",5,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.333,.417,.492,.909,6,1.68,-0.273,1.88,-0.18%,-0.63,SS
2020-08-12,HOU,SFG,"W,5-1",4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.333,.421,.485,.906,5,1.12,0.127,1.21,0.08%,0.93,SS
2020-08-14,HOU,SEA,"W,11-1",3,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.324,.418,.471,.888,7,.11,0.010,.14,0.01%,-0.25,SS
2020-08-15,HOU,SEA,"W,2-1",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.310,.402,.451,.853,6,.67,-0.069,.86,-0.05%,-0.90,SS
2020-08-16,HOU,SEA,"W,3-2",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.293,.384,.427,.810,5,.94,-0.100,1.19,-0.08%,-0.83,SS
2020-08-17,HOU,COL,"W,2-1",4,4,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,.304,.389,.443,.832,5,1.11,0.127,1.31,0.09%,1.36,SS
2020-08-18,HOU,COL,"W,2-1",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.304,.396,.443,.839,8,2.48,0.005,2.87,0.00%,0.39,PH
2020-08-19,HOU,COL,"W,13-6",5,5,2,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,.321,.406,.488,.894,6,.66,0.106,.72,0.07%,1.51,SS
2020-08-20,HOU,COL,"W,10-8",5,5,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.315,.396,.472,.868,3,.47,0.009,.47,0.01%,-0.15,SS
2020-08-21,HOU,SDP,"L,3-4",5,5,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,.309,.387,.457,.844,3,1.95,-0.140,1.80,-0.08%,-0.65,SS
2020-08-22,HOU,SDP,"L,2-13",3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.302,.385,.448,.833,3,.43,0.018,.40,0.01%,-0.08,SS
2020-08-23,HOU,SDP,"L,3-5",4,4,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.300,.381,.440,.821,3,1.11,0.000,1.08,0.00%,0.21,SS
2020-08-24,HOU,LAA,"W,11-4",5,5,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,.295,.373,.438,.811,3,.91,0.159,1.01,0.11%,1.79,SS
2020-08-25,HOU,LAA,"W,6-3",4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.296,.377,.435,.812,3,.46,0.043,.49,0.03%,0.57,SS
2020-08-25,HOU,LAA,"L,5-12",3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.288,.368,.423,.791,6,.53,-0.048,.51,-0.03%,-0.88,SS
2020-08-29,HOU,OAK,"W,4-2",3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,.283,.367,.416,.783,6,.41,-0.028,.43,-0.02%,-0.84,SS
2020-08-29,HOU,OAK,"W,6-3",3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.284,.366,.414,.780,6,.49,-0.053,.49,-0.03%,-0.79,SS
2020-09-01,HOU,TEX,"L,5-6",4,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.292,.370,.417,.787,6,1.05,0.061,.97,0.03%,0.76,SS
2020-09-02,HOU,TEX,"W,2-1",3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.285,.362,.407,.769,6,.66,-0.053,.72,-0.03%,-0.65,SS
2020-09-04,HOU,LAA,"L,5-6",5,5,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.289,.364,.414,.778,6,1.89,-0.019,1.34,-0.01%,0.52,SS
2020-09-05,HOU,LAA,"L,9-10",4,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.295,.367,.424,.792,6,1.19,0.058,.95,0.03%,0.03,SS
2020-09-05,HOU,LAA,"L,6-7",3,3,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,.296,.367,.422,.789,6,.62,0.059,.55,0.03%,1.06,SS
2020-09-06,HOU,LAA,"L,5-9",4,4,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,.295,.364,.439,.802,5,1.49,0.010,1.50,0.01%,0.20,SS
2020-09-07,HOU,OAK,"L,0-6",4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.301,.367,.441,.808,6,.62,0.018,.77,0.01%,-0.07,SS
2020-09-08,HOU,OAK,"L,2-4",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.295,.360,.432,.792,6,1.33,-0.115,1.81,-0.09%,-0.79,SS
2020-09-08,HOU,OAK,"W,5-4",4,3,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,.289,.358,.423,.780,6,1.78,-0.038,2.42,-0.03%,0.00,SS
2020-09-09,HOU,OAK,"L,2-3",3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.289,.357,.421,.778,6,.56,-0.019,.71,-0.01%,-0.29,SS
2020-09-10,HOU,OAK,"L,1-3",3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.284,.351,.413,.764,6,.66,-0.051,.80,-0.04%,-0.39,SS
2020-09-12,HOU,LAD,"W,7-5",4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.285,.354,.411,.766,6,.77,0.041,.86,0.03%,0.29,SS
2020-09-13,HOU,LAD,"L,1-8",4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.278,.346,.401,.748,4,.54,-0.058,.59,-0.04%,-0.82,SS
2020-09-15,HOU,TEX,"W,4-1",3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.274,.346,.396,.742,7,.95,-0.014,1.33,-0.01%,0.13,SS
2020-09-16,HOU,TEX,"L,0-1",3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.269,.341,.389,.730,7,1.22,-0.097,1.44,-0.07%,-0.71,SS
2020-09-17,HOU,TEX,"W,2-1",3,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.271,.340,.388,.729,7,.42,0.020,.56,0.02%,0.29,SS
2020-09-18,HOU,ARI,"L,3-6",4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.270,.339,.385,.724,7,1.20,-0.055,1.03,-0.03%,-0.52,SS
2020-09-19,HOU,ARI,"W,3-2",3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,.266,.333,.379,.712,6,.93,-0.087,.93,-0.05%,-0.97,SS
2020-09-20,HOU,ARI,"W,3-2",4,3,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,.261,.327,.372,.699,7,2.77,-0.091,2.67,-0.05%,-1.27,SS
2020-09-21,HOU,SEA,"L,1-6",4,4,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.261,.325,.375,.700,7,1.25,-0.126,.92,-0.06%,-0.83,SS
2020-09-22,HOU,SEA,"W,6-1",4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.257,.324,.369,.693,7,1.08,-0.096,1.41,-0.08%,-1.15,SS
2020-09-23,HOU,SEA,"L,2-3",4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.257,.322,.366,.689,7,1.13,0.015,.37,0.00%,-0.09,SS
2020-09-24,HOU,TEX,"W,12-4",4,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.256,.321,.364,.685,7,.26,0.020,.20,0.01%,-0.06,SS
2020-09-25,HOU,TEX,"L,4-5",4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.256,.320,.362,.681,7,1.34,-0.068,.34,-0.01%,-0.57,SS
2020-09-27,HOU,TEX,"L,4-8",2,2,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.264,.326,.383,.709,7,1.03,0.130,.08,0.01%,1.40,SS
2021-04-01,HOU,OAK,"W,8-1",5,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.333,.600,.333,.933,5,.82,-0.049,.87,-0.03%,0.40,SS
2021-04-02,HOU,OAK,"W,9-5",5,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.125,.300,.125,.425,5,.42,-0.054,.46,-0.04%,-1.36,SS
