date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2015-04-06,NYY,TOR,"L,1-6",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,6,.46,-0.049,.48,-0.03%,-0.93,3B
2015-04-08,NYY,TOR,"W,4-3",4,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.250,.250,.250,.500,6,1.98,0.154,1.97,0.09%,0.84,3B
2015-04-09,NYY,TOR,"L,3-6",4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.182,.250,.182,.432,5,.91,-0.084,.93,-0.05%,-0.86,3B
2015-04-10,NYY,BOS,"L,5-6",8,7,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,.167,.250,.333,.583,6,2.58,0.113,2.55,0.07%,-1.07,3B
2015-04-11,NYY,BOS,"L,4-8",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.136,.208,.273,.481,5,.78,-0.075,.73,-0.04%,-0.83,3B
2015-04-12,NYY,BOS,"W,14-4",5,5,1,3,0,0,1,3,0,0,0,0,0,0,0,1,0,0,.222,.276,.444,.720,7,.13,0.061,.11,0.03%,1.51,3B
2015-04-13,NYY,BAL,"W,6-5",0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.222,.276,.444,.720,5,,,,,,3B
2015-04-14,NYY,BAL,"L,3-4",4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.226,.273,.419,.692,2,1.03,-0.011,1.02,-0.01%,-0.02,3B
2015-04-15,NYY,BAL,"L,5-7",5,4,2,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.229,.289,.400,.689,2,1.30,-0.082,1.18,-0.05%,-0.39,3B
2015-04-17,NYY,TBR,"W,5-4",4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,.205,.262,.359,.621,2,1.07,-0.143,.96,-0.08%,-1.01,3B
2015-04-18,NYY,TBR,"W,9-0",4,3,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.214,.283,.357,.640,7,.60,-0.037,.57,-0.02%,0.09,3B
