date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2015-04-06,ARI,SFG,"L,4-5",3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.000,.000,.000,.000,6,.89,-0.082,.93,-0.05%,-0.90,2B
2015-04-08,ARI,SFG,"L,2-5",4,4,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,.000,.000,.000,.000,2,1.61,-0.149,1.68,-0.09%,-0.97,2B
2015-04-10,ARI,LAD,"W,4-3",4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.000,.000,.000,.000,6,1.32,-0.136,1.27,-0.08%,-0.90,2B
2015-04-11,ARI,LAD,"W,6-0",4,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.000,.067,.000,.067,6,.53,-0.016,.54,-0.01%,-0.38,2B
2015-04-12,ARI,LAD,"L,4-7",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.067,.125,.133,.258,6,.03,0.002,.03,0.00%,0.88,PH
2015-04-13,ARI,SDP,"W,8-4",5,4,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,.105,.150,.158,.308,2,.66,0.022,.70,0.01%,-0.16,2B SS
2015-04-14,ARI,SDP,"L,1-5",4,4,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,.087,.125,.130,.255,2,.70,0.026,.77,0.02%,0.21,2B
2015-04-16,ARI,SFG,"W,7-6",6,6,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,.103,.133,.138,.271,6,.83,-0.059,.81,-0.04%,-1.08,2B
2015-04-17,ARI,SFG,"W,9-0",5,4,2,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,.152,.200,.182,.382,7,.46,0.042,.46,0.03%,0.13,2B
2015-04-18,ARI,SFG,"L,1-4",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.135,.179,.162,.342,7,1.34,-0.152,1.40,-0.10%,-1.56,2B
2015-04-19,ARI,SFG,"W,5-1",4,4,0,3,1,0,0,2,0,0,0,0,0,0,0,0,1,0,.195,.233,.244,.476,7,.75,0.171,.71,0.10%,2.63,2B
2015-04-21,ARI,TEX,"L,1-7",5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.196,.229,.239,.468,2,.85,-0.022,.78,-0.01%,-0.71,2B
2015-04-22,ARI,TEX,"W,8-5",4,4,2,2,0,1,1,2,0,0,1,0,0,0,0,0,0,0,.220,.250,.360,.610,6,.37,0.054,.34,0.03%,1.96,2B
2015-04-24,ARI,PIT,"L,1-4",4,4,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,.222,.250,.352,.602,6,1.18,0.009,1.19,0.01%,0.08,2B
2015-04-25,ARI,PIT,"L,1-2",4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,.241,.267,.362,.629,6,1.44,-0.089,1.38,-0.05%,-0.12,2B
2015-04-26,ARI,PIT,"L,0-8",4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.226,.250,.339,.589,6,.90,-0.068,.79,-0.04%,-1.02,2B SS
2015-04-27,ARI,COL,"L,4-5",4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.227,.250,.333,.583,6,1.45,-0.049,1.40,-0.03%,-0.52,2B
2015-04-28,ARI,COL,"W,12-5",5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.225,.247,.324,.571,2,.46,0.037,.41,0.02%,-0.23,2B SS
2015-04-29,ARI,COL,"W,9-1",5,4,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,.227,.247,.320,.567,2,.70,-0.064,.67,-0.04%,-0.61,2B
2015-05-01,ARI,LAD,"L,0-8",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.215,.235,.304,.538,2,.57,-0.055,.64,-0.04%,-1.00,2B
2015-05-03,ARI,LAD,"L,0-1",5,4,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,.205,.233,.289,.522,6,1.67,-0.106,1.60,-0.06%,-0.48,2B
2015-05-06,ARI,COL,"W,13-7",0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.205,.233,.289,.522,6,,,,,,2B
2015-05-06,ARI,COL,"W,5-1",4,4,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.207,.233,.299,.532,6,.59,-0.042,.49,-0.02%,-0.70,2B
2015-05-07,ARI,SDP,"W,11-0",5,4,2,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,.220,.253,.319,.571,6,.26,0.062,.25,0.04%,0.85,2B
2015-05-08,ARI,SDP,"L,5-6",4,4,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.221,.253,.347,.600,7,1.59,0.062,1.61,0.04%,0.97,SS
2015-05-09,ARI,SDP,"L,4-6",5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.210,.240,.330,.570,6,1.37,-0.180,1.29,-0.10%,-1.31,2B
2015-05-11,ARI,WSN,"L,1-11",4,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.221,.250,.337,.587,7,.03,0.004,.02,0.00%,0.16,2B SS
2015-05-12,ARI,WSN,"W,14-6",5,5,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,.239,.265,.376,.642,6,.36,0.076,.26,0.03%,2.08,2B
2015-05-13,ARI,WSN,"L,6-9",5,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.246,.271,.377,.648,6,1.02,-0.033,.79,-0.02%,-0.66,2B
2015-05-15,ARI,PHI,"L,3-4",4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.254,.279,.381,.660,5,1.37,-0.051,1.06,-0.02%,-0.06,2B
2015-05-16,ARI,PHI,"L,5-7",4,4,2,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.270,.294,.402,.695,6,.74,0.063,.50,0.03%,0.96,2B
2015-05-17,ARI,PHI,"L,0-6",4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.270,.292,.397,.689,7,.80,-0.080,.53,-0.03%,-0.65,SS
2015-05-18,ARI,MIA,"W,3-2",5,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,.267,.289,.389,.678,7,1.63,-0.019,.96,-0.01%,-0.45,SS
2015-05-19,ARI,MIA,"W,4-2",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.259,.281,.378,.658,6,1.02,-0.157,.68,-0.06%,-1.61,2B
2015-05-21,ARI,MIA,"W,7-6",5,4,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,.252,.273,.367,.640,6,1.54,0.002,1.19,0.00%,0.04,2B
2015-05-22,ARI,CHC,"W,5-4",6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.241,.262,.352,.613,6,1.63,-0.251,1.40,-0.13%,-1.32,2B
2015-05-23,ARI,CHC,"L,6-9",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.240,.260,.349,.609,9,.25,-0.007,.23,0.00%,-0.10,PH
2015-05-24,ARI,CHC,"W,4-3",3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.235,.255,.342,.597,7,.38,-0.029,.31,-0.01%,-0.36,2B
2015-05-25,ARI,STL,"L,2-3",5,4,0,1,0,0,0,0,0,0,2,0,1,0,0,1,0,0,.235,.255,.340,.595,6,2.96,-0.273,2.78,-0.15%,-1.45,2B
2015-05-29,ARI,MIL,"W,7-5",5,5,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,.241,.259,.342,.601,7,1.26,0.164,.85,0.07%,0.80,2B
2015-05-30,ARI,MIL,"W,7-3",4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.241,.259,.340,.599,7,.80,0.052,.58,0.02%,-0.29,2B
2015-05-31,ARI,MIL,"L,6-7",5,5,1,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,.240,.257,.335,.593,8,1.63,-0.117,1.32,-0.06%,-0.65,2B
2015-06-01,ARI,ATL,"L,1-8",3,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.241,.259,.341,.600,7,.42,-0.031,.31,-0.01%,-0.32,2B
2015-06-02,ARI,ATL,"W,7-6",5,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.241,.263,.339,.602,7,1.50,-0.089,1.06,-0.04%,-0.19,2B
2015-06-03,ARI,ATL,"W,9-8",4,4,1,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,.247,.268,.343,.610,6,1.39,0.189,1.06,0.09%,1.25,2B
2015-06-04,ARI,NYM,"L,2-6",4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.247,.267,.341,.608,6,.64,-0.052,.54,-0.03%,-0.12,2B
2015-06-05,ARI,NYM,"W,7-2",4,3,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,.249,.267,.341,.608,6,.55,-0.031,.43,-0.02%,-0.44,2B
2015-06-06,ARI,NYM,"W,2-1",3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.268,.340,.608,6,1.27,-0.048,1.11,-0.03%,-0.48,2B
2015-06-07,ARI,NYM,"L,3-6",4,4,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,.250,.268,.339,.606,6,1.10,0.025,.98,0.01%,0.33,2B
2015-06-08,ARI,LAD,"L,3-9",4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.245,.262,.332,.594,6,.15,-0.015,.15,-0.01%,-0.67,2B
2015-06-10,ARI,LAD,"L,6-7",4,3,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,.241,.257,.327,.584,6,1.46,-0.094,1.16,-0.05%,-0.68,2B
2015-06-12,ARI,SFG,"W,1-0",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.236,.252,.320,.573,6,1.52,-0.148,1.10,-0.07%,-1.50,2B
