date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2019-03-28,LAD,ARI,"W,12-5",4,3,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,.333,.500,1.333,1.833,2,.38,0.038,.40,0.02%,1.16,SS
2019-03-29,LAD,ARI,"L,4-5",7,6,0,1,0,0,0,1,1,0,3,0,0,0,0,0,0,0,.222,.364,.556,.919,5,1.77,0.128,1.90,0.08%,0.14,SS
2019-03-30,LAD,ARI,"W,18-5",4,4,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.231,.333,.462,.795,2,.94,-0.084,.95,-0.05%,-0.24,SS
2019-03-31,LAD,ARI,"W,8-7",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.214,.313,.429,.741,9,4.15,-0.106,4.62,-0.07%,-0.78,PH
2019-04-01,LAD,SFG,"L,2-4",4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.167,.250,.333,.583,3,.82,-0.086,.92,-0.06%,-0.87,SS
2019-04-02,LAD,SFG,"W,6-5",4,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.143,.250,.286,.536,3,.62,-0.054,.70,-0.04%,-0.77,SS
2019-04-03,LAD,SFG,"W,5-3",4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.130,.286,.261,.547,4,1.29,-0.063,1.57,-0.05%,-0.29,SS
2019-04-05,LAD,COL,"W,10-6",5,4,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.185,.333,.296,.630,2,.74,0.162,.91,0.12%,1.13,SS
2019-04-06,LAD,COL,"W,7-2",5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.188,.316,.281,.597,2,.60,-0.039,.74,-0.03%,-0.35,SS
2019-04-07,LAD,COL,"W,12-6",6,4,2,2,2,0,0,0,2,0,1,0,0,0,0,0,0,0,.222,.364,.361,.725,3,.44,0.103,.55,0.08%,1.11,SS
2019-04-08,LAD,STL,"L,3-4",4,4,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.250,.375,.375,.750,2,1.29,0.187,1.50,0.13%,1.69,SS
2019-04-09,LAD,STL,"L,0-4",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.244,.367,.366,.733,9,1.34,-0.031,1.54,-0.02%,-0.48,PH SS
2019-04-10,LAD,STL,"L,2-7",4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.222,.340,.333,.673,2,1.00,-0.105,1.15,-0.07%,-1.01,SS
2019-04-11,LAD,STL,"L,7-11",3,2,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.255,.375,.383,.758,3,.98,0.158,1.08,0.10%,1.58,SS
2019-04-12,LAD,MIL,"L,5-8",5,3,2,2,1,0,1,1,2,0,0,0,0,0,0,0,0,0,.280,.410,.480,.890,2,1.24,0.222,1.35,0.15%,1.92,SS
2019-04-13,LAD,MIL,"L,1-4",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,.259,.385,.444,.829,2,.93,-0.144,.97,-0.09%,-1.33,SS
2019-04-14,LAD,MIL,"W,7-1",5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.237,.357,.407,.764,2,.20,-0.025,.21,-0.02%,-1.23,SS
2019-04-15,LAD,CIN,"W,4-3",4,4,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.222,.338,.381,.719,2,1.52,-0.149,1.58,-0.09%,-1.20,SS
