date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2020-07-24,SDP,ARI,"W,7-2",5,4,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,.250,.400,.500,.900,1,.57,0.044,.67,0.03%,0.23,SS
2020-07-25,SDP,ARI,"W,5-1",4,3,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,.286,.444,.571,1.016,1,.86,-0.005,1.03,0.00%,0.09,SS
2020-07-26,SDP,ARI,"L,3-4",5,4,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,.273,.429,.455,.883,1,1.38,-0.084,1.65,-0.06%,-0.30,SS
2020-07-27,SDP,ARI,"W,6-2",4,4,0,2,0,1,0,3,0,0,2,0,0,0,0,0,0,0,.333,.444,.600,1.044,1,.92,0.135,1.12,0.10%,2.13,SS
2020-07-28,SDP,SFG,"W,5-3",4,4,1,1,0,0,1,3,0,0,2,0,0,0,0,0,0,0,.316,.409,.684,1.093,1,1.05,0.222,1.25,0.16%,1.60,SS
2020-07-29,SDP,SFG,"L,6-7",5,3,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.273,.407,.591,.998,1,.59,-0.043,.70,-0.03%,-0.68,SS
2020-07-30,SDP,SFG,"W,12-7",6,5,1,2,0,0,0,1,1,0,1,0,0,0,0,0,1,0,.296,.424,.556,.980,1,.60,-0.043,.73,-0.03%,1.11,SS
2020-07-31,SDP,COL,"W,8-7",5,5,1,2,0,0,1,2,0,0,2,0,0,0,0,0,1,0,.313,.421,.625,1.046,1,1.57,0.398,1.90,0.29%,0.89,SS
2020-08-01,SDP,COL,"L,1-6",4,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,.286,.405,.571,.976,1,.47,-0.028,.54,-0.02%,-0.45,SS
2020-08-02,SDP,COL,"L,6-9",5,5,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.275,.383,.550,.933,1,.65,-0.101,.78,-0.07%,-0.69,SS
2020-08-03,SDP,LAD,"W,5-4",4,3,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,.279,.392,.605,.997,1,.67,0.135,.85,0.10%,0.99,SS
2020-08-04,SDP,LAD,"L,2-5",4,4,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,.277,.382,.596,.978,1,1.35,0.028,1.67,0.02%,0.30,SS
2020-08-05,SDP,LAD,"L,6-7",5,4,2,2,0,0,1,2,1,0,1,0,0,0,0,0,1,0,.294,.400,.647,1.047,1,1.24,0.183,1.55,0.14%,2.28,SS
2020-08-07,SDP,ARI,"W,3-0",4,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.291,.391,.673,1.063,1,.47,0.074,.60,0.06%,0.38,SS
2020-08-08,SDP,ARI,"L,2-3",4,4,2,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,.322,.412,.780,1.191,1,.99,0.225,1.26,0.17%,2.49,SS
2020-08-09,SDP,ARI,"W,9-5",4,4,1,2,0,0,1,2,0,0,2,0,0,0,0,0,0,0,.333,.417,.810,1.226,1,.34,0.079,.44,0.06%,1.66,SS
2020-08-10,SDP,LAD,"W,2-1",4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.328,.408,.776,1.184,1,1.16,-0.064,1.52,-0.05%,-0.46,SS
2020-08-11,SDP,LAD,"W,6-2",5,5,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,.333,.407,.750,1.157,1,.55,0.055,.71,0.04%,0.14,SS
2020-08-12,SDP,LAD,"L,0-6",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.316,.388,.711,1.099,1,1.61,-0.226,2.02,-0.17%,-1.63,SS
2020-08-13,SDP,LAD,"L,2-11",3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.304,.375,.684,1.059,1,.59,-0.045,.76,-0.04%,-0.58,SS
2020-08-14,SDP,ARI,"L,1-5",4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.301,.370,.663,1.032,1,1.16,-0.056,1.57,-0.05%,-0.25,SS
2020-08-15,SDP,ARI,"L,6-7",5,4,3,2,1,0,1,3,1,0,1,0,0,0,0,0,0,0,.310,.381,.701,1.083,3,.73,0.095,1.02,0.08%,2.04,DH
2020-08-16,SDP,ARI,"L,4-5",5,3,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,.300,.382,.678,1.060,3,1.74,-0.089,2.49,-0.08%,-0.42,SS
2020-08-17,SDP,TEX,"W,14-4",5,5,2,2,0,0,2,7,0,0,1,0,0,0,0,0,0,0,.305,.383,.726,1.109,2,.33,0.000,.42,0.00%,3.66,SS
2020-08-18,SDP,TEX,"W,6-4",5,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.310,.384,.710,1.094,2,.59,0.009,.76,0.01%,0.08,SS
2020-08-19,SDP,TEX,"W,6-3",5,4,2,2,0,0,1,1,1,0,1,0,0,0,0,0,0,0,.317,.393,.731,1.124,2,1.91,0.200,2.50,0.16%,1.39,SS
2020-08-20,SDP,TEX,"W,8-7",5,5,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.312,.385,.706,1.092,2,.83,-0.007,1.08,-0.01%,-0.61,SS
2020-08-21,SDP,HOU,"W,4-3",4,3,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,.313,.389,.696,1.085,2,1.12,-0.084,1.40,-0.06%,-0.80,DH
2020-08-22,SDP,HOU,"W,13-2",4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.304,.385,.678,1.063,2,.28,-0.017,.31,-0.01%,-0.70,SS
2020-08-23,SDP,HOU,"W,5-3",4,3,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.314,.396,.678,1.073,2,.99,0.114,1.01,0.07%,0.93,SS
2020-08-25,SDP,SEA,"L,3-8",5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.301,.381,.650,1.032,2,.84,-0.092,.75,-0.05%,-1.16,SS
2020-08-27,SDP,SEA,"W,10-7",4,3,2,1,0,0,1,1,1,0,2,0,0,0,0,0,0,0,.302,.385,.667,1.051,2,2.00,0.176,2.08,0.11%,1.70,SS
2020-08-27,SDP,SEA,"L,3-8",4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.300,.381,.654,1.035,2,.80,-0.061,.76,-0.04%,-0.37,SS
2020-08-28,SDP,COL,"W,10-4",6,6,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.301,.379,.647,1.026,2,1.00,0.020,1.14,0.01%,-0.64,SS
2020-08-29,SDP,COL,"L,3-4",4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.302,.382,.640,1.022,2,.92,-0.035,.94,-0.02%,-0.34,SS
2020-08-30,SDP,COL,"W,13-2",5,4,3,3,2,0,0,1,0,0,1,1,0,0,0,0,1,0,.315,.395,.657,1.052,2,.47,0.093,.54,0.06%,2.09,SS
2020-08-31,SDP,COL,"W,6-0",5,4,2,1,0,1,0,2,1,0,2,0,0,0,0,0,0,0,.313,.395,.660,1.055,2,.62,0.122,.57,0.07%,0.84,SS
2020-09-02,SDP,LAA,"W,11-4",5,3,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,.307,.395,.647,1.042,2,1.35,0.004,.91,0.00%,0.68,SS
2020-09-03,SDP,LAA,"L,0-2",4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.305,.392,.636,1.028,2,.88,-0.060,.48,-0.02%,-0.47,SS
2020-09-04,SDP,OAK,"W,7-0",5,5,2,2,1,0,1,3,0,0,0,0,0,0,0,0,0,0,.308,.392,.654,1.046,1,.83,0.159,.50,0.06%,1.99,SS
2020-09-05,SDP,OAK,"L,4-8",5,4,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,.307,.392,.650,1.043,1,.66,-0.046,.32,-0.01%,-0.06,SS
2020-09-06,SDP,OAK,"W,5-3",5,4,2,2,0,0,1,2,0,0,1,1,0,0,0,0,0,0,.311,.398,.665,1.063,2,.97,0.211,.60,0.08%,1.89,SS
2020-09-07,SDP,COL,"W,1-0",4,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,.314,.405,.663,1.068,1,1.44,0.119,.91,0.05%,1.00,SS
