date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2021-04-01,MIA,TBR,"L,0-1",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,6,1.34,-0.101,1.23,-0.06%,-0.56,2B
2021-04-02,MIA,TBR,"L,4-6",4,3,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,.333,.429,.667,1.095,7,.65,0.033,.56,0.02%,0.29,2B
2021-04-03,MIA,TBR,"W,12-7",5,4,1,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,.200,.333,.400,.733,6,1.10,-0.053,.90,-0.03%,-0.88,2B
2021-04-06,MIA,STL,"L,2-4",4,3,0,1,1,0,0,1,0,0,2,0,0,1,0,0,0,0,.231,.313,.462,.774,6,2.19,0.085,1.85,0.04%,-0.72,2B
2021-04-07,MIA,STL,"L,0-7",4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.188,.300,.375,.675,6,.64,-0.037,.53,-0.02%,-0.75,SS
2021-04-08,MIA,NYM,"L,2-3",2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.176,.318,.353,.671,7,1.05,0.001,.87,0.00%,-0.03,2B
2021-04-10,MIA,NYM,"W,3-0",4,3,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,.200,.346,.500,.846,6,.53,0.082,.43,0.04%,0.88,2B
2021-04-11,MIA,NYM,"L,5-6",5,5,1,3,2,0,0,1,0,0,1,0,0,0,0,0,2,0,.280,.387,.600,.987,6,.66,0.145,.58,0.08%,1.93,2B
2021-04-12,MIA,ATL,"W,5-3",4,3,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,.286,.400,.607,1.007,6,1.68,0.075,1.43,0.04%,0.27,2B
2021-04-14,MIA,ATL,"W,6-5",5,4,1,2,0,0,1,3,1,0,2,0,0,0,0,0,1,0,.313,.425,.688,1.113,6,1.67,0.218,1.57,0.12%,2.85,2B
2021-04-15,MIA,ATL,"L,6-7",4,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.306,.409,.667,1.076,6,1.07,-0.049,1.09,-0.03%,-0.44,SS 2B
2021-04-16,MIA,SFG,"W,4-1",3,3,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.333,.426,.744,1.169,6,.98,0.138,.93,0.08%,0.97,2B
2021-04-17,MIA,SFG,"W,7-6",6,3,2,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,.357,.472,.738,1.210,6,1.96,0.123,1.84,0.07%,0.78,2B SS
2021-04-18,MIA,SFG,"L,0-1",3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.356,.464,.711,1.175,7,1.36,-0.079,1.39,-0.05%,-0.43,2B
2021-04-20,MIA,BAL,"L,5-7",2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.340,.448,.681,1.129,6,1.16,-0.060,1.08,-0.03%,-0.67,2B
2021-04-21,MIA,BAL,"W,3-0",4,4,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,.353,.452,.667,1.118,1,1.07,0.006,.87,0.00%,0.11,2B
2021-04-22,MIA,SFG,"L,0-3",4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.345,.439,.636,1.076,1,.62,-0.004,.56,0.00%,-0.10,2B
2021-04-23,MIA,SFG,"L,3-5",4,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.339,.429,.661,1.090,1,.62,0.057,.60,0.03%,0.58,2B
2021-04-24,MIA,SFG,"W,5-2",4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.317,.405,.619,1.024,1,.99,-0.101,.85,-0.05%,-0.74,SS 2B
2021-04-25,MIA,SFG,"L,3-4",5,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.294,.380,.574,.953,1,1.56,-0.200,1.38,-0.11%,-1.18,2B
2021-04-26,MIA,MIL,"W,8-0",5,5,1,2,1,0,0,0,0,0,1,0,0,0,0,0,2,0,.301,.381,.575,.956,1,.72,0.115,.64,0.06%,0.57,2B SS
2021-04-27,MIA,MIL,"L,4-5",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.311,.388,.581,.969,1,1.15,0.058,1.06,0.03%,0.63,2B
2021-05-16,MIA,LAD,"W,3-2",5,5,1,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,.316,.389,.570,.959,1,1.07,0.077,.85,0.04%,0.57,SS
2021-05-18,MIA,PHI,"L,3-8",4,4,2,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.325,.394,.602,.996,1,1.38,0.260,1.46,0.16%,1.52,2B
2021-05-19,MIA,PHI,"W,3-1",5,5,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,.318,.384,.580,.963,1,.87,-0.004,.79,0.00%,0.12,2B
2021-05-21,MIA,NYM,"L,5-6",6,6,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,1,.319,.381,.564,.945,1,1.76,-0.089,2.04,-0.06%,-0.49,2B
2021-05-22,MIA,NYM,"W,3-1",4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.306,.367,.541,.908,1,1.16,-0.118,1.26,-0.08%,-0.87,2B
2021-05-23,MIA,NYM,"W,5-1",4,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.304,.363,.529,.892,1,.81,0.047,.88,0.03%,0.42,2B
2021-05-24,MIA,PHI,"W,9-6",5,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.290,.347,.505,.852,1,.89,-0.108,.97,-0.07%,-1.38,2B SS
2021-05-25,MIA,PHI,"L,0-2",4,3,0,2,0,0,0,0,1,0,1,0,0,0,0,0,1,1,.300,.361,.509,.870,1,1.17,-0.034,1.46,-0.03%,-0.06,2B
2021-06-01,MIA,TOR,"L,1-5",4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.289,.349,.491,.840,1,.93,-0.095,.70,-0.04%,-0.98,SS
2021-06-02,MIA,TOR,"L,5-6",5,5,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.286,.344,.504,.848,1,.96,0.079,.76,0.04%,0.00,SS
2021-06-03,MIA,PIT,"L,3-5",4,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.285,.341,.496,.837,1,1.46,-0.052,1.00,-0.02%,-0.52,SS
2021-06-04,MIA,PIT,"L,2-9",4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.278,.338,.484,.822,6,.70,-0.031,.46,-0.01%,-0.31,SS
2021-06-05,MIA,PIT,"L,7-8",5,5,1,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,.282,.340,.511,.852,5,1.35,0.144,.90,0.06%,1.29,SS
2021-06-06,MIA,PIT,"W,3-1",4,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.276,.338,.500,.838,1,.98,-0.011,.50,0.00%,-0.31,SS
2021-06-07,MIA,BOS,"L,3-5",5,4,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,.275,.340,.493,.833,1,1.16,-0.046,.66,-0.02%,-0.42,SS
2021-06-08,MIA,COL,"W,6-2",5,5,2,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.280,.342,.490,.831,1,.72,0.000,.35,0.00%,-0.09,SS
