date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2018-03-30,DET,PIT,"L,10-13",7,4,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,.250,.571,.250,.821,2,1.59,0.154,1.49,0.09%,1.12,3B
2018-04-01,DET,PIT,"L,0-1",4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.143,.455,.143,.597,2,1.75,-0.139,1.48,-0.07%,-0.46,3B
2018-04-01,DET,PIT,"L,6-8",5,5,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,.167,.375,.333,.708,2,.73,-0.073,.61,-0.04%,-0.64,3B
2018-04-02,DET,KCR,"W,6-1",5,5,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.176,.333,.353,.686,2,.91,0.027,.81,0.01%,-0.23,3B
2018-04-03,DET,KCR,"L,0-1",4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.190,.320,.333,.653,2,1.57,-0.105,1.46,-0.06%,-0.31,3B
2018-04-05,DET,CHW,"W,9-7",6,6,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.185,.290,.296,.587,2,.93,-0.033,.89,-0.02%,-0.09,3B
2018-04-07,DET,CHW,"W,6-1",5,4,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.226,.333,.323,.656,2,.76,0.065,.73,0.04%,0.72,3B
2018-04-08,DET,CHW,"W,1-0",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.200,.300,.286,.586,2,.90,-0.106,.95,-0.07%,-1.07,3B
2018-04-09,DET,CLE,"L,0-2",4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.179,.273,.256,.529,2,1.56,-0.150,1.78,-0.10%,-1.09,3B
2018-04-10,DET,CLE,"L,1-2",4,3,0,3,3,0,0,1,0,0,0,1,0,0,0,0,0,0,.238,.333,.381,.714,2,1.21,0.313,1.26,0.20%,2.07,3B
2018-04-11,DET,CLE,"L,1-5",4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.222,.327,.356,.682,2,.73,-0.069,.76,-0.04%,-0.54,3B
2018-04-12,DET,CLE,"L,3-9",5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.200,.298,.320,.618,2,.35,-0.048,.35,-0.03%,-1.92,3B
2018-04-13,DET,NYY,"L,6-8",5,5,1,1,0,0,1,1,0,0,3,0,0,0,0,0,0,0,.200,.290,.364,.654,2,.73,-0.062,.59,-0.03%,0.24,3B
2018-04-17,DET,BAL,"W,4-2",4,4,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,.220,.303,.407,.710,2,.92,0.143,.69,0.06%,0.92,3B
2018-04-18,DET,BAL,"W,6-5",4,4,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.238,.314,.460,.775,2,.97,0.081,.77,0.04%,0.64,3B
2018-04-19,DET,BAL,"W,13-8",5,4,1,4,0,0,1,3,1,0,0,0,0,0,0,0,0,0,.284,.360,.537,.897,2,.80,0.195,.67,0.10%,3.18,3B
2018-04-20,DET,KCR,"W,3-2",4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.282,.354,.521,.876,2,.98,-0.093,.96,-0.06%,-0.77,3B
2018-04-20,DET,KCR,"L,2-3",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.267,.337,.493,.831,2,.80,-0.085,.80,-0.05%,-0.82,3B
2018-04-21,DET,KCR,"W,12-4",6,5,0,2,0,0,0,2,1,0,2,0,0,0,0,0,0,0,.275,.348,.488,.836,2,.94,0.062,.90,0.04%,0.83,3B
2018-04-22,DET,KCR,"L,5-8",4,3,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.277,.355,.494,.849,2,1.11,0.091,1.12,0.06%,0.96,3B
2018-04-25,DET,PIT,"W,13-10",6,6,5,3,1,0,1,1,0,0,1,0,0,0,1,0,0,0,.292,.364,.539,.903,2,.88,0.190,.82,0.11%,2.06,3B
2018-04-25,DET,PIT,"L,3-8",4,4,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,.290,.359,.548,.908,2,.63,0.040,.63,0.02%,0.52,3B
2018-04-26,DET,PIT,"L,0-1",0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.290,.359,.548,.908,3,,,,,,PR 3B
2018-04-27,DET,BAL,"L,0-6",4,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.281,.355,.531,.886,2,.60,-0.021,.56,-0.01%,-0.32,3B
2018-04-28,DET,BAL,"W,9-5",5,4,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.270,.348,.510,.858,2,.67,-0.100,.56,-0.05%,-1.45,3B
