date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2018-04-18,ATL,PHI,"W,7-3",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.30,-0.007,.35,-0.01%,-0.16,PH
2018-04-19,ATL,NYM,"W,12-4",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.00,0.000,.00,0.00%,-0.43,PH 3B
2018-04-20,ATL,NYM,"L,3-5",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,9,2.35,-0.055,3.07,-0.04%,-0.36,PH
2018-04-21,ATL,NYM,"W,4-3",4,3,1,1,0,1,0,1,1,0,2,0,0,0,0,0,0,0,.167,.286,.500,.786,7,2.28,0.554,2.83,0.41%,1.30,3B
2018-04-24,ATL,CIN,"L,7-9",2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.143,.333,.429,.762,9,2.41,0.022,2.51,0.01%,0.84,PH 2B
2018-04-25,ATL,CIN,"W,5-4",5,5,0,2,2,0,0,2,0,0,1,0,0,0,0,0,0,0,.250,.357,.583,.940,5,2.26,0.218,2.24,0.13%,1.39,3B
2018-04-27,ATL,PHI,"L,3-7",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.308,.400,.615,1.015,9,1.61,0.038,2.14,0.03%,0.21,PH
2018-04-29,ATL,PHI,"W,10-1",4,4,1,1,0,0,1,3,0,0,1,0,0,0,0,0,0,0,.294,.368,.706,1.074,6,.57,0.101,.77,0.08%,1.74,3B
2018-05-02,ATL,NYM,"W,7-0",2,2,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.316,.381,.842,1.223,6,.54,0.001,.80,0.00%,1.58,SS
2018-05-03,ATL,NYM,"W,11-0",5,4,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.261,.346,.696,1.042,6,.17,-0.019,.26,-0.02%,-0.36,SS
2018-05-04,ATL,SFG,"L,4-9",4,2,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,.280,.400,.680,1.080,7,.76,0.011,.96,0.01%,0.50,SS
2018-05-05,ATL,SFG,"L,2-11",4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.250,.382,.607,.989,7,.39,-0.037,.50,-0.03%,-0.21,SS
