date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2021-04-01,CIN,STL,"L,6-11",4,4,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.500,.500,.750,1.250,7,.41,0.005,.44,0.00%,0.03,2B
2021-04-03,CIN,STL,"W,9-6",4,3,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,.571,.625,.714,1.339,6,.50,0.026,.51,0.02%,1.42,2B
2021-04-04,CIN,STL,"W,12-1",4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.455,.500,.545,1.045,7,.72,-0.014,.75,-0.01%,0.40,2B
2021-04-05,CIN,PIT,"W,5-3",4,4,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,.400,.438,.467,.904,7,1.10,-0.004,1.26,0.00%,0.54,2B
2021-04-06,CIN,PIT,"W,14-1",5,4,3,3,0,1,0,4,0,0,0,0,0,1,0,0,0,0,.474,.476,.632,1.108,7,.26,0.048,.31,0.03%,2.50,2B
2021-04-07,CIN,PIT,"W,11-4",4,2,0,1,0,0,0,3,0,0,1,1,0,1,0,0,0,0,.476,.480,.619,1.099,6,.42,-0.003,.50,0.00%,0.02,2B
2021-04-09,CIN,ARI,"W,6-5",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.400,.414,.520,.934,7,.33,-0.029,.36,-0.02%,-0.90,2B
2021-04-10,CIN,ARI,"L,3-8",4,4,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,.379,.394,.483,.877,7,1.06,-0.084,1.21,-0.06%,-1.45,2B
2021-04-12,CIN,SFG,"W,3-0",3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.355,.389,.452,.841,7,.75,-0.040,.82,-0.03%,-0.35,2B
2021-04-13,CIN,SFG,"L,6-7",4,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.353,.400,.441,.841,7,1.70,0.232,1.92,0.16%,0.84,2B
2021-04-14,CIN,SFG,"L,0-3",3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.333,.395,.417,.812,7,1.02,0.026,1.11,0.02%,0.04,2B
2021-04-16,CIN,CLE,"W,10-3",4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.325,.383,.400,.783,6,.16,-0.014,.17,-0.01%,-0.36,2B
2021-04-17,CIN,CLE,"W,3-2",5,4,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,.295,.365,.364,.729,6,1.89,-0.138,2.02,-0.09%,-0.67,2B
2021-04-18,CIN,CLE,"L,3-6",2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.283,.352,.348,.700,9,1.07,-0.057,1.17,-0.04%,-0.60,2B
2021-04-20,CIN,ARI,"L,4-5",4,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.265,.345,.327,.671,6,1.21,-0.098,1.35,-0.07%,-0.51,2B
2021-04-21,CIN,ARI,"L,5-8",3,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,.255,.328,.314,.642,6,1.28,-0.039,1.32,-0.02%,-0.96,2B
