date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2019-03-28,MIN,CLE,"W,2-0",4,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.000,.250,.000,.250,2,.95,-0.090,1.03,-0.06%,-0.47,SS
2019-03-30,MIN,CLE,"L,1-2",4,3,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,.167,.375,.500,.875,2,2.04,0.052,2.28,0.04%,0.81,SS
2019-03-31,MIN,CLE,"W,9-3",5,5,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.273,.385,.455,.839,2,.47,0.045,.48,0.03%,0.08,SS
2019-04-02,MIN,KCR,"W,5-4",6,5,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.313,.421,.500,.921,2,2.19,0.223,2.48,0.15%,0.44,SS
2019-04-03,MIN,KCR,"W,7-6",5,5,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.286,.375,.476,.851,2,.97,-0.096,1.13,-0.07%,-0.64,SS
2019-04-05,MIN,PHI,"L,4-10",5,5,1,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,.423,.483,.808,1.290,2,.63,0.221,.67,0.14%,2.84,SS
2019-04-06,MIN,PHI,"W,6-2",5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.387,.441,.710,1.151,3,.37,-0.004,.37,0.00%,-0.32,SS
2019-04-07,MIN,PHI,"L,1-2",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.375,.429,.688,1.116,9,2.17,-0.057,2.25,-0.04%,-0.25,PH SS
2019-04-09,MIN,NYM,"W,14-8",5,5,2,3,0,1,1,2,0,0,0,0,0,0,0,0,0,0,.405,.450,.811,1.261,2,.66,0.152,.68,0.09%,2.61,SS
2019-04-10,MIN,NYM,"L,6-9",4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.375,.432,.750,1.182,2,.63,-0.003,.66,0.00%,-0.13,SS
2019-04-13,MIN,DET,"W,4-3",4,3,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,.372,.417,.721,1.138,2,1.03,-0.078,1.32,-0.06%,-1.23,SS
2019-04-14,MIN,DET,"W,6-4",4,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.383,.423,.702,1.125,2,.60,-0.059,.80,-0.05%,-0.49,SS
2019-04-15,MIN,TOR,"L,3-5",4,3,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.420,.464,.720,1.184,2,.82,0.114,.93,0.08%,1.23,SS
2019-04-16,MIN,TOR,"L,5-6",4,3,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.415,.467,.755,1.221,2,1.39,0.073,1.51,0.05%,0.53,SS
2019-04-17,MIN,TOR,"W,4-1",4,3,2,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,.429,.484,.768,1.252,2,.73,0.081,.76,0.05%,1.15,SS
2019-04-18,MIN,TOR,"L,4-7",5,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.400,.464,.717,1.180,2,1.02,-0.021,1.15,-0.02%,-0.50,SS
2019-04-20,MIN,BAL,"W,6-5",5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.369,.432,.662,1.094,1,1.08,-0.153,1.15,-0.10%,-1.76,SS
2019-04-21,MIN,BAL,"W,4-3",5,4,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,.362,.430,.652,1.083,1,.80,0.082,.93,0.06%,1.23,SS
2019-04-22,MIN,HOU,"W,9-5",5,5,2,4,1,0,1,4,0,0,0,0,0,0,0,1,0,0,.392,.452,.716,1.169,2,.80,0.177,.98,0.13%,3.39,SS
2019-04-23,MIN,HOU,"L,4-10",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.372,.432,.679,1.111,2,1.23,-0.127,1.50,-0.09%,-1.18,SS
2019-04-24,MIN,HOU,"L,1-7",4,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.366,.424,.695,1.119,2,.45,0.049,.55,0.04%,0.37,SS
2019-04-26,MIN,BAL,"W,6-1",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.349,.406,.663,1.069,2,.44,-0.046,.51,-0.03%,-1.14,SS
2019-04-27,MIN,BAL,"W,9-2",5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.341,.396,.637,1.033,2,.52,-0.072,.62,-0.05%,-0.76,SS
2019-04-28,MIN,BAL,"W,4-1",4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.337,.390,.632,1.022,2,.52,-0.039,.61,-0.03%,-0.35,SS
2019-04-29,MIN,HOU,"W,1-0",4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.327,.385,.612,.998,2,.87,-0.049,1.09,-0.04%,-0.61,SS
2019-04-30,MIN,HOU,"L,0-11",4,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,.320,.389,.600,.989,2,.71,0.013,.87,0.01%,0.26,SS
2019-05-01,MIN,HOU,"W,6-2",4,4,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.327,.393,.606,.999,2,.56,0.023,.71,0.02%,0.86,SS
2019-05-02,MIN,HOU,"W,8-2",4,3,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,.336,.405,.636,1.040,2,.31,0.005,.39,0.00%,0.87,SS
2019-05-03,MIN,NYY,"L,3-6",4,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,.327,.400,.618,1.018,2,.85,0.037,1.12,0.03%,0.41,SS
2019-05-04,MIN,NYY,"W,7-3",5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.313,.385,.591,.976,2,.56,-0.080,.73,-0.06%,-1.96,SS
2019-05-05,MIN,NYY,"L,1-4",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.303,.373,.571,.945,2,.84,-0.090,1.07,-0.07%,-0.93,SS
2019-05-06,MIN,TOR,"W,8-0",5,4,2,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,.317,.388,.610,.998,2,.48,0.074,.58,0.06%,3.05,SS
2019-05-07,MIN,TOR,"W,3-0",4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.317,.392,.603,.995,2,.96,0.044,1.21,0.03%,0.53,SS
2019-05-08,MIN,TOR,"W,9-1",5,5,2,5,1,0,1,2,0,0,0,0,0,0,0,0,0,0,.344,.412,.649,1.061,2,.48,0.268,.61,0.20%,3.95,SS
2019-05-10,MIN,DET,"W,6-0",5,4,0,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,.341,.412,.644,1.056,2,.74,0.151,1.05,0.13%,2.28,SS
2019-05-11,MIN,DET,"L,3-5",5,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.336,.405,.629,1.034,2,1.09,-0.045,1.51,-0.04%,-0.59,SS
2019-05-12,MIN,DET,"L,3-5",5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.324,.393,.607,1.000,2,1.43,-0.219,2.01,-0.19%,-1.78,SS
2019-05-13,MIN,LAA,"L,4-5",5,5,1,2,0,0,1,2,0,0,2,0,0,0,0,0,0,0,.327,.393,.620,1.013,2,1.59,0.058,2.01,0.04%,1.39,SS
2019-05-14,MIN,LAA,"W,4-3",4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,.327,.395,.614,1.010,2,.90,0.021,1.16,0.02%,-0.04,SS
2019-05-15,MIN,LAA,"W,8-7",4,4,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,.331,.398,.624,1.022,2,.40,0.039,.52,0.03%,0.67,DH
2019-05-16,MIN,SEA,"W,11-6",5,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.333,.398,.617,1.015,2,.28,-0.024,.35,-0.02%,0.39,SS
2019-05-17,MIN,SEA,"W,7-1",5,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.331,.398,.608,1.006,1,.38,0.005,.46,0.00%,-0.20,SS
2019-05-18,MIN,SEA,"W,18-4",4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.329,.395,.600,.995,1,.29,-0.025,.33,-0.02%,-0.89,SS
2019-05-19,MIN,SEA,"L,4-7",5,5,1,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.343,.405,.606,1.011,1,1.23,0.237,1.36,0.16%,2.92,SS
2019-05-20,MIN,LAA,"W,3-1",5,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.335,.400,.592,.992,2,1.08,-0.095,1.27,-0.07%,-0.99,DH
2019-05-21,MIN,LAA,"W,8-3",5,4,2,2,1,0,0,2,1,0,2,0,0,0,0,0,0,0,.339,.405,.596,1.001,2,1.15,0.267,1.23,0.17%,1.92,SS
2019-05-23,MIN,LAA,"W,16-7",4,3,1,2,1,0,1,3,1,0,0,0,0,0,0,0,0,0,.344,.411,.618,1.030,2,.37,0.085,.37,0.05%,2.73,SS
2019-05-24,MIN,CHW,"W,11-4",5,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.339,.411,.608,1.020,2,.60,-0.049,.66,-0.03%,-0.31,SS
2019-05-25,MIN,CHW,"W,8-1",5,5,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,.340,.411,.603,1.014,1,.34,-0.021,.36,-0.01%,0.49,DH
2019-05-26,MIN,CHW,"W,7-0",4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.335,.408,.594,1.002,2,.48,-0.003,.46,0.00%,-0.17,SS
