date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2018-03-29,STL,NYM,"L,4-9",4,4,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.750,.750,1.500,2.250,5,.63,0.161,.61,0.09%,1.94,1B
2018-03-31,STL,NYM,"L,2-6",4,3,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,.714,.750,1.143,1.893,5,.75,0.110,.68,0.06%,1.02,1B
2018-04-01,STL,NYM,"W,5-1",5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.455,.538,.727,1.266,5,.81,-0.054,.70,-0.03%,-0.40,1B
2018-04-02,STL,MIL,"W,8-4",4,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,.357,.412,.571,.983,5,.68,-0.012,.70,-0.01%,-0.45,1B
2018-04-03,STL,MIL,"L,4-5",4,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.444,.476,.611,1.087,5,.27,0.021,.28,0.01%,0.41,1B
2018-04-04,STL,MIL,"W,6-0",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.364,.400,.500,.900,5,.39,-0.037,.40,-0.02%,-0.87,1B
2018-04-05,STL,ARI,"L,1-3",4,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.333,.414,.458,.872,5,1.63,0.022,1.55,0.01%,0.48,1B
2018-04-07,STL,ARI,"W,5-3",4,4,1,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,.357,.424,.571,.996,5,1.11,0.315,1.02,0.17%,2.87,1B
2018-04-08,STL,ARI,"L,1-4",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.313,.378,.500,.878,5,1.07,-0.122,1.02,-0.07%,-1.09,1B
2018-04-09,STL,MIL,"L,4-5",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.278,.341,.444,.786,5,1.28,-0.131,1.31,-0.08%,-0.95,1B
2018-04-10,STL,MIL,"W,5-3",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.297,.357,.459,.817,8,3.38,0.100,3.35,0.06%,0.26,PH
2018-04-11,STL,MIL,"L,2-3",4,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.308,.391,.462,.853,5,1.94,0.159,2.01,0.10%,0.78,1B
2018-04-12,STL,CIN,"W,13-4",6,5,1,4,2,0,1,6,1,0,0,0,0,0,0,0,0,0,.364,.442,.614,1.056,5,1.15,0.357,1.02,0.19%,5.78,1B
2018-04-13,STL,CIN,"W,5-3",4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.375,.446,.604,1.051,5,.73,-0.003,.70,0.00%,-0.45,1B
2018-04-14,STL,CIN,"W,6-1",5,3,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,.373,.459,.608,1.067,3,.70,0.011,.71,0.01%,0.64,1B
2018-04-15,STL,CIN,"W,3-2",4,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.364,.446,.600,1.046,4,.51,-0.011,.53,-0.01%,-0.08,1B
2018-04-17,STL,CHC,"W,5-3",5,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.339,.429,.559,.988,5,.90,-0.052,1.11,-0.04%,-0.71,1B
2018-04-19,STL,CHC,"L,5-8",4,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.339,.432,.548,.981,5,.46,0.002,.57,0.00%,0.30,1B
2018-04-20,STL,CIN,"W,4-2",5,5,1,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.358,.443,.567,1.010,3,.73,0.134,.79,0.09%,1.13,1B
