date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2018-03-30,CIN,WSN,"L,0-2",4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.000,.000,.000,.000,7,1.43,-0.148,1.37,-0.09%,-0.94,SS
2018-03-31,CIN,WSN,"L,7-13",4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.000,.000,.000,.000,7,1.01,-0.112,.89,-0.06%,-1.22,SS
2018-04-01,CIN,WSN,"L,5-6",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,8,.94,-0.110,.79,-0.06%,-1.19,SS
2018-04-05,CIN,PIT,"L,2-5",4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.063,.063,.063,.125,7,1.08,-0.083,1.01,-0.05%,-0.70,SS
2018-04-06,CIN,PIT,"L,3-14",4,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.150,.150,.150,.300,7,.48,0.008,.43,0.00%,0.12,SS
2018-04-07,CIN,PIT,"W,7-4",4,3,2,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,.217,.217,.217,.435,8,1.67,0.034,1.43,0.02%,0.19,SS
2018-04-08,CIN,PIT,"L,0-5",2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.200,.200,.200,.400,7,.80,-0.040,.73,-0.02%,-0.32,SS
2018-04-09,CIN,PHI,"L,5-6",5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,.200,.200,.200,.400,2,1.87,-0.107,1.43,-0.05%,-0.38,SS
2018-04-10,CIN,PHI,"L,1-6",4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.206,.206,.206,.412,2,1.10,-0.075,.76,-0.03%,-0.51,SS
2018-04-11,CIN,PHI,"L,3-4",4,3,1,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,.243,.243,.270,.514,2,1.81,0.086,1.16,0.03%,0.77,SS
2018-04-12,CIN,STL,"L,4-13",5,5,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,.286,.286,.357,.643,2,.75,0.168,.48,0.07%,1.72,SS
