date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2015-04-06,TOR,NYY,"W,6-1",5,3,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,.000,.250,.000,.250,1,.69,0.123,.74,0.08%,0.67,SS
2015-04-08,TOR,NYY,"L,3-4",5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.125,.222,.125,.347,1,1.15,-0.002,1.30,0.00%,0.14,SS
2015-04-09,TOR,NYY,"W,6-3",4,4,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.250,.308,.250,.558,1,.56,0.038,.58,0.02%,0.79,SS
2015-04-10,TOR,BAL,"W,12-5",6,5,1,3,1,0,0,1,0,0,1,0,0,1,0,0,0,0,.353,.368,.412,.780,1,.32,0.005,.37,0.00%,0.01,SS
2015-04-11,TOR,BAL,"L,1-7",3,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,.368,.409,.421,.830,1,.83,0.036,1.01,0.03%,0.51,SS
2015-04-12,TOR,BAL,"W,10-7",5,5,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.417,.444,.500,.944,1,.58,0.097,.66,0.07%,1.39,SS
2015-04-13,TOR,TBR,"L,1-2",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.357,.387,.429,.816,1,1.18,-0.121,1.36,-0.08%,-0.79,SS
2015-04-14,TOR,TBR,"L,2-3",5,5,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.333,.361,.424,.785,1,1.78,-0.027,1.99,-0.02%,0.03,SS
2015-04-15,TOR,TBR,"W,12-7",3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.333,.359,.417,.776,1,.89,0.032,.94,0.02%,0.44,SS
2015-04-16,TOR,TBR,"L,2-4",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.324,.350,.405,.755,1,.87,-0.022,.96,-0.02%,-0.24,SS
2015-04-21,TOR,BAL,"W,13-6",5,4,1,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,.293,.311,.366,.677,1,.36,0.013,.37,0.01%,-0.48,SS
2015-04-22,TOR,BAL,"W,4-2",4,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.289,.306,.356,.662,1,.97,-0.027,1.01,-0.02%,-0.45,SS
2015-04-23,TOR,BAL,"W,7-6",5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.265,.283,.327,.610,1,.63,-0.031,.67,-0.02%,-1.21,SS
2015-04-24,TOR,TBR,"L,3-12",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.268,.308,.576,1,.80,-0.060,.90,-0.04%,-0.54,SS
2015-04-25,TOR,TBR,"L,2-4",4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.250,.267,.304,.570,1,.82,-0.016,.92,-0.01%,-0.16,SS
2015-04-27,TOR,BOS,"L,5-6",4,4,1,1,0,0,0,0,0,0,2,0,0,0,0,1,1,0,.250,.266,.300,.566,1,1.08,-0.074,1.11,-0.05%,-1.00,SS
2015-05-25,TOR,CHW,"W,6-0",4,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.250,.265,.313,.577,1,.32,0.049,.22,0.02%,0.12,SS
2015-05-26,TOR,CHW,"W,10-9",5,5,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.246,.260,.319,.579,1,1.76,0.110,1.30,0.05%,-0.03,SS
2015-05-27,TOR,CHW,"L,3-5",5,5,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.257,.269,.338,.607,1,1.78,-0.087,1.39,-0.04%,0.03,SS
2015-05-29,TOR,MIN,"W,6-4",5,5,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.266,.277,.354,.632,1,.83,0.024,.64,0.01%,0.33,SS
2015-05-30,TOR,MIN,"L,2-3",5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,.262,.273,.345,.618,1,1.68,-0.097,1.47,-0.05%,-0.38,SS
2015-05-31,TOR,MIN,"L,5-6",5,5,0,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0,.281,.290,.360,.650,1,1.76,0.241,1.41,0.12%,1.65,SS
2015-06-02,TOR,WSN,"L,0-2",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.269,.278,.344,.622,1,.89,-0.089,.64,-0.04%,-0.70,SS
2015-06-02,TOR,WSN,"W,7-3",5,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.265,.275,.337,.611,1,.80,-0.042,.54,-0.02%,-0.57,SS
2015-06-03,TOR,WSN,"W,8-0",5,4,1,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,.284,.299,.353,.652,1,.44,0.073,.32,0.03%,2.18,SS
2015-06-05,TOR,HOU,"W,6-2",4,4,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.283,.297,.377,.675,1,.60,0.167,.45,0.08%,1.04,SS
2015-06-06,TOR,HOU,"W,7-2",5,4,1,2,0,0,0,1,1,0,0,0,0,0,0,0,3,0,.291,.310,.382,.692,1,.52,0.059,.42,0.03%,1.16,SS
2015-06-07,TOR,HOU,"W,7-6",5,5,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,.296,.314,.383,.697,1,2.62,0.381,2.36,0.21%,1.04,SS
2015-06-08,TOR,MIA,"W,11-3",5,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.294,.317,.378,.696,1,.27,0.024,.23,0.01%,-0.16,SS
2015-06-09,TOR,MIA,"W,4-3",4,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.301,.323,.390,.713,1,1.37,0.019,1.25,0.01%,0.42,SS
2015-06-10,TOR,MIA,"W,7-2",4,3,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.302,.328,.413,.741,1,.56,-0.026,.58,-0.02%,0.29,SS
2015-06-12,TOR,BOS,"W,13-10",5,4,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,.300,.331,.408,.739,1,.83,0.039,.95,0.03%,0.13,SS
2015-06-13,TOR,BOS,"W,5-4",5,5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.296,.326,.400,.726,1,1.25,-0.098,1.57,-0.07%,-0.40,SS
2015-06-14,TOR,BOS,"W,13-5",5,5,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.300,.329,.407,.736,1,.49,-0.051,.63,-0.04%,0.66,SS
2015-06-15,TOR,NYM,"L,3-4",5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.290,.318,.393,.711,1,1.35,-0.161,1.71,-0.12%,-0.93,SS
2015-06-16,TOR,NYM,"L,2-3",4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.289,.316,.389,.706,1,1.23,-0.104,1.44,-0.07%,-0.80,SS
2015-06-17,TOR,NYM,"W,8-0",5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,.281,.313,.379,.692,1,.77,-0.087,.91,-0.06%,-1.12,SS
2015-06-18,TOR,NYM,"W,7-1",5,5,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.285,.315,.386,.702,1,.59,0.030,.73,0.02%,0.78,SS
2015-06-19,TOR,BAL,"W,5-4",4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.284,.314,.383,.697,1,.54,0.011,.77,0.01%,-0.30,SS
2015-06-20,TOR,BAL,"L,3-5",5,5,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.287,.316,.389,.706,1,1.24,0.054,1.76,0.05%,0.23,SS
2015-06-21,TOR,BAL,"L,9-13",5,4,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,.287,.315,.392,.707,1,1.48,-0.024,1.92,-0.02%,-0.27,SS
2015-06-22,TOR,TBR,"W,8-5",5,5,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.284,.312,.403,.715,1,.57,0.040,.80,0.03%,0.19,SS
2015-06-23,TOR,TBR,"L,3-4",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.278,.305,.394,.700,1,1.32,-0.134,2.03,-0.12%,-0.94,SS
2015-06-24,TOR,TBR,"W,1-0",5,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,.272,.303,.386,.688,1,1.61,-0.098,2.24,-0.08%,-0.53,SS
2015-06-26,TOR,TEX,"W,12-2",4,2,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,.274,.312,.387,.699,1,.53,0.043,.71,0.04%,0.73,SS
2015-06-27,TOR,TEX,"L,0-4",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.268,.305,.379,.684,1,.63,-0.063,.88,-0.05%,-0.74,SS
2015-06-28,TOR,TEX,"W,3-2",4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.268,.304,.376,.681,1,.78,0.000,.99,0.00%,0.27,SS
2015-06-29,TOR,BOS,"L,1-3",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.263,.299,.369,.667,1,1.15,-0.121,1.56,-0.10%,-0.94,SS
2015-06-30,TOR,BOS,"L,3-4",4,4,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.267,.302,.386,.688,1,1.01,0.175,1.33,0.14%,1.82,SS
2015-07-01,TOR,BOS,"W,11-2",5,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.280,.314,.396,.710,1,.50,0.089,.66,0.07%,1.42,SS
2015-07-02,TOR,BOS,"L,6-12",6,6,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,.272,.305,.385,.690,1,.74,-0.023,1.01,-0.02%,-1.89,SS
2015-07-03,TOR,DET,"L,6-8",3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.269,.301,.380,.681,1,.46,-0.035,.60,-0.03%,-0.43,SS
2015-07-04,TOR,DET,"L,3-8",5,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.271,.303,.385,.688,1,.40,0.002,.50,0.00%,-0.23,SS
2015-07-05,TOR,DET,"W,10-5",6,6,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.273,.304,.388,.692,1,.46,0.057,.55,0.04%,-0.17,SS
2015-07-06,TOR,CHW,"L,2-4",4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.273,.303,.385,.689,1,.76,-0.018,.96,-0.01%,-0.04,SS
2015-07-07,TOR,CHW,"W,2-1",4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,.272,.302,.383,.685,1,.97,-0.023,1.17,-0.02%,-0.20,SS
2015-07-08,TOR,CHW,"L,6-7",6,6,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.270,.299,.378,.677,1,1.94,-0.085,2.53,-0.07%,-0.36,SS
2015-07-10,TOR,KCR,"L,0-3",4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.269,.298,.376,.674,1,1.18,-0.125,1.40,-0.09%,-1.08,SS
2015-07-11,TOR,KCR,"W,6-2",5,4,1,3,1,0,0,1,1,0,0,0,0,0,0,0,3,0,.277,.308,.386,.694,1,1.20,0.194,1.28,0.12%,2.40,SS
2015-07-12,TOR,KCR,"L,10-11",5,5,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.283,.313,.390,.703,1,1.30,0.119,1.62,0.09%,0.83,SS
2015-07-17,TOR,TBR,"W,6-2",4,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,.281,.314,.387,.700,1,1.07,0.009,1.31,0.01%,0.08,SS
2015-07-18,TOR,TBR,"L,2-3",4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.285,.316,.388,.705,1,1.37,0.045,1.81,0.04%,-0.08,SS
2015-07-19,TOR,TBR,"W,4-0",4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.284,.315,.390,.706,1,.53,-0.018,.65,-0.01%,-0.21,SS
2015-07-21,TOR,OAK,"W,7-1",5,5,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,.286,.317,.390,.707,1,.75,0.011,.83,0.01%,-0.31,SS
2015-07-22,TOR,OAK,"L,3-4",5,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.286,.318,.388,.707,1,1.81,0.026,2.27,0.02%,0.41,SS
2015-07-23,TOR,OAK,"W,5-2",4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,.283,.317,.384,.701,1,.74,0.010,.87,0.01%,-0.07,SS
2015-07-24,TOR,SEA,"L,2-5",4,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,.286,.320,.386,.706,1,.90,0.035,1.12,0.03%,0.26,SS
2015-07-25,TOR,SEA,"W,8-6",5,5,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.284,.318,.386,.704,1,1.53,-0.144,1.87,-0.11%,-1.01,SS
2015-07-26,TOR,SEA,"L,5-6",5,3,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.285,.322,.385,.708,1,1.15,0.079,1.48,0.06%,0.60,SS
2015-07-29,COL,CHC,"L,2-3",4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,.285,.325,.385,.710,2,1.28,-0.053,.14,0.00%,-0.10,SS
2015-07-30,COL,STL,"L,8-9",5,4,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,.285,.323,.383,.706,2,1.37,-0.056,.07,0.00%,-0.69,SS
2015-07-31,COL,STL,"L,0-7",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.281,.319,.378,.697,2,.81,-0.084,.04,0.00%,-0.90,SS
2015-08-02,COL,STL,"L,2-3",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.277,.315,.373,.688,2,1.09,-0.111,.03,0.00%,-0.84,SS
2015-08-03,COL,SEA,"L,7-8",5,5,0,2,0,0,0,2,0,0,1,0,0,0,0,1,1,0,.279,.316,.373,.689,2,1.10,0.018,.02,0.00%,0.17,SS
2015-08-04,COL,SEA,"L,4-10",5,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.279,.317,.375,.692,2,.89,0.074,.01,0.00%,0.28,SS
2015-08-05,COL,SEA,"W,7-5",5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.278,.316,.372,.688,2,1.33,-0.087,.01,0.00%,-0.75,SS
2015-08-07,COL,WSN,"W,5-4",4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.277,.315,.371,.686,2,.70,-0.034,.01,0.00%,-0.27,SS
2015-08-08,COL,WSN,"L,1-6",4,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,.275,.312,.367,.679,2,.77,-0.062,.01,0.00%,-0.78,SS
2015-08-09,COL,WSN,"W,6-4",4,3,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,.275,.312,.370,.682,2,1.17,0.040,.01,0.00%,0.08,SS
2015-08-10,COL,NYM,"L,2-4",4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.275,.312,.369,.680,1,.87,-0.070,.02,0.00%,-0.59,SS
2015-08-11,COL,NYM,"L,0-4",4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.275,.311,.370,.681,2,.70,-0.054,.01,0.00%,-0.10,SS
2015-08-12,COL,NYM,"L,0-3",4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.274,.310,.369,.679,2,.79,-0.038,.00,0.00%,-0.21,SS
2015-08-14,COL,SDP,"L,5-9",5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.273,.309,.366,.675,2,.93,-0.067,.00,0.00%,-0.91,SS
2015-08-15,COL,SDP,"L,5-7",4,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,.274,.309,.366,.675,2,.87,-0.027,.00,0.00%,-0.49,SS
2015-08-16,COL,SDP,"W,5-0",4,4,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,.274,.308,.365,.673,2,.57,-0.055,.00,0.00%,0.05,SS
2015-08-18,COL,WSN,"L,6-15",5,5,2,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,.281,.315,.382,.697,1,.95,0.083,.00,0.00%,1.36,SS
