date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2019-03-20,OAK,SEA,"L,7-9",4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.250,.250,.500,.750,7,1.21,-0.031,1.33,-0.02%,-0.37,2B
2019-03-21,OAK,SEA,"L,4-5",6,6,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.200,.200,.300,.500,7,1.78,-0.162,1.80,-0.10%,-0.55,2B
2019-03-28,OAK,LAA,"W,4-0",4,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.214,.214,.429,.643,5,.58,0.057,.55,0.03%,-0.01,1B
2019-03-29,OAK,LAA,"L,2-6",4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.176,.222,.353,.575,6,.88,0.024,.85,0.01%,-0.04,2B
2019-03-30,OAK,LAA,"W,4-2",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.143,.182,.286,.468,6,.43,-0.043,.40,-0.02%,-0.82,2B
2019-03-31,OAK,LAA,"W,2-1",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.120,.154,.240,.394,7,.96,-0.099,.94,-0.06%,-1.39,2B
2019-04-01,OAK,BOS,"W,7-0",4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.138,.167,.241,.408,7,.27,0.001,.25,0.00%,-0.60,2B
2019-04-02,OAK,BOS,"W,1-0",3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.125,.152,.219,.370,7,.81,-0.060,.79,-0.04%,-0.73,2B
2019-04-03,OAK,BOS,"L,3-6",4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.139,.162,.222,.384,6,1.24,-0.001,1.24,0.00%,0.31,2B
2019-04-04,OAK,BOS,"W,7-3",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.125,.146,.200,.346,7,.76,-0.093,.74,-0.05%,-1.53,2B
2019-04-05,OAK,HOU,"L,2-3",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.114,.133,.182,.315,7,1.57,-0.164,1.65,-0.10%,-1.19,2B
2019-04-07,OAK,HOU,"L,8-9",4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,.106,.143,.170,.313,7,.82,-0.029,.84,-0.02%,-0.02,2B
2019-04-08,OAK,BAL,"L,4-12",4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,.120,.170,.180,.350,7,1.24,0.108,1.08,0.06%,0.97,2B
2019-04-09,OAK,BAL,"W,13-2",5,5,3,4,0,0,1,5,0,0,1,0,0,0,0,0,0,0,.182,.224,.291,.515,8,.57,0.114,.46,0.06%,4.03,2B
