date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2018-03-29,TOR,NYY,"L,1-6",4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.000,.250,.000,.250,3,.67,-0.045,.70,-0.03%,-0.64,1B
2018-03-30,TOR,NYY,"L,2-4",4,4,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.143,.250,.286,.536,3,.44,-0.014,.45,-0.01%,-0.15,1B
2018-03-31,TOR,NYY,"W,5-3",4,4,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,.364,.417,.545,.962,3,1.16,0.216,1.13,0.13%,2.28,1B
2018-04-01,TOR,NYY,"W,7-4",5,4,2,3,0,0,2,6,1,0,1,0,0,0,0,0,0,0,.467,.529,1.000,1.529,3,2.66,0.822,2.77,0.51%,5.06,1B
2018-04-02,TOR,CHW,"W,4-2",4,4,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,.368,.429,.789,1.218,3,.50,-0.046,.48,-0.03%,-0.24,1B
2018-04-03,TOR,CHW,"W,14-5",5,3,2,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,.364,.462,.773,1.234,3,.29,0.020,.29,0.01%,1.62,1B
2018-04-04,TOR,CHW,"L,3-4",4,4,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,.346,.433,.731,1.164,3,1.80,0.159,1.81,0.10%,1.20,1B
2018-04-06,TOR,TEX,"W,8-5",5,3,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,.345,.429,.690,1.118,3,.56,0.051,.54,0.03%,0.18,1B
2018-04-07,TOR,TEX,"L,1-5",4,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,.313,.410,.625,1.035,3,.57,0.005,.57,0.00%,-0.02,1B
2018-04-08,TOR,TEX,"W,7-4",5,5,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.324,.409,.595,1.004,3,.34,0.014,.34,0.01%,-0.47,1B
2018-04-09,TOR,BAL,"W,7-1",5,5,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.333,.408,.571,.980,3,.84,-0.155,.96,-0.11%,-1.79,DH
2018-04-10,TOR,BAL,"W,2-1",5,3,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.311,.407,.533,.941,3,1.53,-0.012,1.81,-0.01%,-0.40,1B
2018-04-11,TOR,BAL,"L,3-5",4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.292,.397,.500,.897,2,.99,-0.046,1.20,-0.03%,-0.47,1B
2018-04-13,TOR,CLE,"W,8-4",5,4,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,.269,.381,.462,.842,3,.75,-0.072,.80,-0.05%,-0.83,1B
