date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2019-03-28,ARI,LAD,"L,5-12",4,3,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,.000,.000,.000,.000,6,.24,-0.024,.26,-0.02%,-0.61,CF
2019-03-29,ARI,LAD,"W,5-4",6,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,6,2.13,-0.149,2.10,-0.09%,-1.21,2B
2019-03-30,ARI,LAD,"L,5-18",4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.077,.071,.077,.148,6,.56,-0.049,.59,-0.03%,-0.80,2B
2019-03-31,ARI,LAD,"L,7-8",4,4,1,2,0,1,0,2,0,0,0,0,0,0,0,0,1,0,.176,.167,.294,.461,6,1.29,0.238,1.34,0.15%,2.23,2B CF
2019-04-01,ARI,SDP,"W,10-3",5,5,3,3,0,0,0,1,0,0,1,0,0,0,0,0,1,0,.273,.261,.364,.625,6,.48,-0.018,.47,-0.01%,0.70,CF
2019-04-02,ARI,SDP,"W,8-5",5,5,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.296,.286,.481,.767,6,.68,0.094,.71,0.06%,0.19,2B CF
2019-04-03,ARI,SDP,"L,1-4",4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.290,.281,.484,.765,2,.77,0.000,.88,0.00%,0.09,CF
2019-04-05,ARI,BOS,"W,15-8",5,5,2,2,0,0,2,5,0,0,2,0,0,0,0,0,0,0,.306,.297,.639,.936,6,.37,0.106,.34,0.06%,3.00,2B SS
2019-04-06,ARI,BOS,"W,5-4",4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.300,.293,.600,.893,2,1.00,-0.019,.94,-0.01%,-0.46,2B CF
2019-04-07,ARI,BOS,"L,0-1",3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.279,.273,.558,.831,6,.97,-0.052,.94,-0.03%,-0.42,2B
2019-04-09,ARI,TEX,"W,5-4",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.255,.250,.511,.761,2,1.51,-0.153,1.45,-0.09%,-1.18,CF
2019-04-10,ARI,TEX,"L,2-5",4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.255,.250,.490,.740,5,1.24,-0.044,1.21,-0.03%,-0.16,2B SS
2019-04-11,ARI,SDP,"L,6-7",3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.241,.236,.463,.699,6,1.46,-0.119,1.70,-0.08%,-1.56,2B
2019-04-13,ARI,SDP,"L,4-5",5,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.237,.233,.458,.691,2,1.48,0.131,1.59,0.09%,-0.49,CF
2019-04-14,ARI,SDP,"W,8-4",4,4,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.254,.250,.508,.758,3,.69,0.163,.70,0.10%,0.96,CF
2019-04-16,ARI,ATL,"W,9-6",6,4,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.239,.257,.478,.735,2,1.37,0.005,1.27,0.00%,-0.18,2B CF
2019-04-17,ARI,ATL,"W,3-2",4,4,0,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,.254,.270,.493,.763,6,1.62,0.193,1.56,0.11%,0.73,2B
2019-04-18,ARI,ATL,"W,4-1",5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.237,.253,.461,.714,6,1.07,-0.140,1.04,-0.08%,-1.97,2B SS CF
2019-04-19,ARI,CHC,"L,1-5",4,4,0,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,.250,.265,.475,.740,6,.70,0.033,.70,0.02%,1.30,CF
2019-04-20,ARI,CHC,"W,6-0",5,5,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,.247,.261,.459,.720,6,.44,-0.034,.43,-0.02%,-1.42,2B
2019-04-21,ARI,CHC,"L,1-2",3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.241,.264,.448,.712,6,1.42,-0.054,1.55,-0.04%,-0.30,2B
