date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2019-03-20,OAK,SEA,"L,7-9",4,4,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.250,.250,1.000,1.250,4,.61,0.137,.67,0.09%,1.41,DH
2019-03-21,OAK,SEA,"L,4-5",6,5,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,.222,.300,.556,.856,4,2.86,0.056,2.90,0.03%,0.61,DH
2019-03-28,OAK,LAA,"W,4-0",4,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.231,.286,.692,.978,4,.56,-0.050,.53,-0.03%,-0.53,DH
2019-03-29,OAK,LAA,"L,2-6",4,4,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.294,.333,.824,1.157,4,.96,0.257,.93,0.15%,1.56,DH
2019-03-30,OAK,LAA,"W,4-2",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.238,.273,.667,.939,4,.64,-0.069,.60,-0.04%,-1.24,DH
2019-03-31,OAK,LAA,"W,2-1",4,3,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,.250,.308,.750,1.058,4,.90,0.086,.89,0.05%,0.75,DH
2019-04-01,OAK,BOS,"W,7-0",4,4,2,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,.250,.300,.786,1.086,4,.49,0.079,.45,0.04%,1.20,DH
2019-04-02,OAK,BOS,"W,1-0",3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.241,.333,.759,1.092,4,.59,0.012,.57,0.01%,0.16,DH
2019-04-03,OAK,BOS,"L,3-6",4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,.212,.297,.667,.964,4,1.10,-0.154,1.10,-0.09%,-1.51,DH
2019-04-04,OAK,BOS,"W,7-3",5,4,0,2,0,0,0,1,1,1,2,0,0,0,0,0,0,0,.243,.333,.649,.982,4,.56,0.048,.54,0.03%,0.91,DH
2019-04-05,OAK,HOU,"L,2-3",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.220,.304,.585,.890,4,1.75,-0.190,1.83,-0.12%,-1.70,DH
2019-04-06,OAK,HOU,"L,0-6",4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.222,.300,.556,.856,4,.87,-0.084,.95,-0.06%,-0.79,DH
2019-04-08,OAK,BAL,"L,4-12",4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.224,.296,.531,.827,4,1.38,-0.114,1.19,-0.06%,-1.28,DH
2019-04-09,OAK,BAL,"W,13-2",5,5,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.222,.288,.500,.788,4,.30,0.022,.24,0.01%,-0.75,DH
2019-04-10,OAK,BAL,"W,10-3",5,5,2,3,0,0,2,4,0,0,1,0,0,0,0,0,0,0,.254,.313,.610,.923,4,.52,0.087,.42,0.04%,2.95,DH
2019-04-11,OAK,BAL,"W,8-5",5,5,2,2,0,0,2,3,0,0,1,0,0,0,0,0,0,0,.266,.319,.688,1.006,4,.63,0.219,.53,0.11%,1.96,DH
2019-04-12,OAK,TEX,"W,8-6",4,4,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.265,.315,.706,1.021,4,1.35,0.149,1.33,0.09%,0.18,DH
2019-04-14,OAK,TEX,"L,7-8",4,4,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.264,.312,.694,1.006,4,.42,0.073,.44,0.05%,0.55,DH
2019-04-16,OAK,HOU,"L,1-9",2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.270,.316,.689,1.006,4,.47,0.035,.50,0.02%,0.28,DH
2019-04-17,OAK,HOU,"W,2-1",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.260,.305,.662,.967,4,.87,-0.070,.88,-0.04%,-0.75,DH
2019-04-19,OAK,TOR,"L,1-5",4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.247,.291,.630,.920,4,.68,-0.070,.65,-0.04%,-0.98,DH
2019-04-20,OAK,TOR,"L,1-10",3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.238,.281,.607,.888,4,.72,-0.051,.64,-0.03%,-0.83,DH
2019-04-21,OAK,TOR,"L,4-5",4,3,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.253,.301,.609,.910,4,1.49,0.234,1.25,0.12%,1.90,DH
2019-04-22,OAK,TEX,"W,6-1",4,3,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.244,.299,.589,.888,4,.56,-0.024,.49,-0.01%,-0.39,DH
2019-04-23,OAK,TEX,"W,11-5",5,5,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,.242,.294,.568,.863,4,.35,-0.025,.33,-0.01%,-0.31,DH
2019-04-24,OAK,TEX,"W,6-5",5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.232,.290,.545,.835,4,1.65,-0.122,1.64,-0.07%,-0.59,DH
