date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2019-03-28,CHC,TEX,"W,12-4",3,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.333,.333,.667,1.000,9,.15,-0.017,.14,-0.01%,-0.90,PH LF
2019-03-30,CHC,TEX,"L,6-8",5,5,1,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.500,.500,1.000,1.500,5,.93,0.175,.90,0.10%,1.42,DH
2019-03-31,CHC,TEX,"L,10-11",5,4,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,.417,.462,1.000,1.462,5,1.32,-0.017,1.21,-0.01%,0.33,DH
2019-04-01,CHC,ATL,"L,0-8",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.385,.429,.923,1.352,8,.02,-0.001,.02,0.00%,-0.26,PH
2019-04-03,CHC,ATL,"L,4-6",5,4,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,.353,.421,.765,1.186,5,1.28,-0.070,1.14,-0.04%,-0.79,LF
2019-04-04,CHC,ATL,"L,4-9",4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.300,.391,.650,1.041,7,.37,-0.033,.32,-0.02%,-0.38,LF
2019-04-05,CHC,MIL,"L,10-13",5,5,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.280,.357,.560,.917,5,.49,-0.050,.46,-0.03%,-0.46,LF
2019-04-06,CHC,MIL,"W,14-8",4,3,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,.286,.375,.536,.911,5,.54,0.040,.48,0.02%,0.86,LF
2019-04-07,CHC,MIL,"L,2-4",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.250,.333,.469,.802,5,1.46,-0.191,1.39,-0.11%,-2.08,LF
2019-04-08,CHC,PIT,"W,10-0",4,4,1,1,0,0,1,2,0,0,0,0,0,0,1,0,0,0,.250,.325,.528,.853,5,.36,0.014,.30,0.01%,2.25,LF
2019-04-10,CHC,PIT,"L,2-5",4,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,.225,.295,.475,.770,5,1.12,-0.142,1.02,-0.08%,-1.36,LF
2019-04-11,CHC,PIT,"W,2-0",4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.205,.271,.432,.703,5,.88,-0.091,.74,-0.05%,-0.79,LF
2019-04-12,CHC,LAA,"W,5-1",4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.208,.269,.417,.686,8,.28,0.003,.20,0.00%,-0.14,LF
2019-04-13,CHC,LAA,"L,5-6",5,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.192,.263,.385,.648,7,2.61,-0.325,2.06,-0.15%,-1.63,LF
2019-04-17,CHC,MIA,"W,6-0",4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.196,.262,.375,.637,8,.28,0.016,.25,0.01%,-0.30,LF
2019-04-19,CHC,ARI,"W,5-1",4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.203,.277,.373,.650,8,.92,0.032,.86,0.02%,0.43,LF
2019-04-20,CHC,ARI,"L,0-6",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.194,.265,.355,.620,8,.62,-0.048,.58,-0.03%,-0.68,LF
2019-04-23,CHC,LAD,"W,7-2",4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.197,.264,.348,.612,5,.70,-0.070,.67,-0.04%,-0.85,LF
2019-04-24,CHC,LAD,"W,7-6",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.191,.257,.338,.595,5,.74,-0.039,.76,-0.02%,-0.37,LF
2019-04-25,CHC,LAD,"L,1-2",2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.263,.357,.620,8,1.59,0.015,1.65,0.01%,-0.14,LF
2019-04-26,CHC,ARI,"L,3-8",2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.208,.269,.361,.630,8,.18,-0.015,.18,-0.01%,0.02,PH LF
2019-04-27,CHC,ARI,"W,9-1",4,4,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,.224,.280,.395,.675,8,.33,-0.030,.34,-0.02%,-0.57,LF
