date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2018-03-29,SDP,MIL,"L,1-2",5,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.250,.400,.250,.650,1,1.27,0.026,1.21,0.02%,-0.03,CF
2018-03-30,SDP,MIL,"L,6-8",5,5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.222,.300,.222,.522,1,.79,0.012,.72,0.01%,0.00,CF
2018-03-31,SDP,MIL,"L,3-7",4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.167,.286,.167,.452,1,1.05,-0.087,.90,-0.05%,-0.77,CF
2018-04-02,SDP,COL,"L,4-7",5,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.125,.263,.125,.388,1,.93,-0.039,.81,-0.02%,-0.41,CF
2018-04-03,SDP,COL,"W,8-4",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.100,.217,.100,.317,1,.82,-0.083,.69,-0.04%,-0.78,CF
2018-04-05,SDP,COL,"L,1-3",4,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.125,.222,.250,.472,1,1.02,-0.035,.81,-0.02%,0.36,CF
2018-04-06,SDP,HOU,"W,4-1",5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.138,.219,.241,.460,1,.97,0.002,.63,0.00%,-0.41,CF
2018-04-07,SDP,HOU,"L,0-1",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.121,.194,.212,.407,9,1.80,-0.216,1.27,-0.09%,-1.38,CF
2018-04-08,SDP,HOU,"L,1-4",4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,.135,.200,.216,.416,9,1.33,-0.014,.89,-0.01%,-0.22,CF
2018-04-09,SDP,COL,"W,7-6",4,3,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,.150,.227,.225,.452,8,1.25,0.072,.93,0.03%,0.56,CF
2018-04-10,SDP,COL,"W,5-2",5,4,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,.159,.245,.250,.495,1,.70,-0.050,.54,-0.02%,-0.12,CF
2018-04-21,SDP,ARI,"L,2-6",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.146,.226,.229,.456,1,.98,-0.106,.77,-0.05%,-0.94,CF
2018-04-22,SDP,ARI,"L,2-4",4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.135,.211,.212,.422,1,.78,-0.078,.54,-0.03%,-0.81,CF
2018-04-24,SDP,COL,"L,0-8",4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.143,.213,.232,.445,1,.43,-0.031,.26,-0.01%,-0.56,CF
2018-04-25,SDP,COL,"L,2-5",4,3,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,.153,.215,.237,.453,6,.72,-0.067,.41,-0.02%,-0.59,CF
2018-04-28,SDP,NYM,"W,12-2",5,5,2,2,1,1,0,2,0,0,1,0,0,0,0,0,0,0,.172,.229,.297,.525,7,.32,0.110,.13,0.03%,1.47,CF
2018-04-29,SDP,NYM,"L,2-14",5,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,.188,.240,.319,.559,1,.58,0.000,.24,0.00%,0.71,CF
2018-04-30,SDP,SFG,"L,5-6",4,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,.192,.241,.315,.556,7,1.36,0.273,.57,0.07%,1.98,CF
2018-05-01,SDP,SFG,"W,3-2",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.182,.229,.299,.528,1,1.12,-0.148,.44,-0.04%,-1.18,CF
2018-05-02,SDP,SFG,"L,4-9",5,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.183,.227,.293,.520,1,.59,-0.032,.24,-0.01%,-0.89,CF
2018-05-04,SDP,LAD,"L,0-4",3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.176,.220,.282,.502,8,.59,-0.044,.21,-0.01%,-0.52,CF
2018-05-05,SDP,LAD,"W,7-4",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.174,.217,.279,.496,9,1.17,-0.029,.37,-0.01%,-0.21,PH
2018-05-06,SDP,LAD,"W,3-0",4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.169,.219,.270,.488,7,1.22,0.002,.41,0.00%,-0.08,CF
2018-05-07,SDP,WSN,"L,5-8",4,3,1,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,.185,.240,.304,.544,8,.47,0.063,.16,0.01%,2.10,CF
2018-05-08,SDP,WSN,"L,0-4",3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.179,.233,.295,.528,8,.63,-0.046,.17,-0.01%,-0.38,CF
2018-05-09,SDP,WSN,"W,2-1",4,4,1,3,1,0,0,1,0,0,0,0,0,0,0,0,1,1,.202,.252,.323,.576,8,1.59,0.319,.40,0.05%,1.67,CF
2018-05-10,SDP,STL,"L,1-2",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.196,.245,.314,.559,8,1.34,-0.100,.38,-0.02%,-0.52,CF
2018-05-11,SDP,STL,"L,5-9",4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.198,.246,.321,.566,8,.26,0.003,.07,0.00%,-0.97,CF
2018-05-12,SDP,STL,"W,2-1",5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.198,.244,.315,.559,8,1.29,-0.130,.32,-0.02%,-0.52,CF
2018-05-13,SDP,STL,"W,5-3",4,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.202,.246,.316,.562,8,.80,0.024,.22,0.00%,-0.24,CF
2018-05-14,SDP,COL,"L,4-6",5,5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.202,.244,.311,.555,1,1.65,-0.078,.68,-0.02%,-0.43,CF
2018-05-15,SDP,COL,"W,4-0",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.242,.308,.551,5,.02,-0.001,.01,0.00%,-0.09,PR CF
2018-05-17,SDP,PIT,"L,4-5",4,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.195,.242,.301,.543,8,2.03,-0.170,.64,-0.03%,-0.73,CF
2018-05-18,SDP,PIT,"W,3-2",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.194,.241,.298,.539,6,.46,-0.011,.13,0.00%,-0.15,CF
2018-05-19,SDP,PIT,"W,6-2",1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,.192,.239,.296,.535,7,.34,0.033,.11,0.01%,0.92,CF
2018-05-20,SDP,PIT,"W,8-5",4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.194,.239,.295,.534,8,.76,-0.015,.31,0.00%,0.34,CF
2018-05-21,SDP,WSN,"L,2-10",3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.189,.234,.288,.522,8,.81,-0.063,.37,-0.02%,-0.79,CF
2018-05-23,SDP,WSN,"W,3-1",4,4,0,2,0,0,0,1,0,0,2,0,0,0,0,0,1,0,.199,.241,.294,.535,8,.82,0.160,.31,0.04%,0.75,CF
2018-05-25,SDP,LAD,"L,1-4",3,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.201,.243,.302,.545,8,.70,0.046,.35,0.01%,0.55,CF
2018-05-26,SDP,LAD,"W,7-5",4,3,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,.204,.250,.310,.560,8,.82,0.051,.35,0.01%,0.72,CF
2018-05-28,SDP,MIA,"L,2-7",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.203,.248,.308,.556,8,.34,-0.009,.14,0.00%,-0.09,CF
2018-05-29,SDP,MIA,"W,9-5",4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.204,.248,.306,.555,8,.37,-0.009,.11,0.00%,-1.01,CF
2018-05-30,SDP,MIA,"W,3-2",4,2,0,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0,.208,.261,.315,.576,8,2.55,0.037,.86,0.01%,0.40,CF
2018-05-31,SDP,MIA,"W,8-3",4,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.204,.261,.309,.570,8,.59,-0.035,.24,-0.01%,-0.31,CF
2018-06-01,SDP,CIN,"L,2-7",3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.206,.262,.310,.572,9,.23,0.021,.11,0.01%,-0.06,PH CF
2018-06-02,SDP,CIN,"W,8-2",4,4,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,.214,.267,.321,.588,8,.64,0.128,.25,0.03%,1.42,CF
2018-06-03,SDP,CIN,"W,6-3",4,1,1,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,.213,.278,.319,.597,7,1.20,0.095,.53,0.03%,0.86,CF
2018-06-05,SDP,ATL,"L,1-14",3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.209,.274,.313,.587,8,.42,-0.035,.23,-0.01%,-1.35,CF
2018-06-06,SDP,ATL,"W,3-1",3,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,.212,.280,.315,.595,8,1.07,0.039,.51,0.01%,0.36,CF
2018-06-08,SDP,MIA,"L,0-4",3,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.214,.281,.321,.603,8,.60,0.049,.31,0.02%,0.31,CF
2018-06-09,SDP,MIA,"W,5-4",3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.216,.282,.322,.604,7,.60,-0.034,.26,-0.01%,-0.60,CF
2018-06-10,SDP,MIA,"W,3-1",4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,.217,.281,.320,.601,7,.49,-0.050,.25,-0.02%,-0.84,CF
2018-06-12,SDP,STL,"W,4-2",4,4,1,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.223,.286,.330,.615,7,.64,0.038,.33,0.01%,0.75,CF
2018-06-13,SDP,STL,"W,4-2",4,4,1,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0,.235,.295,.350,.645,7,.53,0.123,.30,0.04%,1.66,CF
2018-06-14,SDP,ATL,"L,2-4",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.230,.289,.342,.631,7,1.28,-0.165,.86,-0.07%,-1.16,CF
2018-06-15,SDP,ATL,"W,9-3",4,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.237,.298,.347,.645,7,1.38,0.069,.75,0.02%,0.80,CF
