date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2018-03-29,TEX,HOU,"L,1-4",4,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.000,.250,.000,.250,5,1.26,-0.042,1.35,-0.03%,-0.51,RF
2018-03-30,TEX,HOU,"W,5-1",4,3,2,1,0,0,1,1,1,0,2,0,0,0,0,0,0,0,.167,.375,.667,1.042,5,.59,0.110,.60,0.07%,0.86,RF
2018-03-31,TEX,HOU,"L,3-9",4,4,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.300,.417,.600,1.017,4,.69,-0.020,.75,-0.01%,0.63,RF
2018-04-01,TEX,HOU,"L,2-8",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.214,.313,.429,.741,4,.92,-0.173,.95,-0.11%,-1.89,RF
2018-04-02,TEX,OAK,"L,1-3",4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.222,.300,.389,.689,5,1.40,-0.044,1.29,-0.02%,-0.49,DH
2018-04-03,TEX,OAK,"W,4-1",4,3,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.286,.375,.476,.851,5,.76,0.165,.65,0.09%,1.75,RF
2018-04-04,TEX,OAK,"L,2-6",3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.407,.500,.907,5,.49,0.038,.44,0.02%,0.48,RF
2018-04-05,TEX,OAK,"W,6-3",4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.357,.419,.500,.919,5,.87,0.053,.73,0.03%,0.47,RF
2018-04-06,TEX,TOR,"L,5-8",4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.323,.400,.452,.852,5,.83,-0.072,.70,-0.04%,-0.74,RF
2018-04-07,TEX,TOR,"W,5-1",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.286,.359,.400,.759,4,.98,-0.208,.78,-0.10%,-2.59,RF
2018-04-08,TEX,TOR,"L,4-7",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.306,.375,.417,.792,8,.85,0.033,.69,0.02%,0.40,PH LF
