date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2015-04-06,BOS,PHI,"W,8-0",5,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.000,.000,.000,.000,5,.33,-0.043,.31,-0.02%,-0.87,3B
2015-04-08,BOS,PHI,"L,2-4",4,3,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,.250,.333,.250,.583,3,1.44,0.156,1.35,0.09%,1.62,3B
2015-04-09,BOS,PHI,"W,6-2",5,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.167,.286,.167,.452,5,.96,-0.048,.86,-0.03%,-1.22,3B
2015-04-10,BOS,NYY,"W,6-5",9,9,1,4,0,0,0,2,0,0,1,0,0,0,0,0,0,0,.286,.348,.286,.634,5,1.84,0.126,2.10,0.09%,1.05,3B
2015-04-11,BOS,NYY,"W,8-4",5,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.269,.321,.269,.591,5,.58,-0.026,.66,-0.02%,-0.76,3B
2015-04-12,BOS,NYY,"L,4-14",4,4,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.300,.344,.300,.644,5,.13,0.003,.15,0.00%,0.26,3B
2015-04-13,BOS,WSN,"W,9-4",5,4,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.324,.378,.324,.702,5,.26,0.039,.27,0.02%,0.64,3B
2015-04-14,BOS,WSN,"W,8-7",3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.306,.375,.306,.681,5,1.35,-0.049,1.39,-0.03%,-0.37,3B
2015-04-17,BOS,BAL,"W,3-2",4,2,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,.316,.409,.316,.725,5,1.64,-0.080,2.04,-0.06%,-0.15,3B
2015-04-18,BOS,BAL,"L,1-4",4,4,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,.286,.375,.286,.661,5,1.35,-0.007,1.74,-0.01%,-0.02,3B
2015-04-19,BOS,BAL,"L,3-8",4,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.289,.385,.311,.696,6,.61,-0.043,.77,-0.03%,-0.13,3B
