date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2015-04-06,TOR,NYY,"W,6-1",5,4,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,.250,.400,.250,.650,2,.49,0.045,.53,0.03%,0.48,C
2015-04-08,TOR,NYY,"L,3-4",4,3,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,.143,.222,.143,.365,2,1.24,-0.086,1.40,-0.06%,-1.11,C
2015-04-09,TOR,NYY,"W,6-3",4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,.091,.154,.091,.245,2,.46,-0.056,.48,-0.04%,-1.13,C
2015-04-11,TOR,BAL,"L,1-7",3,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,.077,.188,.077,.264,6,.37,-0.022,.45,-0.02%,0.12,C
2015-04-12,TOR,BAL,"W,10-7",5,3,1,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,.063,.238,.063,.301,7,.86,-0.017,.97,-0.01%,-0.07,C
2015-04-13,TOR,TBR,"L,1-2",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.053,.208,.053,.261,7,.98,-0.073,1.14,-0.05%,-0.48,C
2015-04-14,TOR,TBR,"L,2-3",4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.043,.179,.043,.222,7,1.76,-0.188,1.97,-0.13%,-1.43,C
2015-04-16,TOR,TBR,"L,2-4",4,1,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,.042,.250,.042,.292,6,.90,0.068,1.00,0.05%,0.82,C
2015-04-17,TOR,ATL,"L,7-8",4,3,2,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,.111,.306,.333,.639,6,1.33,0.145,1.21,0.08%,2.01,C
2015-04-18,TOR,ATL,"W,6-5",4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,.129,.300,.323,.623,6,1.04,-0.050,.93,-0.03%,-0.42,C
2015-04-19,TOR,ATL,"L,2-5",4,4,0,1,1,0,0,2,0,0,3,0,0,0,0,0,0,0,.143,.295,.343,.638,5,.65,0.035,.59,0.02%,1.31,C
2015-04-21,TOR,BAL,"W,13-6",5,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.132,.306,.316,.622,6,.23,0.033,.24,0.02%,0.12,C
2015-04-22,TOR,BAL,"W,4-2",4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,.146,.321,.317,.638,6,.67,0.006,.69,0.00%,-0.31,C
2015-04-23,TOR,BAL,"W,7-6",4,3,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,.159,.333,.341,.674,6,.39,0.015,.42,0.01%,1.50,C
2015-04-25,TOR,TBR,"L,2-4",4,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.167,.328,.396,.724,6,.91,0.152,1.03,0.10%,0.53,C
2015-04-26,TOR,TBR,"L,1-5",4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.173,.323,.385,.708,2,.35,-0.033,.39,-0.02%,0.02,C
2015-04-27,TOR,BOS,"L,5-6",4,3,1,1,1,0,0,2,1,0,1,0,0,0,0,0,0,0,.182,.333,.400,.733,6,.96,0.146,.98,0.09%,1.87,C
2015-04-28,TOR,BOS,"W,11-8",5,3,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.190,.351,.397,.748,5,.68,0.008,.66,0.01%,0.59,C
2015-04-29,TOR,BOS,"L,1-4",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.186,.347,.390,.736,6,.15,-0.004,.15,0.00%,-0.11,PH
2015-04-30,TOR,CLE,"W,5-1",4,2,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,.197,.367,.410,.777,6,.64,0.131,.54,0.07%,1.76,C
2015-05-01,TOR,CLE,"L,4-9",4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,.185,.349,.385,.734,4,.95,-0.183,.84,-0.10%,-2.45,C
2015-05-02,TOR,CLE,"W,11-4",5,5,2,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,.214,.364,.457,.821,5,.67,0.063,.57,0.03%,1.14,C
2015-05-03,TOR,CLE,"L,7-10",5,5,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.227,.366,.493,.859,5,.65,-0.055,.58,-0.03%,0.69,C
2015-05-04,TOR,NYY,"W,3-1",1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,.237,.372,.500,.872,6,2.06,0.323,2.10,0.20%,1.72,PH C
2015-05-05,TOR,NYY,"L,3-6",4,4,1,3,2,0,1,1,0,0,1,0,0,0,0,0,0,0,.263,.388,.575,.963,3,.43,0.052,.45,0.03%,1.35,C
2015-05-06,TOR,NYY,"W,5-1",4,4,2,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.286,.402,.619,1.021,5,.83,0.080,.83,0.05%,1.49,C
2015-05-08,TOR,BOS,"W,7-0",4,4,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.295,.406,.625,1.031,5,.68,-0.058,.66,-0.03%,0.57,C
2015-05-09,TOR,BOS,"W,7-1",5,4,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,.293,.396,.609,1.005,5,.94,-0.052,.98,-0.03%,-1.26,C
2015-05-11,TOR,BAL,"L,2-5",4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.281,.383,.583,.966,3,.72,-0.071,.74,-0.04%,-0.66,C
2015-05-12,TOR,BAL,"W,10-2",5,4,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.290,.392,.580,.972,5,.69,0.084,.67,0.05%,0.51,C
2015-05-13,TOR,BAL,"L,1-6",4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.288,.387,.567,.954,5,.56,-0.051,.61,-0.03%,-0.49,C
2015-05-15,TOR,HOU,"L,4-8",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.278,.375,.546,.921,5,.65,-0.059,.58,-0.03%,-0.90,C
2015-05-16,TOR,HOU,"L,5-6",4,4,1,1,0,1,0,2,0,0,2,0,0,0,0,0,0,0,.277,.371,.554,.925,4,1.02,0.109,.88,0.06%,1.10,C
2015-05-17,TOR,HOU,"L,2-4",4,4,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.284,.375,.560,.935,5,1.08,0.043,.86,0.02%,0.35,C
2015-05-18,TOR,LAA,"W,10-6",5,5,1,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,.298,.383,.570,.953,4,1.70,0.250,1.25,0.11%,1.57,C
2015-05-19,TOR,LAA,"L,2-3",4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.304,.386,.568,.954,4,1.34,-0.038,1.02,-0.02%,-0.03,C
2015-05-20,TOR,LAA,"L,3-4",4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,.297,.383,.555,.937,4,1.89,-0.228,1.33,-0.10%,-1.35,C
2015-05-22,TOR,SEA,"L,3-4",4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.288,.373,.538,.910,4,1.01,-0.101,.73,-0.04%,-0.95,C
2015-05-23,TOR,SEA,"L,2-3",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.279,.363,.522,.885,4,2.20,-0.232,1.38,-0.09%,-1.35,C
2015-05-24,TOR,SEA,"W,8-2",5,5,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.277,.358,.518,.876,2,.49,-0.031,.29,-0.01%,-0.65,C
2015-05-25,TOR,CHW,"W,6-0",4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.271,.355,.507,.862,4,.45,-0.077,.31,-0.03%,-0.96,C
2015-05-26,TOR,CHW,"W,10-9",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.269,.353,.503,.857,8,2.01,-0.056,1.48,-0.03%,-0.36,PH
2015-05-27,TOR,CHW,"L,3-5",5,5,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.273,.355,.500,.855,5,1.29,-0.003,1.00,0.00%,-0.12,C 2B
2015-05-29,TOR,MIN,"W,6-4",4,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.268,.352,.490,.842,5,1.77,-0.048,1.37,-0.02%,-0.88,C
2015-05-30,TOR,MIN,"L,2-3",4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,.269,.356,.487,.843,5,1.86,-0.121,1.63,-0.06%,-1.03,C
