date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2019-03-28,MIL,STL,"W,5-4",4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.250,.500,3,.60,-0.014,.63,-0.01%,0.09,LF
2019-03-29,MIL,STL,"L,5-9",4,4,1,2,0,0,1,3,0,0,1,0,0,0,0,0,0,0,.375,.375,.750,1.125,3,1.06,0.234,1.15,0.15%,2.23,LF
2019-03-30,MIL,STL,"W,4-2",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.333,.667,1.000,9,.53,-0.014,.56,-0.01%,-0.25,PH
2019-03-31,MIL,STL,"W,5-4",4,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.308,.308,.538,.846,3,1.41,0.003,1.54,0.00%,0.03,LF
2019-04-01,MIL,CIN,"W,4-3",5,5,1,2,2,0,0,1,0,0,2,0,0,0,0,0,0,0,.333,.333,.611,.944,3,1.36,0.384,1.63,0.28%,1.35,LF
2019-04-03,MIL,CIN,"W,1-0",4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.273,.273,.500,.773,3,1.10,-0.119,1.37,-0.09%,-1.21,LF
2019-04-05,MIL,CHC,"W,13-10",5,5,1,2,0,0,1,4,0,0,1,0,0,0,0,0,0,0,.296,.296,.593,.889,3,.45,0.190,.58,0.15%,2.86,LF
2019-04-06,MIL,CHC,"L,8-14",5,5,1,1,0,0,1,3,0,0,1,0,0,0,0,0,0,0,.281,.281,.625,.906,3,.64,0.057,.83,0.04%,1.81,LF
2019-04-08,MIL,LAA,"L,2-5",4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.250,.250,.556,.806,3,1.34,-0.133,1.53,-0.09%,-0.92,LF
2019-04-09,MIL,LAA,"L,8-11",5,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,.225,.225,.500,.725,3,1.27,-0.188,1.46,-0.13%,-1.50,DH
2019-04-10,MIL,LAA,"L,2-4",4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.227,.227,.477,.705,3,1.31,-0.094,1.49,-0.06%,-0.94,LF
2019-04-12,MIL,LAD,"W,8-5",5,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.208,.224,.438,.662,3,1.15,-0.079,1.31,-0.05%,-0.95,LF
2019-04-13,MIL,LAD,"W,4-1",5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.208,.222,.415,.637,3,.43,-0.034,.49,-0.02%,-0.67,LF
2019-04-15,MIL,STL,"W,10-7",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.204,.218,.407,.626,6,.23,-0.006,.31,-0.01%,-0.25,PH
2019-04-16,MIL,STL,"W,8-4",5,5,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.203,.217,.407,.623,3,.40,0.004,.55,0.00%,-0.36,LF
2019-04-17,MIL,STL,"L,3-6",4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.194,.219,.387,.606,5,.79,-0.013,1.09,-0.01%,-0.36,LF
2019-04-18,MIL,LAD,"L,1-3",4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.185,.221,.369,.590,3,.95,-0.077,1.09,-0.05%,-0.48,LF
2019-04-19,MIL,LAD,"L,3-5",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.182,.217,.364,.581,8,1.92,-0.050,2.15,-0.03%,-0.25,PH
2019-04-20,MIL,LAD,"W,5-0",4,4,1,1,0,0,1,3,0,0,1,0,0,0,0,0,0,0,.186,.219,.400,.619,3,.54,0.067,.59,0.05%,2.18,LF
2019-04-21,MIL,LAD,"L,5-6",4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,.189,.221,.392,.613,3,1.05,-0.014,1.19,-0.01%,-0.29,LF
2019-04-22,MIL,STL,"L,5-13",4,4,1,2,0,0,1,1,0,0,2,0,0,0,0,0,0,0,.205,.235,.436,.670,5,.52,0.025,.66,0.02%,0.96,LF
