date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2018-03-30,CIN,WSN,"L,0-2",4,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.250,2.250,4,1.28,0.182,1.22,0.10%,1.21,2B
2018-03-31,CIN,WSN,"L,7-13",5,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.667,.667,.778,1.444,4,1.19,-0.006,1.06,0.00%,0.12,2B
2018-04-01,CIN,WSN,"L,5-6",4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.538,.538,.692,1.231,5,1.27,-0.099,1.06,-0.05%,-0.69,2B
2018-04-02,CIN,CHC,"W,1-0",4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.471,.471,.588,1.059,4,1.13,-0.008,.94,0.00%,-0.11,2B
2018-04-05,CIN,PIT,"L,2-5",4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.429,.429,.524,.952,5,1.03,0.087,.97,0.05%,0.68,2B
2018-04-06,CIN,PIT,"L,3-14",5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.346,.346,.423,.769,4,1.00,-0.183,.89,-0.10%,-2.49,2B
2018-04-07,CIN,PIT,"W,7-4",5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.290,.290,.355,.645,4,1.70,-0.213,1.46,-0.11%,-2.03,2B
2018-04-08,CIN,PIT,"L,0-5",3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,.273,.294,.333,.627,4,.86,-0.084,.78,-0.05%,-0.59,2B
2018-04-09,CIN,PHI,"L,5-6",5,4,1,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,.297,.333,.378,.712,1,1.11,0.151,.85,0.07%,1.53,2B
2018-04-10,CIN,PHI,"L,1-6",4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.293,.326,.366,.691,4,.62,-0.013,.43,-0.01%,-0.29,2B
2018-04-11,CIN,PHI,"L,3-4",5,5,1,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.304,.333,.391,.725,4,2.06,0.124,1.33,0.05%,0.35,2B
2018-04-12,CIN,STL,"L,4-13",4,4,0,1,0,0,0,2,0,0,1,0,0,0,0,0,1,0,.300,.327,.380,.707,5,1.33,0.138,.85,0.05%,1.10,2B
2018-04-13,CIN,STL,"L,3-5",4,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.296,.321,.370,.692,4,1.02,-0.072,.61,-0.03%,-0.24,2B
2018-04-14,CIN,STL,"L,1-6",4,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.328,.350,.397,.747,4,.47,0.014,.25,0.00%,0.66,2B
2018-04-15,CIN,STL,"L,2-3",4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.306,.328,.371,.699,4,1.24,-0.117,.58,-0.03%,-1.03,2B
2018-04-16,CIN,MIL,"W,10-4",5,4,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,.303,.333,.379,.712,5,.45,0.001,.17,0.00%,0.26,2B
2018-04-17,CIN,MIL,"L,0-2",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.286,.315,.357,.672,5,1.23,-0.128,.55,-0.03%,-1.05,2B
2018-04-18,CIN,MIL,"L,0-2",4,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,.274,.312,.342,.654,5,1.42,0.071,.62,0.02%,0.29,2B
2018-04-20,CIN,STL,"L,2-4",4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.276,.321,.342,.663,4,.98,0.014,.36,0.00%,0.18,2B
2018-04-21,CIN,STL,"L,3-4",5,5,0,2,0,0,0,2,0,0,2,0,0,0,0,1,0,0,.284,.326,.346,.671,4,3.49,-0.209,1.15,-0.04%,-0.30,2B
2018-04-22,CIN,STL,"L,2-9",4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.271,.311,.329,.641,4,1.00,-0.093,.28,-0.02%,-0.94,2B
2018-04-23,CIN,ATL,"W,10-4",5,4,0,1,0,0,0,2,1,0,2,0,0,0,0,0,0,0,.270,.316,.326,.642,4,1.03,0.025,.22,0.00%,0.88,2B
2018-04-24,CIN,ATL,"W,9-7",6,5,3,3,0,0,2,4,0,0,0,0,1,0,0,0,0,0,.287,.330,.404,.734,4,1.43,0.341,.33,0.05%,2.71,2B
2018-04-25,CIN,ATL,"L,4-5",5,5,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.283,.324,.404,.728,4,1.77,-0.177,.49,-0.03%,-1.14,2B
2018-04-26,CIN,ATL,"L,4-7",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.283,.330,.404,.734,9,.55,0.025,.12,0.00%,0.11,PH
2018-04-27,CIN,MIN,"W,15-9",6,5,2,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.298,.348,.413,.762,4,.94,0.071,.18,0.01%,1.27,2B
2018-04-28,CIN,MIN,"L,1-3",4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.296,.345,.407,.752,4,1.40,-0.146,.31,-0.02%,-1.08,2B
2018-04-29,CIN,MIN,"W,8-2",5,5,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.301,.347,.416,.763,4,.73,0.029,.13,0.00%,-0.06,DH
2018-04-30,CIN,MIL,"L,5-6",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.298,.344,.412,.757,8,.49,-0.013,.12,0.00%,-0.23,PH
2018-05-01,CIN,MIL,"L,6-7",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.296,.341,.409,.750,8,1.39,-0.026,.28,0.00%,-0.20,PH
2018-05-02,CIN,MIL,"L,1-3",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.293,.339,.405,.744,8,3.10,-0.034,.52,0.00%,-0.20,PH
2018-05-04,CIN,MIA,"W,4-1",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.291,.336,.402,.738,8,.30,-0.007,.04,0.00%,-0.23,PH
2018-05-05,CIN,MIA,"L,0-6",3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.283,.328,.392,.720,6,1.16,-0.082,.17,-0.01%,-0.67,2B
2018-05-06,CIN,MIA,"L,5-8",5,4,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,.282,.331,.395,.726,4,.72,-0.031,.09,0.00%,-0.20,2B
2018-05-07,CIN,NYM,"L,6-7",4,4,2,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,.289,.336,.430,.765,5,.97,0.124,.10,0.01%,1.53,2B
2018-05-08,CIN,NYM,"W,7-2",4,4,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.288,.333,.447,.780,5,.59,-0.028,.05,0.00%,0.48,2B
2018-05-10,CIN,LAD,"W,4-1",4,4,1,3,1,0,1,3,0,0,0,0,0,0,0,0,0,0,.301,.345,.485,.830,4,1.15,0.404,.13,0.03%,2.94,2B
2018-05-11,CIN,LAD,"W,6-2",5,5,2,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,.319,.360,.518,.878,4,.73,0.174,.08,0.01%,3.23,2B
2018-05-12,CIN,LAD,"W,5-3",5,5,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.329,.368,.521,.888,4,.83,0.055,.11,0.01%,0.07,2B
2018-05-14,CIN,SFG,"L,7-10",5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,.318,.356,.503,.860,4,1.01,-0.197,.18,-0.02%,-2.54,2B
2018-05-15,CIN,SFG,"L,3-5",4,4,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.323,.360,.503,.863,4,1.41,-0.091,.20,-0.01%,-0.23,2B
2018-05-16,CIN,SFG,"W,6-3",4,4,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,.327,.363,.528,.891,2,.85,0.160,.11,0.01%,1.77,2B
2018-05-18,CIN,CHC,"L,1-8",4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.325,.360,.521,.882,2,.38,0.014,.06,0.00%,-0.11,2B
2018-05-19,CIN,CHC,"W,5-4",5,4,0,2,0,0,0,2,0,0,1,0,1,0,0,0,0,0,.329,.364,.521,.885,4,1.73,0.112,.21,0.01%,1.34,2B
2018-05-19,CIN,CHC,"L,0-10",3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.324,.358,.512,.869,5,.32,-0.024,.04,0.00%,-0.68,2B
2018-05-20,CIN,CHC,"L,1-6",4,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.318,.355,.503,.858,4,.88,-0.013,.11,0.00%,-0.18,2B
2018-05-22,CIN,PIT,"W,7-2",4,3,2,2,1,0,1,6,0,0,0,0,0,1,0,0,0,0,.324,.358,.528,.887,4,.90,0.270,.08,0.02%,3.73,2B
2018-05-23,CIN,PIT,"L,4-5",6,4,2,2,0,0,1,1,2,0,2,0,0,0,0,0,0,0,.328,.368,.544,.912,4,1.80,0.322,.20,0.02%,2.18,2B
2018-05-24,CIN,PIT,"W,5-4",4,4,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,.321,.360,.533,.893,3,.89,0.032,.09,0.00%,0.05,2B
2018-05-25,CIN,COL,"L,4-5",4,4,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,.319,.358,.527,.885,4,1.20,-0.009,.12,0.00%,0.15,2B
2018-05-26,CIN,COL,"W,6-5",5,5,1,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.337,.374,.554,.928,2,.85,0.260,.07,0.01%,2.76,2B
2018-05-27,CIN,COL,"L,2-8",4,4,0,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,.340,.376,.558,.935,4,.87,0.075,.09,0.01%,0.26,2B
2018-05-28,CIN,ARI,"L,5-12",5,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.347,.381,.559,.941,4,.58,-0.002,.04,0.00%,0.20,2B
2018-05-29,CIN,ARI,"L,2-5",4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.345,.379,.553,.932,4,.90,0.026,.06,0.00%,0.13,2B
2018-05-30,CIN,ARI,"W,7-4",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.343,.377,.551,.928,8,1.03,-0.019,.05,0.00%,-0.42,2B
2018-06-01,CIN,SDP,"W,7-2",5,4,2,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,.341,.378,.559,.937,4,.39,-0.005,.02,0.00%,0.10,2B
2018-06-02,CIN,SDP,"L,2-8",4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.340,.376,.558,.934,2,.51,0.006,.04,0.00%,-0.13,2B
2018-06-03,CIN,SDP,"L,3-6",4,4,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.342,.378,.571,.948,4,1.33,0.083,.08,0.00%,1.20,2B
2018-06-05,CIN,COL,"L,6-9",5,5,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,.344,.378,.567,.945,5,.49,-0.026,.02,0.00%,0.85,2B
2018-06-06,CIN,COL,"L,3-6",5,3,1,1,1,0,0,2,1,0,0,0,0,1,0,0,0,0,.344,.379,.568,.947,4,1.45,0.131,.05,0.00%,0.96,2B
2018-06-07,CIN,COL,"W,7-5",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.344,.381,.568,.949,2,3.24,0.129,.10,0.00%,0.85,PH
2018-06-08,CIN,STL,"L,6-7",5,5,0,2,1,0,0,1,0,0,3,0,0,0,0,0,0,0,.345,.382,.569,.950,4,1.72,-0.069,.07,0.00%,0.60,2B
2018-06-09,CIN,STL,"L,4-6",5,5,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.342,.378,.561,.939,4,1.52,-0.163,.04,0.00%,-1.06,2B
2018-06-10,CIN,STL,"W,6-3",4,4,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,.340,.376,.556,.932,4,2.07,0.093,.03,0.00%,0.56,2B
2018-06-12,CIN,KCR,"W,5-1",5,4,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,.339,.376,.551,.927,4,1.42,-0.107,.03,0.00%,-0.14,2B
2018-06-13,CIN,KCR,"W,7-0",4,4,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.341,.378,.550,.928,4,1.04,0.131,.03,0.00%,1.25,2B
2018-06-15,CIN,PIT,"L,2-3",4,3,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,.337,.373,.544,.916,4,1.22,0.090,.05,0.00%,0.59,2B
2018-06-16,CIN,PIT,"L,2-6",4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.336,.371,.539,.910,4,.91,-0.005,.03,0.00%,-0.28,2B
2018-06-17,CIN,PIT,"W,8-6",4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.336,.373,.537,.909,4,.57,0.010,.02,0.00%,0.10,2B
2018-06-19,CIN,DET,"W,9-5",5,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.337,.373,.534,.907,5,.29,0.038,.01,0.00%,-1.16,2B
2018-06-20,CIN,DET,"W,5-3",4,4,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.336,.372,.541,.913,4,1.26,0.202,.05,0.00%,0.46,2B
2018-06-21,CIN,CHC,"W,6-2",4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.335,.370,.537,.907,4,1.19,-0.005,.06,0.00%,-0.29,2B
2018-06-23,CIN,CHC,"W,11-2",5,5,1,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,.332,.367,.534,.901,4,.25,0.098,.02,0.00%,0.37,2B
2018-06-24,CIN,CHC,"W,8-6",4,3,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,.332,.369,.532,.901,5,.78,-0.015,.08,0.00%,0.22,2B
2018-06-25,CIN,ATL,"L,4-5",5,4,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,.331,.367,.528,.895,4,1.82,0.019,.22,0.00%,-0.30,2B
2018-06-26,CIN,ATL,"W,5-3",5,3,3,2,1,0,0,1,2,0,1,0,0,0,0,0,1,0,.334,.374,.533,.907,4,.97,0.207,.08,0.01%,2.24,2B
2018-06-27,CIN,ATL,"W,6-5",5,5,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.336,.375,.534,.909,5,1.05,0.106,.10,0.01%,0.82,2B
2018-06-28,CIN,MIL,"L,4-6",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.331,.370,.527,.897,4,1.21,-0.132,.17,-0.01%,-0.99,2B
2018-06-29,CIN,MIL,"L,2-8",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.327,.365,.520,.885,4,1.35,-0.130,.13,-0.01%,-1.30,2B
2018-06-30,CIN,MIL,"W,12-3",5,4,3,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,.332,.372,.526,.898,4,1.89,0.348,.14,0.02%,2.32,2B
2018-07-02,CIN,CHW,"W,5-3",4,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.336,.377,.528,.904,4,.82,0.079,.08,0.01%,0.40,2B
