date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2021-04-01,LAA,CHW,"W,4-3",4,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,2,1.73,0.058,1.63,0.03%,0.02,DH
2021-04-02,LAA,CHW,"L,8-12",5,5,2,2,0,1,1,2,0,0,3,0,0,0,0,0,0,0,.222,.222,.778,1.000,2,.90,-0.036,.89,-0.02%,1.64,DH
2021-04-03,LAA,CHW,"W,5-3",4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,.231,.231,.615,.846,2,1.38,-0.031,1.31,-0.02%,-0.32,DH
2021-04-04,LAA,CHW,"W,7-4",3,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.250,.250,.750,1.000,2,.70,0.057,.67,0.03%,0.24,P
2021-04-05,LAA,HOU,"W,7-6",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250,.294,.750,1.044,8,4.27,0.152,4.99,0.11%,0.84,PH
2021-04-06,LAA,HOU,"L,2-4",4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.300,.333,.700,1.033,2,.99,0.006,1.23,0.00%,0.06,DH
2021-04-08,LAA,TOR,"W,7-5",6,5,0,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,.280,.333,.600,.933,2,1.32,0.142,1.40,0.09%,0.16,DH
2021-04-09,LAA,TOR,"W,7-1",5,5,1,2,1,0,1,4,0,0,1,0,0,0,0,0,0,0,.300,.344,.700,1.044,2,.72,0.233,.80,0.16%,2.87,DH
2021-04-10,LAA,TOR,"L,1-15",4,4,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,.294,.333,.706,1.039,2,.25,0.056,.28,0.04%,-0.04,DH
2021-04-12,LAA,KCR,"W,10-3",5,5,2,3,2,0,0,3,0,0,0,0,0,0,1,1,0,1,.333,.366,.744,1.109,2,1.03,0.259,1.12,0.17%,3.91,DH
2021-04-13,LAA,KCR,"L,2-3",5,5,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.364,.391,.795,1.187,2,1.41,0.187,1.55,0.12%,1.24,DH
2021-04-14,LAA,KCR,"L,1-6",4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.340,.380,.745,1.125,2,1.33,-0.016,1.45,-0.01%,-0.22,DH
2021-04-16,LAA,MIN,"W,10-3",4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.333,.370,.706,1.076,2,1.20,0.107,1.29,0.07%,0.06,DH
2021-04-19,LAA,TEX,"L,4-6",4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,.309,.345,.655,.999,2,1.13,-0.154,1.37,-0.11%,-1.69,DH
2021-04-21,LAA,TEX,"L,4-7",4,3,1,1,0,0,1,1,0,0,2,1,0,0,0,0,0,0,.310,.355,.690,1.044,2,.59,0.084,.70,0.06%,0.93,DH
2021-04-22,LAA,HOU,"L,2-8",5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.286,.328,.635,.963,2,.47,-0.062,.51,-0.04%,-1.47,DH
2021-04-23,LAA,HOU,"L,4-5",5,5,0,2,1,0,0,1,0,0,2,0,0,0,0,0,1,0,.294,.333,.632,.966,2,1.54,0.105,1.70,0.07%,1.13,DH
2021-04-24,LAA,HOU,"L,2-16",4,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.292,.329,.653,.982,2,.26,0.080,.27,0.05%,1.28,DH LF
2021-04-25,LAA,HOU,"W,4-2",5,5,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,.286,.321,.662,.983,2,1.04,0.154,1.04,0.09%,-0.11,DH
2021-04-26,LAA,TEX,"W,9-4",4,3,3,2,1,0,0,2,1,0,1,0,0,0,0,0,0,0,.300,.341,.675,1.016,2,1.01,0.168,1.05,0.11%,2.05,P
2021-04-27,LAA,TEX,"L,1-6",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.286,.326,.643,.969,2,1.08,-0.113,1.17,-0.07%,-1.31,DH
2021-04-28,LAA,TEX,"W,4-3",4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.284,.323,.636,.959,2,.73,-0.050,.74,-0.03%,-0.42,DH
2021-04-30,LAA,SEA,"L,4-7",4,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.283,.320,.652,.972,2,.81,0.057,.97,0.04%,0.44,DH
2021-05-01,LAA,SEA,"W,10-5",5,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,.271,.314,.625,.939,2,.47,0.043,.52,0.03%,-0.49,DH
2021-05-02,LAA,SEA,"L,0-2",4,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,.263,.311,.606,.917,2,1.18,0.002,1.41,0.00%,0.23,DH
