date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2018-03-30,DET,PIT,"L,10-13",4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,5,1.81,-0.128,1.70,-0.07%,-1.19,DH
2018-04-01,DET,PIT,"L,0-1",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.000,.000,.000,.000,5,2.08,-0.235,1.77,-0.12%,-1.50,DH
2018-04-02,DET,KCR,"W,6-1",4,3,0,2,1,0,0,3,0,0,0,0,0,1,0,0,0,0,.182,.167,.273,.439,5,1.28,0.099,1.14,0.05%,1.56,DH
2018-04-03,DET,KCR,"L,0-1",3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.214,.200,.286,.486,5,1.35,-0.053,1.26,-0.03%,-0.27,DH
2018-04-05,DET,CHW,"W,9-7",5,4,0,3,1,0,0,2,1,0,0,0,0,0,0,0,0,0,.333,.350,.444,.794,5,1.61,0.525,1.54,0.30%,2.58,DH
2018-04-07,DET,CHW,"W,6-1",5,3,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,.286,.360,.381,.741,5,.45,-0.024,.44,-0.01%,0.03,DH
2018-04-09,DET,CLE,"L,0-2",3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.292,.357,.375,.732,5,.86,-0.026,.98,-0.02%,-0.14,DH
2018-04-10,DET,CLE,"L,1-2",4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.259,.344,.333,.677,5,1.62,-0.085,1.69,-0.05%,-0.59,DH
2018-04-11,DET,CLE,"L,1-5",3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.241,.343,.310,.653,5,.65,-0.029,.67,-0.02%,-0.36,DH
2018-04-12,DET,CLE,"L,3-9",5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.235,.325,.294,.619,5,.29,0.004,.28,0.00%,-0.99,DH
2018-04-13,DET,NYY,"L,6-8",4,4,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,.263,.341,.368,.709,5,1.06,0.064,.86,0.03%,1.81,DH
2018-04-17,DET,BAL,"W,4-2",4,4,1,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.310,.375,.476,.851,5,1.10,0.169,.83,0.08%,1.94,DH
2018-04-18,DET,BAL,"W,6-5",4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.304,.365,.457,.822,5,1.52,-0.049,1.22,-0.02%,-1.03,DH
2018-04-19,DET,BAL,"W,13-8",5,5,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.314,.368,.471,.839,5,.57,0.026,.48,0.01%,0.18,DH
2018-04-20,DET,KCR,"W,3-2",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.291,.344,.436,.781,5,1.45,-0.219,1.42,-0.13%,-1.29,DH
2018-04-20,DET,KCR,"L,2-3",4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.276,.338,.414,.752,4,1.44,-0.108,1.44,-0.07%,-0.40,DH
2018-04-21,DET,KCR,"W,12-4",5,4,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,.274,.329,.403,.732,5,.57,0.002,.55,0.00%,-0.37,DH
2018-04-22,DET,KCR,"L,5-8",4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,.258,.311,.379,.690,5,1.50,-0.222,1.51,-0.13%,-1.95,DH
2018-04-25,DET,PIT,"W,13-10",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.258,.320,.379,.699,9,.14,0.001,.13,0.00%,0.17,PH
2018-04-25,DET,PIT,"L,3-8",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.254,.316,.373,.689,9,1.12,-0.032,1.12,-0.02%,-0.22,PH
2018-04-26,DET,PIT,"L,0-1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.312,.368,.679,7,6.09,-0.181,5.68,-0.10%,-0.78,PH
2018-04-27,DET,BAL,"L,0-6",4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.239,.309,.352,.661,5,.77,-0.050,.72,-0.03%,-0.87,DH
2018-04-28,DET,BAL,"W,9-5",5,5,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.237,.302,.382,.684,5,.46,-0.032,.39,-0.02%,-0.20,DH
2018-04-29,DET,BAL,"L,3-5",4,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.231,.311,.372,.683,5,1.22,-0.049,1.15,-0.03%,-0.23,DH
2018-04-30,DET,TBR,"L,2-3",4,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.232,.309,.366,.674,4,2.15,0.039,2.01,0.02%,0.55,DH
2018-05-01,DET,TBR,"W,2-1",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.221,.296,.349,.645,4,.90,-0.083,.78,-0.04%,-1.05,DH
2018-05-02,DET,TBR,"W,3-2",4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.222,.294,.344,.639,4,1.14,-0.018,1.08,-0.01%,-0.35,DH
2018-05-04,DET,KCR,"L,2-4",4,3,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.247,.321,.366,.686,4,1.61,0.180,1.61,0.11%,1.44,DH
2018-05-05,DET,KCR,"W,3-2",5,4,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,.258,.333,.381,.715,4,.79,0.037,.76,0.02%,0.29,DH
2018-05-06,DET,KCR,"L,2-4",4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.257,.330,.376,.707,3,1.41,-0.110,1.51,-0.07%,-0.97,DH
2018-05-07,DET,TEX,"L,6-7",5,5,0,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,.255,.325,.368,.693,4,1.82,-0.119,1.65,-0.07%,-0.56,DH
2018-05-08,DET,TEX,"W,7-4",4,4,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.255,.323,.391,.713,4,.50,0.116,.43,0.06%,0.68,DH
2018-05-09,DET,TEX,"L,4-5",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.252,.320,.387,.707,9,2.99,-0.161,2.67,-0.09%,-0.83,PH
2018-05-12,DET,SEA,"L,5-9",5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.241,.308,.371,.678,4,.83,-0.102,.79,-0.06%,-1.26,DH
2018-05-13,DET,SEA,"W,5-4",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.233,.299,.358,.657,3,1.09,-0.115,.93,-0.06%,-0.98,DH
2018-05-14,DET,CLE,"W,6-3",4,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.228,.297,.350,.647,3,.74,-0.033,.87,-0.02%,-0.61,DH
