date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2019-03-28,BOS,SEA,"L,4-12",4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.250,.250,.500,.750,5,.86,-0.038,.80,-0.02%,-0.84,SS
2019-03-29,BOS,SEA,"W,7-6",4,3,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,.286,.375,.857,1.232,4,1.34,0.148,1.30,0.09%,1.12,SS
2019-03-30,BOS,SEA,"L,5-6",5,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.167,.231,.500,.731,5,2.30,-0.304,2.23,-0.18%,-1.86,SS
2019-03-31,BOS,SEA,"L,8-10",5,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.188,.278,.438,.715,4,1.05,-0.049,.99,-0.03%,-0.45,SS
2019-04-01,BOS,OAK,"L,0-7",3,3,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.263,.333,.526,.860,5,.74,0.027,.64,0.01%,0.39,SS
2019-04-02,BOS,OAK,"L,0-1",4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.261,.320,.522,.842,5,1.84,-0.188,1.48,-0.09%,-1.22,SS
2019-04-04,BOS,OAK,"L,3-7",4,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,.280,.379,.520,.899,5,.92,0.121,.77,0.06%,1.42,SS
2019-04-05,BOS,ARI,"L,8-15",5,4,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,.276,.382,.483,.865,5,.39,-0.026,.30,-0.01%,-0.49,SS
2019-04-06,BOS,ARI,"L,4-5",4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.250,.368,.438,.806,4,1.96,-0.141,1.46,-0.06%,-0.83,SS
2019-04-07,BOS,ARI,"W,1-0",4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.357,.417,.774,2,1.08,-0.074,.73,-0.03%,-0.74,SS
2019-04-09,BOS,TOR,"L,5-7",4,2,2,1,1,0,0,1,2,0,0,0,0,0,1,0,0,0,.263,.391,.447,.839,5,.94,0.204,.75,0.10%,1.68,SS
2019-04-11,BOS,TOR,"W,7-6",5,3,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.268,.412,.439,.851,5,2.12,0.097,1.60,0.04%,0.61,SS
2019-04-12,BOS,BAL,"W,6-4",4,4,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.311,.436,.489,.925,5,.63,0.093,.53,0.05%,1.41,SS
2019-04-13,BOS,BAL,"L,5-9",4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.286,.407,.449,.856,5,.67,-0.070,.57,-0.04%,-0.98,SS
2019-04-14,BOS,BAL,"W,4-0",4,3,1,2,0,0,1,4,0,0,1,0,0,1,0,0,0,0,.308,.413,.519,.932,5,1.31,0.167,1.05,0.08%,2.85,SS
2019-04-15,BOS,BAL,"L,1-8",4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.304,.403,.500,.903,5,.85,-0.039,.73,-0.02%,-0.52,SS
2019-04-16,BOS,NYY,"L,0-8",4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.300,.394,.500,.894,2,.71,0.094,.59,0.05%,0.50,SS
2019-04-17,BOS,NYY,"L,3-5",4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.297,.387,.484,.871,2,.60,-0.036,.45,-0.02%,-0.19,SS
2019-04-19,BOS,TBR,"W,6-4",4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.294,.380,.471,.850,5,1.06,-0.086,.82,-0.04%,-0.87,SS
2019-04-20,BOS,TBR,"W,6-5",4,3,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,.282,.373,.451,.824,5,.98,-0.062,.84,-0.03%,-0.97,SS
2019-04-21,BOS,TBR,"W,4-3",5,5,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,.276,.364,.434,.798,5,2.39,0.014,2.20,0.01%,0.18,SS
2019-04-23,BOS,DET,"L,4-7",4,4,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,.288,.370,.513,.882,4,.70,0.141,.56,0.07%,1.46,SS
2019-04-23,BOS,DET,"L,2-4",5,4,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,.286,.371,.500,.871,5,1.91,-0.002,1.43,0.00%,0.30,SS
2019-04-24,BOS,DET,"W,11-4",5,4,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,.284,.373,.489,.861,5,.64,-0.049,.43,-0.02%,0.12,SS
2019-04-25,BOS,DET,"W,7-3",4,4,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.283,.368,.478,.846,5,.79,-0.027,.59,-0.01%,-0.54,SS
2019-04-27,BOS,TBR,"L,1-2",4,3,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,.284,.373,.484,.857,4,1.33,0.063,1.23,0.04%,0.06,SS
2019-04-28,BOS,TBR,"L,2-5",4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.273,.360,.465,.824,4,1.07,-0.116,.87,-0.06%,-1.27,SS
2019-04-29,BOS,OAK,"W,9-4",5,5,1,2,2,0,0,2,0,0,1,0,0,0,0,0,0,0,.279,.361,.481,.842,4,.92,0.148,.57,0.06%,1.40,SS
