date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2019-04-09,BOS,TOR,"L,5-7",4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.250,.250,.250,.500,7,1.77,-0.064,1.42,-0.03%,-1.31,2B
2019-04-11,BOS,TOR,"W,7-6",4,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.250,.250,.250,.500,7,1.60,-0.154,1.21,-0.07%,-0.63,2B
2019-04-13,BOS,BAL,"L,5-9",4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.182,.250,.182,.432,8,.78,-0.051,.66,-0.03%,-0.40,2B
2019-04-14,BOS,BAL,"W,4-0",4,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,.133,.188,.133,.321,6,.91,-0.086,.73,-0.04%,-1.11,DH
2019-04-15,BOS,BAL,"L,1-8",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.105,.150,.105,.255,1,.75,-0.086,.64,-0.05%,-1.25,DH
2019-04-17,BOS,NYY,"L,3-5",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.100,.143,.100,.243,6,1.32,-0.031,.97,-0.01%,-0.38,2B
2018-05-26,BOS,ATL,"W,8-6",5,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.000,.200,.000,.200,6,1.47,-0.130,1.56,-0.08%,-1.44,2B
2018-05-27,BOS,ATL,"L,1-7",4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.000,.222,.000,.222,4,.64,-0.009,.67,-0.01%,-0.61,2B
2018-05-29,BOS,TOR,"W,8-3",4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.091,.231,.091,.322,6,.57,-0.020,.64,-0.01%,0.04,2B
2015-04-06,BOS,PHI,"W,8-0",5,5,2,3,0,0,2,2,0,0,1,0,0,0,0,0,0,0,.600,.600,1.800,2.400,2,.42,0.189,.38,0.10%,1.82,2B
2015-04-08,BOS,PHI,"L,2-4",4,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.429,.556,1.286,1.841,2,.93,0.050,.87,0.03%,0.41,2B
2015-04-09,BOS,PHI,"W,6-2",5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.250,.357,.750,1.107,2,.38,-0.046,.34,-0.03%,-0.90,2B
2015-04-10,BOS,NYY,"W,6-5",10,8,2,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,.250,.375,.550,.925,2,1.57,-0.084,1.79,-0.06%,-0.86,2B
