date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2019-03-28,STL,MIL,"L,4-5",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,5,1.81,-0.171,1.98,-0.11%,-1.02,C
2019-03-29,STL,MIL,"W,9-5",5,3,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,.143,.333,.286,.619,5,.89,0.082,.90,0.05%,1.90,C
2019-03-30,STL,MIL,"L,2-4",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.091,.231,.182,.413,5,1.21,-0.107,1.27,-0.07%,-0.95,C
2019-03-31,STL,MIL,"L,4-5",4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.067,.176,.133,.310,6,.66,-0.068,.68,-0.04%,-0.85,C
2019-04-01,STL,PIT,"W,6-5",6,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.050,.174,.100,.274,5,2.51,-0.221,2.42,-0.13%,-1.39,C 3B
2019-04-03,STL,PIT,"W,5-4",4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.083,.185,.125,.310,5,.93,-0.051,.98,-0.03%,-0.17,C
2019-04-05,STL,SDP,"L,3-5",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.071,.161,.107,.268,5,1.32,-0.141,1.26,-0.08%,-1.03,C
2019-04-06,STL,SDP,"L,4-6",5,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.121,.194,.152,.346,5,.99,-0.005,.92,0.00%,-0.28,C
2019-04-07,STL,SDP,"W,4-1",4,4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.189,.250,.243,.493,5,.89,0.085,.78,0.05%,1.26,C
2019-04-08,STL,LAD,"W,4-3",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.175,.233,.225,.458,6,.82,-0.069,.74,-0.04%,-0.68,C
2019-04-09,STL,LAD,"W,4-0",4,4,0,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,.205,.255,.295,.551,5,.89,0.268,.87,0.16%,2.44,C
2019-04-10,STL,LAD,"W,7-2",4,4,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,.208,.255,.354,.609,5,.83,0.000,.85,0.00%,0.32,C
2019-04-13,STL,CIN,"L,2-5",4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.212,.255,.346,.601,5,1.18,-0.034,1.40,-0.02%,-0.70,C
2019-04-14,STL,CIN,"W,9-5",5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.211,.250,.333,.583,5,.51,-0.049,.61,-0.04%,-0.81,C
2019-04-15,STL,MIL,"L,7-10",5,5,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.210,.246,.339,.585,5,1.32,-0.022,1.72,-0.02%,0.24,C
2019-04-16,STL,MIL,"L,4-8",4,4,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,.227,.261,.348,.609,6,.58,-0.067,.74,-0.05%,0.07,C 1B
2019-04-19,STL,NYM,"L,4-5",5,5,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,.225,.257,.352,.609,6,2.34,-0.250,2.54,-0.16%,-1.38,C
2019-04-20,STL,NYM,"W,10-2",4,3,1,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,.243,.269,.365,.634,6,.48,0.042,.47,0.03%,0.32,C
2019-04-21,STL,NYM,"W,6-4",4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.244,.268,.359,.627,6,.83,0.040,.88,0.03%,-0.04,C
2019-04-22,STL,MIL,"W,13-5",4,4,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.244,.267,.354,.621,6,1.03,-0.062,1.32,-0.05%,0.02,C
2019-04-23,STL,MIL,"W,4-3",4,4,0,3,2,0,0,2,0,0,0,0,0,0,0,0,1,0,.267,.289,.395,.684,6,.95,0.152,1.25,0.12%,2.06,C
2019-04-24,STL,MIL,"W,5-2",4,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.267,.287,.422,.709,6,.37,0.052,.50,0.04%,0.03,C
2019-04-26,STL,CIN,"L,1-12",4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.266,.286,.415,.701,6,.73,-0.060,.97,-0.05%,-0.87,C
2019-04-27,STL,CIN,"W,6-3",4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.265,.284,.408,.692,6,.77,-0.064,1.02,-0.05%,-0.89,C
2019-04-28,STL,CIN,"W,5-2",4,3,0,1,0,0,0,3,0,0,1,0,0,1,0,0,0,0,.267,.283,.406,.689,6,.92,0.031,1.22,0.03%,1.32,C
2019-04-29,STL,WSN,"W,6-3",4,3,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,.269,.291,.404,.695,6,.95,-0.011,1.20,-0.01%,-0.33,C
2019-04-30,STL,WSN,"W,3-2",4,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.262,.289,.393,.682,6,1.22,-0.046,1.52,-0.03%,-0.47,C
2019-05-01,STL,WSN,"W,5-1",4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,.261,.288,.387,.676,6,.90,-0.060,1.15,-0.05%,-0.62,C
2019-05-02,STL,WSN,"L,1-2",0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.261,.288,.387,.676,7,,,,,,C
2019-05-03,STL,CHC,"L,0-4",3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.263,.289,.386,.675,6,.46,-0.012,.69,-0.01%,-0.02,C
2019-05-04,STL,CHC,"L,5-6",5,4,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,.263,.294,.381,.675,6,1.69,-0.018,2.56,-0.02%,-0.09,C
2019-05-05,STL,CHC,"L,5-13",4,4,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,.262,.292,.385,.678,6,1.00,0.128,1.50,0.12%,1.26,C
2019-05-06,STL,PHI,"W,6-0",4,4,1,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.278,.306,.421,.727,6,.76,0.195,.90,0.14%,2.04,C
2019-05-07,STL,PHI,"L,1-11",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.273,.301,.414,.716,6,.48,-0.043,.60,-0.03%,-1.04,C
2019-05-08,STL,PHI,"L,0-5",3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.275,.302,.420,.722,6,.43,-0.004,.53,0.00%,0.35,C
2019-05-09,STL,PIT,"W,17-4",4,4,3,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,.289,.315,.437,.752,6,.80,0.136,1.02,0.10%,1.93,C
2019-05-10,STL,PIT,"L,1-2",4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.288,.313,.432,.745,6,2.31,0.099,3.00,0.08%,-0.23,C
2019-05-11,STL,PIT,"L,1-2",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.280,.305,.420,.724,6,1.41,-0.141,1.83,-0.11%,-0.67,C
2019-05-12,STL,PIT,"L,6-10",5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.277,.301,.412,.713,6,.83,-0.121,1.00,-0.09%,-1.35,C
