date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2019-03-29,SFG,SDP,"L,1-4",4,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.000,.500,.000,.500,8,1.03,0.030,1.05,0.02%,0.08,C
2019-03-31,SFG,SDP,"L,1-3",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.286,.000,.286,8,1.02,-0.081,1.04,-0.05%,-0.59,C
2019-04-03,SFG,LAD,"L,3-5",3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,.300,.000,.300,8,1.12,-0.013,1.15,-0.01%,-0.07,C
2019-04-07,SFG,TBR,"L,0-3",3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.100,.308,.100,.408,8,.95,-0.049,.71,-0.02%,-0.36,C
2019-04-08,SFG,SDP,"L,5-6",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.091,.286,.091,.377,2,3.48,-0.098,2.93,-0.05%,-0.23,PH
2019-04-10,SFG,SDP,"L,1-3",2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.154,.313,.231,.543,8,.82,0.037,.73,0.02%,0.26,C
2019-04-12,SFG,COL,"W,3-2",7,6,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,.105,.261,.158,.419,8,2.03,0.014,1.68,0.01%,0.24,C
2019-04-18,SFG,WSN,"L,2-4",3,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.136,.269,.227,.497,8,.61,-0.009,.49,0.00%,0.56,C
2019-04-26,SFG,NYY,"L,3-7",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.130,.259,.217,.477,3,.20,-0.005,.15,0.00%,-0.23,PH
2019-04-27,SFG,NYY,"L,4-6",1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.167,.286,.375,.661,8,.07,0.010,.05,0.00%,1.00,PH
2019-04-28,SFG,NYY,"L,5-11",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.143,.250,.321,.571,8,.36,-0.037,.22,-0.01%,-0.92,C
2019-04-29,SFG,LAD,"W,3-2",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.138,.242,.310,.553,2,.80,-0.022,.53,-0.01%,-0.32,PH
2019-04-30,SFG,LAD,"L,3-10",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.133,.235,.300,.535,3,.02,0.000,.02,0.00%,-0.10,C
2019-05-11,SFG,CIN,"L,4-5",0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.133,.235,.300,.535,9,,,,,,C
2019-05-12,SFG,CIN,"W,6-5",2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.125,.222,.281,.503,8,1.37,-0.073,.70,-0.02%,-0.59,C
2019-05-18,TBR,NYY,"W,2-1",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.111,.200,.250,.450,9,1.45,-0.151,2.41,-0.15%,-0.87,C
2019-05-21,TBR,LAD,"L,3-7",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.108,.195,.243,.438,8,.48,-0.012,.59,-0.01%,-0.25,C
2019-05-22,TBR,LAD,"W,8-1",0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.108,.195,.243,.438,7,,,,,,C
2019-05-23,TBR,CLE,"W,7-2",4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.122,.200,.244,.444,8,.41,-0.005,.54,0.00%,-0.44,C
2019-05-26,TBR,CLE,"W,6-3",4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.111,.184,.222,.406,8,.40,-0.047,.52,-0.04%,-1.05,C
