date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2019-03-28,SFG,SDP,"L,0-2",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,6,1.80,-0.034,1.94,-0.02%,-0.20,PH RF
2019-03-29,SFG,SDP,"L,1-4",2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,9,2.33,-0.100,2.36,-0.06%,-1.04,PH RF
2019-03-30,SFG,SDP,"W,3-2",4,2,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,.200,.429,.400,.829,7,1.19,0.030,1.15,0.02%,0.59,RF
2019-03-31,SFG,SDP,"L,1-3",3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.125,.300,.250,.550,6,1.39,-0.104,1.42,-0.06%,-0.64,RF
2019-04-01,SFG,LAD,"W,4-2",4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.167,.286,.250,.536,7,1.32,-0.068,1.33,-0.04%,-0.06,RF
2019-04-02,SFG,LAD,"L,5-6",4,4,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.250,.333,.313,.646,8,1.41,0.190,1.46,0.12%,1.47,RF
2019-04-03,SFG,LAD,"L,3-5",4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.263,.364,.316,.679,7,.78,-0.040,.80,-0.03%,-0.34,LF
2019-04-05,SFG,TBR,"L,2-5",4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.217,.308,.261,.569,6,2.01,-0.197,1.55,-0.09%,-1.87,LF
2019-04-06,SFG,TBR,"W,6-4",4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.222,.300,.259,.559,6,.56,-0.039,.42,-0.02%,-0.24,LF
2019-04-07,SFG,TBR,"L,0-3",3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.200,.273,.233,.506,7,.88,-0.067,.66,-0.03%,-0.57,LF
2019-04-08,SFG,SDP,"L,5-6",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.200,.294,.233,.527,2,2.63,0.019,2.22,0.01%,0.12,LF
2019-04-09,SFG,SDP,"W,7-2",3,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.219,.324,.281,.606,8,.34,0.019,.27,0.01%,0.82,RF
2019-04-10,SFG,SDP,"L,1-3",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.212,.316,.273,.589,3,4.08,-0.112,3.61,-0.06%,-0.36,PH LF
2019-04-11,SFG,COL,"W,1-0",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.194,.293,.250,.543,8,.78,-0.060,.60,-0.03%,-0.57,LF
2019-04-12,SFG,COL,"W,3-2",7,6,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,.167,.271,.214,.485,7,1.92,-0.197,1.59,-0.10%,-0.61,LF
2019-04-13,SFG,COL,"W,5-2",4,3,1,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,.200,.288,.244,.533,9,.93,0.023,.80,0.01%,-0.07,LF
2019-04-14,SFG,COL,"L,0-4",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.188,.273,.229,.502,8,.82,-0.061,.78,-0.03%,-0.75,LF
2019-04-16,SFG,WSN,"W,7-3",4,4,2,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.212,.288,.269,.557,8,.77,0.016,.65,0.01%,0.31,LF
2019-04-17,SFG,WSN,"L,6-9",4,3,1,1,0,0,1,2,1,1,0,0,0,0,0,0,1,0,.218,.302,.327,.629,8,.90,-0.043,.81,-0.02%,1.15,LF
2019-04-18,SFG,WSN,"L,2-4",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.232,.313,.339,.652,4,.42,0.025,.33,0.01%,0.28,LF
