date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2019-04-02,WSN,PHI,"L,2-8",0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,8,,,,,,P
2019-04-10,WSN,PHI,"W,15-1",3,2,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.500,.667,.500,1.167,8,.50,-0.010,.54,-0.01%,0.08,P
2019-04-17,WSN,SFG,"W,9-6",2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.333,.500,.333,.833,8,.62,-0.022,.56,-0.01%,-0.41,P
2019-04-22,WSN,COL,"L,5-7",2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.250,.400,.250,.650,8,1.01,-0.037,1.01,-0.02%,-0.54,P
2019-04-28,WSN,SDP,"W,7-6",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.200,.333,.200,.533,9,.48,-0.013,.42,-0.01%,-0.26,P
2019-05-03,WSN,PHI,"L,2-4",2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.167,.375,.167,.542,8,1.33,-0.004,1.31,0.00%,0.01,P
2019-05-08,WSN,MIL,"L,3-7",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.143,.333,.143,.476,9,.39,-0.010,.26,0.00%,-0.25,P
2019-05-14,WSN,NYM,"L,2-6",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.125,.300,.125,.425,9,.54,-0.014,.33,-0.01%,-0.18,P
2019-05-19,WSN,CHC,"L,5-6",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.111,.273,.111,.384,8,.66,-0.017,.39,-0.01%,-0.18,P
2018-04-16,WSN,NYM,"W,8-6",2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.000,.000,.000,.000,8,1.34,-0.071,1.25,-0.04%,-0.51,P
2018-04-22,WSN,LAD,"L,3-4",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,9,1.10,-0.056,.91,-0.03%,-0.65,P
2018-04-28,WSN,ARI,"L,3-4",2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,9,1.51,-0.097,1.01,-0.04%,-0.95,P
2018-05-03,WSN,PIT,"W,3-1",2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.000,.000,.000,.000,8,1.09,-0.034,.91,-0.02%,-0.32,P
2018-05-08,WSN,SDP,"W,4-0",3,3,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.100,.100,.200,.300,8,.95,0.030,.98,0.02%,0.45,P
2018-05-13,WSN,ARI,"W,6-4",2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.083,.083,.167,.250,8,.93,-0.051,1.07,-0.04%,-0.52,P
2018-05-22,WSN,SDP,"W,2-1",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.071,.071,.143,.214,9,1.04,-0.053,1.11,-0.03%,-0.41,P
2018-06-03,WSN,ATL,"L,2-4",0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.071,.071,.143,.214,9,,,,,,P
2018-06-30,WSN,PHI,"L,2-3",2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.063,.063,.125,.188,9,1.14,-0.057,1.73,-0.05%,-0.55,P
2018-07-05,WSN,MIA,"W,14-12",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.059,.059,.118,.176,9,.10,-0.003,.07,0.00%,-0.11,P
2018-07-10,WSN,PIT,"W,5-1",2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.053,.053,.105,.158,9,1.26,-0.066,1.03,-0.03%,-0.56,P
2018-07-15,WSN,NYM,"W,6-1",2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.095,.095,.143,.238,8,1.20,0.047,.89,0.02%,0.25,P
2018-07-24,WSN,MIL,"L,4-5",2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.087,.087,.130,.217,9,1.06,-0.050,.80,-0.02%,-0.70,P
