date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2019-03-28,DET,TOR,"W,2-0",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.000,.000,.000,.000,3,1.73,-0.199,1.69,-0.12%,-1.50,1B
2019-03-29,DET,TOR,"L,0-6",4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.000,.125,.000,.125,3,.70,-0.028,.69,-0.02%,-0.77,1B
2019-03-30,DET,TOR,"L,0-3",3,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.222,.364,.222,.586,3,1.00,0.106,.98,0.06%,1.06,1B
2019-03-31,DET,TOR,"W,4-3",6,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.133,.235,.133,.369,3,1.20,-0.188,1.11,-0.11%,-1.69,DH
2019-04-01,DET,NYY,"L,1-3",4,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.118,.286,.118,.403,3,1.31,0.085,1.30,0.05%,0.40,DH
2019-04-02,DET,NYY,"W,3-1",4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.143,.280,.143,.423,3,1.14,-0.030,1.06,-0.02%,0.07,DH
2019-04-03,DET,NYY,"W,2-1",4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.120,.241,.120,.361,3,1.02,-0.102,.98,-0.06%,-0.86,1B
2019-04-04,DET,KCR,"W,5-4",4,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,.148,.303,.148,.451,3,1.78,0.211,2.03,0.15%,2.13,1B
2019-04-06,DET,KCR,"W,7-4",5,4,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.226,.368,.226,.594,3,1.20,-0.008,1.39,-0.01%,0.57,1B
2019-04-07,DET,KCR,"W,3-1",4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.235,.381,.235,.616,3,.54,0.049,.63,0.03%,0.47,DH
2019-04-09,DET,CLE,"L,2-8",4,4,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.263,.391,.289,.681,3,1.08,0.102,1.41,0.08%,1.04,1B
2019-04-10,DET,CLE,"W,4-1",4,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.286,.400,.310,.710,3,.40,-0.003,.53,0.00%,0.17,DH
