date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2019-03-28,LAA,OAK,"L,0-4",3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.000,.000,.000,.000,9,1.06,-0.118,1.12,-0.08%,-1.28,LF
2019-03-30,LAA,OAK,"L,2-4",3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.000,.000,.000,.000,8,.91,-0.091,.98,-0.06%,-1.05,LF
2019-03-31,LAA,OAK,"L,1-2",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.79,-0.040,.82,-0.03%,-0.34,CF
2019-04-02,LAA,SEA,"L,1-2",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.95,-0.073,.88,-0.04%,-0.59,LF
2019-04-04,LAA,TEX,"L,4-11",1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,2,.00,0.001,.00,0.00%,0.39,CF
2019-04-05,LAA,TEX,"W,3-1",0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,8,,,,,,LF
2019-04-06,LAA,TEX,"W,5-1",4,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.067,.125,.067,.192,8,.67,-0.011,.57,-0.01%,-0.14,LF
2019-04-07,LAA,TEX,"W,7-2",3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.056,.105,.056,.161,8,.75,-0.052,.66,-0.03%,-1.15,PH LF
2019-04-08,LAA,MIL,"W,5-2",0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.056,.105,.056,.161,8,,,,,,LF
2019-04-09,LAA,MIL,"W,11-8",3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.048,.091,.048,.139,2,.79,-0.059,.66,-0.03%,-0.80,CF
2019-04-10,LAA,MIL,"W,4-2",0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.048,.091,.048,.139,7,,,,,,CF
2019-04-12,LAA,CHC,"L,1-5",3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.042,.080,.042,.122,8,.67,-0.053,.57,-0.03%,-0.68,CF
2019-04-13,LAA,CHC,"W,6-5",1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,.042,.077,.042,.119,9,.33,0.002,.28,0.00%,-0.18,PH CF
