date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2019-03-28,CHW,KCR,"L,3-5",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,1.000,,,8,2.91,0.067,3.15,0.04%,0.28,PH
2019-03-30,CHW,KCR,"L,6-8",4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.333,.600,.333,.933,7,.87,0.055,.89,0.03%,0.36,C
2019-04-01,CHW,CLE,"L,3-5",4,1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,.500,.778,.500,1.278,6,1.22,0.185,1.25,0.11%,1.34,C
2019-04-05,CHW,SEA,"W,10-8",5,3,0,0,0,0,0,1,1,0,2,1,0,0,0,1,0,0,.286,.643,.286,.929,4,1.45,0.189,1.33,0.10%,0.70,C
2019-04-07,CHW,SEA,"L,5-12",5,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.167,.474,.167,.640,4,.43,-0.039,.40,-0.02%,-1.09,C
2019-04-08,CHW,TBR,"L,1-5",3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.133,.409,.133,.542,4,1.27,-0.136,1.09,-0.07%,-1.41,DH
2019-04-09,CHW,TBR,"L,5-10",4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.118,.423,.118,.541,6,.37,0.008,.29,0.00%,-0.04,C
2019-04-10,CHW,TBR,"L,1-9",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.095,.367,.095,.462,7,.31,-0.035,.23,-0.02%,-1.36,C
2019-04-13,CHW,NYY,"L,0-4",3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.083,.333,.083,.417,7,.72,-0.056,.54,-0.03%,-0.54,C
2019-04-15,CHW,KCR,"W,5-4",4,4,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.107,.324,.214,.539,7,1.78,0.273,1.45,0.13%,0.51,C
2019-04-16,CHW,KCR,"W,5-1",4,3,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,.129,.341,.258,.600,7,.80,-0.020,.67,-0.01%,0.05,C
2019-04-18,CHW,DET,"L,7-9",4,4,1,2,0,0,1,2,0,0,0,0,0,0,1,0,0,0,.171,.356,.371,.727,7,1.47,0.455,1.32,0.25%,3.00,C
2019-04-21,CHW,DET,"L,3-4",3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.158,.333,.342,.675,7,.52,-0.041,.49,-0.02%,-0.48,C
2019-04-23,CHW,BAL,"L,1-9",4,4,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,.167,.327,.333,.660,5,.62,-0.035,.50,-0.02%,-0.53,C
2019-04-24,CHW,BAL,"L,3-4",4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.178,.339,.333,.673,6,1.35,0.098,1.05,0.05%,0.63,DH
2019-04-28,CHW,DET,"W,4-1",4,4,0,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,.204,.350,.367,.717,6,1.16,0.171,.98,0.09%,1.68,C
2019-05-01,CHW,BAL,"W,7-6",4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,.189,.328,.340,.668,6,1.18,-0.160,.93,-0.08%,-1.41,C
