date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2015-04-08,PHI,BOS,"W,4-2",99,6.1,2,0,0,1,8,0,0,0.00,22,105,70,25,6,4,9,2,1,0,76,,,0,0,0,21,0,0,0,0,0,0,.91,0.293,0.15%,2.29
2015-04-13,PHI,NYM,"L,0-2",4,6.0,4,1,1,2,1,0,0,0.73,24,97,63,11,7,4,17,7,4,0,59,,,1,0,0,22,1,1,0,0,0,0,.96,0.140,0.09%,1.70
2015-04-18,PHI,WSN,"W,5-3",4,6.0,7,3,3,2,6,1,0,1.96,26,91,60,15,11,9,9,6,0,0,50,,,0,1,0,24,0,0,0,0,0,0,1.36,-0.066,-0.03%,-0.16
2015-04-24,PHI,ATL,"W,1-0",5,8.0,2,0,0,1,6,0,0,1.37,25,104,66,20,10,6,12,5,2,0,83,,,0,0,0,24,1,0,0,2,0,0,1.05,0.524,0.23%,3.60
2015-04-29,PHI,STL,"L,2-5",4,6.0,9,5,5,1,6,0,0,2.51,28,86,57,14,8,7,14,7,3,0,39,,,0,1,0,26,2,1,0,0,0,0,1.02,-0.378,-0.15%,-2.19
2015-05-04,PHI,ATL,"W,5-2",4,6.0,5,1,1,1,2,0,0,2.35,23,93,57,14,6,5,15,7,2,0,59,,,0,0,0,22,0,1,0,1,0,0,.83,0.199,0.08%,1.70
2015-05-09,PHI,NYM,"L,2-3",4,7.0,8,3,2,1,2,1,0,2.38,31,101,67,17,6,10,18,4,4,0,52,,,0,0,0,29,1,0,0,0,0,1,1.30,-0.215,-0.08%,0.15
2015-05-14,PHI,PIT,"W,4-2",4,8.0,5,0,0,1,6,0,1,2.03,28,112,80,22,13,8,12,6,1,0,77,,,0,2,0,26,1,0,0,2,0,1,.76,0.299,0.07%,3.60
2015-05-19,PHI,COL,"L,5-6",4,6.0,3,3,0,3,7,0,0,1.82,24,99,59,19,7,6,8,3,0,0,64,,,0,0,0,21,0,1,0,1,0,1,.94,0.092,0.04%,0.29
2015-05-24,PHI,WSN,"L,1-4",4,6.0,7,2,2,2,2,0,0,1.93,27,95,59,7,4,10,13,6,2,0,50,,,0,0,0,24,2,1,0,0,0,0,1.16,0.009,0.00%,0.84
2015-05-30,PHI,COL,"L,2-5",5,6.0,4,2,2,0,7,2,1,2.02,23,109,74,16,15,5,10,4,3,0,63,,,0,0,0,22,0,0,0,0,0,0,.81,0.054,0.01%,0.70
2015-06-04,PHI,CIN,"L,4-6",4,5.2,6,6,5,5,1,0,0,2.45,28,99,58,15,4,10,12,7,3,0,31,,,0,0,0,21,2,0,1,1,0,0,1.33,-0.404,-0.07%,-3.51
2015-06-09,PHI,CIN,"L,2-11",4,6.0,7,7,7,2,5,4,0,3.04,27,109,73,14,8,7,13,4,0,0,33,,,0,0,0,25,1,0,0,0,0,0,.40,-0.369,-0.04%,-4.22
2015-06-15,PHI,BAL,"L,0-4",5,6.0,5,4,4,2,2,1,0,3.24,24,92,53,14,7,8,12,2,2,0,46,,,1,0,0,22,1,0,0,1,0,0,.97,-0.085,0.00%,-1.02
2015-06-20,PHI,STL,"L,1-10",4,6.0,7,4,4,1,6,1,2,3.41,27,100,64,17,7,10,8,3,0,0,47,,,0,0,0,24,2,0,0,0,0,0,1.25,-0.224,-0.01%,-1.30
2015-06-26,PHI,WSN,"L,2-5",5,6.0,9,5,4,1,5,1,1,3.56,29,92,62,9,11,8,14,10,0,0,40,,,0,0,0,25,1,0,0,1,1,1,1.01,-0.185,-0.01%,-2.30
2015-07-01,PHI,MIL,"L,5-9",4,5.0,14,8,8,1,1,1,0,4.08,29,91,64,15,5,10,17,10,2,0,7,,,0,0,0,28,4,0,0,1,0,0,.65,-0.361,0.00%,-6.36
2015-07-30,PHI,ATL,"W,4-1",28,5.0,9,1,1,1,3,0,0,3.97,25,96,62,11,12,7,14,10,1,0,47,,,0,0,0,23,0,0,0,0,0,0,1.57,0.131,0.00%,1.25
2015-08-05,PHI,LAD,"L,3-4",5,5.0,7,4,4,5,1,1,0,4.11,25,104,63,17,6,8,11,6,2,0,33,,,0,0,0,20,0,0,0,1,0,0,.81,-0.230,0.00%,-1.75
2015-08-10,PHI,ARI,"L,3-13",4,5.1,12,8,8,1,4,2,0,4.52,28,101,67,15,7,9,14,9,1,0,15,,,0,0,0,26,3,2,0,0,1,0,.87,-0.447,0.00%,-4.25
2015-08-16,PHI,MIL,"L,1-6",5,4.2,7,6,6,1,2,1,0,4.79,23,75,48,15,5,11,9,4,2,0,27,,,0,0,0,22,1,1,0,0,0,1,.80,-0.200,0.00%,-4.10
2015-08-22,PHI,MIA,"W,4-2",5,7.0,2,2,2,4,3,0,0,4.67,27,110,63,15,7,11,9,2,3,0,64,,,1,0,0,23,2,0,0,0,0,0,.88,0.001,0.00%,1.12
2015-08-27,PHI,NYM,"L,5-9",4,6.0,9,5,5,3,0,3,0,4.79,29,109,65,13,3,9,17,8,4,0,31,,,0,0,0,26,1,0,0,1,0,0,1.19,-0.132,0.00%,-2.30
2015-09-01,PHI,NYM,"W,14-8",4,4.2,5,4,4,1,4,1,0,4.89,20,87,58,12,5,6,9,3,1,0,41,,,0,0,0,19,0,0,0,0,0,0,.65,-0.035,0.00%,-1.84
2015-09-07,PHI,ATL,"L,2-7",5,5.0,8,5,5,3,6,1,0,5.02,26,93,51,12,6,4,13,8,4,0,34,,,1,0,0,22,3,0,2,0,0,0,.85,-0.325,0.00%,-2.75
