date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-03-29,PHI,ATL,"L,5-8",99,5.1,3,1,1,1,3,0,0,1.69,20,68,48,13,7,8,9,3,2,0,60,,,0,0,0,19,1,0,0,0,0,0,.91,0.296,0.19%,2.26
2018-04-04,PHI,NYM,"L,2-4",5,5.0,4,2,2,4,4,1,1,2.61,22,87,55,18,9,9,4,3,0,0,51,,,0,1,0,17,0,0,0,1,0,0,.85,0.034,0.02%,0.22
2018-04-10,PHI,CIN,"W,6-1",5,8.0,3,1,1,3,6,0,0,1.96,29,103,70,29,5,10,10,5,2,0,75,,,2,0,0,26,0,0,0,1,0,0,1.03,0.384,0.20%,2.95
2018-04-16,PHI,ATL,"L,1-2",5,6.0,4,2,2,1,2,0,0,2.22,22,85,53,9,2,10,9,3,2,0,57,,,1,0,0,19,0,0,0,1,1,0,1.04,0.057,0.04%,0.93
2018-04-21,PHI,PIT,"W,6-2",4,7.0,6,2,2,0,9,1,0,2.30,26,103,75,15,18,7,10,2,2,0,66,,,0,0,0,26,0,0,0,1,0,0,.94,0.150,0.11%,1.45
2018-04-27,PHI,ATL,"W,7-3",5,7.0,7,3,3,1,4,0,0,2.58,28,101,69,15,10,16,7,1,3,0,54,,,3,0,0,27,3,0,0,1,0,0,1.17,0.161,0.13%,0.45
2018-05-02,PHI,MIA,"W,6-0",4,7.1,4,0,0,1,7,0,0,2.17,25,101,67,18,15,8,9,7,0,0,76,,,0,1,1,24,0,0,0,0,0,0,.97,0.416,0.27%,3.15
2018-05-08,PHI,SFG,"W,4-2",5,7.0,5,1,1,0,12,0,0,2.05,25,109,75,19,26,6,7,5,0,0,75,,,1,0,1,25,1,0,0,0,0,0,.95,0.267,0.19%,2.45
2018-05-13,PHI,NYM,"W,4-2",4,6.0,9,1,1,2,4,1,0,1.99,25,89,62,17,9,12,7,4,1,0,52,,,0,1,0,23,0,0,0,2,0,0,1.39,0.168,0.13%,1.96
2018-05-20,PHI,STL,"L,1-5",6,6.0,7,4,4,1,6,1,0,2.37,26,99,65,22,11,6,13,7,1,0,47,,,1,0,0,23,1,0,0,0,1,0,1.00,-0.191,-0.15%,-1.19
2018-05-26,PHI,TOR,"W,2-1",5,6.2,1,1,1,3,10,0,0,2.27,24,113,68,23,15,9,2,0,1,0,75,,,0,0,0,21,0,0,0,0,0,0,1.08,0.173,0.13%,2.02
2018-05-31,PHI,LAD,"W,2-1",4,7.0,2,1,1,1,7,0,0,2.18,25,111,73,22,9,10,7,2,0,0,75,,,0,0,0,24,1,0,0,0,0,1,1.14,0.306,0.23%,2.31
2018-06-06,PHI,CHC,"L,5-7",5,6.0,4,3,3,4,6,1,0,2.35,26,92,57,16,11,12,4,2,0,0,54,,,3,0,0,21,2,0,1,1,1,1,.98,-0.026,-0.02%,0.01
2018-06-12,PHI,COL,"W,5-4",5,6.2,4,1,1,0,10,0,1,2.27,25,108,76,21,15,11,4,2,0,0,72,,,1,0,0,24,1,0,0,0,0,0,.80,0.233,0.16%,2.96
2018-06-17,PHI,MIL,"W,10-9",4,4.1,7,4,4,4,4,1,0,2.55,23,92,57,23,7,6,9,4,3,0,33,,,2,0,0,18,4,0,0,1,0,0,1.46,-0.288,-0.21%,-2.05
2018-06-23,PHI,WSN,"W,5-3",5,6.0,4,2,2,3,5,0,0,2.58,24,83,55,20,7,7,9,3,3,0,58,,,1,1,0,21,1,0,0,0,0,0,1.08,0.160,0.16%,1.07
2018-06-28,PHI,WSN,"W,4-3",4,7.2,5,1,1,2,8,0,0,2.48,30,114,78,23,15,7,13,6,2,0,71,,,0,0,0,27,1,0,0,0,0,0,1.24,0.349,0.35%,2.51
2018-07-04,PHI,BAL,"W,4-1",5,7.0,7,1,1,2,9,0,1,2.41,30,103,74,23,15,8,10,6,1,0,66,,,1,1,0,27,2,0,0,0,0,0,1.18,0.307,0.27%,2.45
2018-07-09,PHI,NYM,"W,3-1",4,7.0,1,0,0,1,10,0,0,2.27,23,105,75,22,18,5,7,4,2,0,84,,,0,0,0,22,0,0,0,0,0,0,.69,0.347,0.32%,3.11
2018-07-14,PHI,MIA,"L,0-2",4,6.0,4,2,2,1,5,0,0,2.30,24,93,64,25,4,14,4,1,1,0,60,,,0,0,0,23,0,0,0,0,0,1,.82,-0.018,-0.02%,0.73
2018-07-24,PHI,LAD,"W,7-4",9,5.0,5,3,3,2,5,1,0,2.42,21,91,61,17,14,5,9,1,1,0,48,,,0,0,1,18,1,0,0,0,0,0,.81,-0.092,-0.10%,-0.53
2018-07-30,PHI,BOS,"L,1-2",5,8.0,4,1,1,1,6,0,0,2.35,29,105,73,23,12,12,10,7,1,0,75,,,0,0,0,28,1,1,0,0,0,1,1.23,0.430,0.43%,3.25
2018-08-05,PHI,MIA,"W,5-3",5,6.0,7,2,2,2,2,1,0,2.37,28,91,64,16,7,10,14,11,2,0,50,,,0,0,0,26,0,0,0,0,0,1,1.25,0.152,0.15%,0.96
2018-08-11,PHI,SDP,"W,5-1",5,6.0,4,0,0,3,5,0,1,2.28,25,95,61,15,10,10,6,4,1,0,66,,,1,0,0,21,1,0,0,1,0,0,1.04,0.239,0.26%,2.70
2018-08-17,PHI,NYM,"W,4-2",5,7.0,3,1,1,1,11,0,1,2.24,26,108,74,19,21,6,7,4,0,0,77,,,0,0,1,23,0,0,0,0,1,1,1.02,0.243,0.29%,2.45
2018-08-23,PHI,WSN,"W,2-0",5,8.0,5,0,0,1,9,0,0,2.13,30,102,70,18,19,9,11,7,2,0,80,,,0,0,0,28,3,0,0,0,0,0,1.15,0.532,0.64%,4.10
2018-08-28,PHI,WSN,"L,4-5",4,7.0,4,2,1,2,8,0,0,2.10,26,106,72,22,10,9,7,4,0,0,69,,,0,0,0,24,2,0,0,1,0,0,1.01,0.223,0.24%,1.45
2018-09-02,PHI,CHC,"L,1-8",4,5.2,5,4,4,2,11,3,0,2.23,23,96,68,22,18,5,5,1,0,0,52,,,0,0,0,21,0,1,0,1,0,0,.64,-0.135,-0.15%,-1.40
2018-09-07,PHI,NYM,"W,4-3",4,7.0,3,3,3,1,8,2,1,2.29,26,103,66,26,10,8,8,1,0,0,66,,,0,0,0,24,1,0,0,0,0,0,.95,-0.065,-0.06%,0.11
2018-09-12,PHI,WSN,"L,1-5",4,5.0,6,4,4,1,5,2,0,2.42,21,74,49,16,9,6,9,3,2,0,43,,,0,0,0,20,1,0,0,1,0,0,.51,-0.207,-0.06%,-1.53
2018-09-18,PHI,NYM,"W,5-2",5,5.2,6,2,2,2,9,1,0,2.44,25,104,69,18,19,7,7,3,2,0,56,,,0,0,0,23,1,0,1,0,0,0,.71,-0.001,0.00%,0.47
2018-09-23,PHI,ATL,"L,1-2",4,6.0,4,2,2,1,6,1,0,2.45,23,90,65,17,13,8,8,6,1,0,61,,,0,0,0,22,2,0,0,1,0,1,.94,0.042,0.00%,0.93
2018-09-29,PHI,ATL,"W,3-0",5,7.0,2,0,0,4,8,0,1,2.37,26,88,55,13,13,10,3,3,0,0,77,,,0,0,0,21,0,0,1,2,0,0,1.31,0.440,0.00%,3.45
2019-03-28,PHI,ATL,"W,10-4",99,6.0,2,1,1,5,8,0,0,1.50,23,99,57,25,12,6,4,1,1,0,67,,,1,1,0,18,0,0,0,0,0,0,.91,0.252,0.17%,2.24
2019-04-03,PHI,WSN,"L,8-9",5,3.0,5,6,6,2,2,3,0,7.00,16,63,36,11,6,6,6,1,1,0,25,,,1,0,0,14,1,0,0,0,0,0,.74,-0.388,-0.29%,-4.32
2019-04-09,PHI,WSN,"L,6-10",5,6.1,7,5,4,1,3,2,0,6.46,26,99,69,24,4,12,10,6,0,0,43,,,0,0,0,24,2,0,0,2,1,1,.75,-0.083,-0.06%,-1.51
2019-04-15,PHI,NYM,"L,6-7",5,4.0,7,5,5,3,6,0,0,7.45,22,83,49,16,9,4,9,7,1,0,31,,,1,0,0,19,1,0,0,0,0,0,1.28,-0.335,-0.27%,-2.84
2019-04-20,PHI,COL,"W,8-5",4,5.2,9,3,3,1,9,2,1,6.84,27,97,62,23,8,8,8,4,1,0,47,,,0,1,1,25,0,0,0,0,0,0,1.21,0.099,0.07%,0.61
