date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-04-05,STL,ARI,"L,1-3",99,3.2,4,3,3,4,3,0,0,7.36,20,89,50,18,5,8,5,4,0,0,40,,,0,0,0,14,2,0,1,0,1,1,1.09,-0.176,-0.10%,-1.60
2018-04-11,STL,MIL,"L,2-3",5,7.0,8,3,3,0,4,2,0,5.06,28,91,63,20,5,14,10,5,2,0,53,,,0,0,0,28,2,0,0,1,0,0,.66,-0.058,-0.04%,0.28
2018-04-17,STL,CHC,"W,5-3",5,5.0,4,1,0,4,5,0,2,3.45,25,93,50,15,9,7,7,1,2,0,58,,,0,0,0,18,1,0,0,0,0,0,1.24,0.178,0.13%,1.51
2018-05-13,STL,SDP,"L,3-5",25,2.1,3,2,2,6,3,0,0,4.00,15,79,38,16,2,3,3,2,1,0,40,,,0,0,0,9,0,0,0,1,0,0,1.64,-0.117,-0.08%,-1.16
2018-09-10,STL,PIT,"W,8-7",99,5.0,7,4,4,0,3,2,0,4.70,22,81,56,15,8,10,9,4,1,0,40,,,0,0,0,22,0,0,0,0,0,0,.70,-0.170,-0.17%,-1.66
2018-09-16,STL,LAD,"W,5-0",5,6.0,2,0,0,3,9,0,0,3.72,22,101,61,29,12,4,6,3,0,0,74,,,0,1,0,19,1,0,0,0,0,0,.80,0.301,0.43%,2.81
2018-09-22,STL,SFG,"W,5-4",5,6.1,8,4,4,0,6,0,0,4.08,27,104,68,13,14,10,11,3,1,0,47,,,0,0,0,26,1,0,0,0,0,0,1.28,-0.244,-0.23%,-0.87
2018-09-28,STL,CHC,"L,4-8",5,5.0,5,4,4,1,7,1,0,4.46,22,94,61,20,13,6,8,4,2,0,47,,,0,0,0,20,1,0,0,0,1,1,.72,-0.168,-0.25%,-1.49
2019-04-01,STL,PIT,"W,6-5",99,4.0,4,4,4,4,3,0,0,9.00,19,72,37,12,4,6,6,3,1,0,37,,,0,0,0,13,2,0,1,0,1,0,.74,-0.227,-0.13%,-1.97
2019-04-07,STL,SDP,"W,4-1",5,6.0,5,1,1,0,9,0,0,4.50,22,100,63,16,15,5,8,4,2,0,67,,,0,0,0,22,4,0,0,0,0,0,1.01,0.241,0.13%,2.11
2019-04-13,STL,CIN,"L,2-5",5,6.0,3,2,2,2,4,2,1,3.94,24,91,55,16,3,10,7,2,3,0,60,,,0,0,0,21,1,0,0,0,0,0,1.09,0.024,0.02%,1.27
2019-04-19,STL,NYM,"L,4-5",5,3.0,8,4,3,3,3,0,0,4.74,21,86,48,17,4,9,6,5,0,0,29,,,0,0,0,17,3,0,0,0,0,1,.98,-0.243,-0.16%,-2.94
2019-04-24,STL,MIL,"W,5-2",4,6.0,4,1,1,1,3,1,0,3.96,21,86,50,18,5,6,11,3,2,0,62,,,0,0,0,20,1,0,0,2,0,0,.77,0.192,0.16%,2.11
2019-04-30,STL,WSN,"W,3-2",5,6.1,6,2,2,2,5,2,2,3.73,29,80,55,20,8,7,13,6,1,0,56,,,0,0,0,25,0,0,1,0,0,0,1.26,0.105,0.08%,0.96
2019-05-05,STL,CHC,"L,5-13",4,5.0,5,6,6,2,2,1,0,4.71,21,76,47,21,6,9,8,4,0,0,33,,,0,0,0,18,1,1,0,1,1,0,.79,-0.254,-0.23%,-2.93
2019-05-10,STL,PIT,"L,1-2",4,7.0,5,1,1,0,8,1,0,4.15,25,92,58,23,6,11,6,3,2,0,71,,,0,0,0,25,0,0,0,1,0,0,.76,0.263,0.21%,2.63
2019-05-16,STL,ATL,"L,2-10",5,4.0,5,5,5,5,2,0,0,4.75,21,79,45,15,3,6,8,5,1,0,29,,,0,0,0,14,2,0,2,0,1,0,.78,-0.243,-0.15%,-2.78
2019-05-22,STL,KCR,"W,10-3",5,5.0,6,3,3,4,2,1,1,4.82,25,103,55,20,6,9,9,2,0,0,41,,,1,0,0,20,1,0,0,1,0,0,1.02,0.049,0.03%,-0.41
2019-05-28,STL,PHI,"L,3-4",5,6.0,8,4,4,0,10,1,0,4.94,25,92,64,23,11,6,9,5,0,0,50,,,0,0,0,25,2,0,0,0,0,0,1.01,-0.140,-0.08%,-0.76
2019-06-02,STL,CHC,"W,2-1",4,8.0,2,0,0,7,8,0,0,4.34,30,126,70,20,14,8,7,4,1,0,79,,,0,0,0,23,0,0,0,1,0,0,1.48,0.584,0.42%,4.14
2019-06-09,STL,CHC,"L,1-5",6,4.1,7,3,3,1,2,0,0,4.46,19,70,44,9,5,10,6,5,0,0,38,,,0,1,0,16,1,0,0,1,0,0,1.15,-0.132,-0.09%,-1.01
2019-06-20,STL,MIA,"L,6-7",10,5.1,6,3,3,1,6,0,0,4.50,23,86,56,25,3,10,6,4,0,0,49,,,0,0,0,22,3,0,1,0,0,0,1.15,-0.120,-0.09%,-0.49
2019-06-26,STL,OAK,"L,0-2",5,6.2,7,2,2,1,9,2,1,4.35,29,105,68,20,9,12,6,1,0,0,60,,,0,0,0,27,1,0,0,0,0,0,1.14,0.100,0.07%,1.52
2019-07-03,STL,SEA,"W,5-2",6,5.0,4,2,2,3,6,1,0,4.31,21,101,63,17,9,4,8,4,0,0,54,,,1,1,0,18,0,0,0,0,0,0,.97,0.091,0.06%,1.18
2019-07-14,STL,ARI,"W,5-2",10,7.0,4,0,0,1,7,0,1,3.99,26,97,57,23,10,10,7,3,1,0,75,,,0,0,0,24,0,0,0,1,0,0,.79,0.258,0.18%,3.63
2019-07-19,STL,CIN,"W,12-11",4,3.1,9,7,7,0,4,1,0,4.50,18,77,52,11,5,3,11,8,0,0,18,,,0,1,0,18,2,0,0,0,0,0,.73,-0.281,-0.24%,-5.11
2019-07-24,STL,PIT,"W,14-8",4,5.0,5,4,4,4,5,0,0,4.63,24,106,65,19,8,8,7,3,0,0,42,,,0,0,0,19,3,0,0,0,1,0,.66,-0.151,-0.16%,-1.46
2019-07-30,STL,CHC,"W,2-1",5,5.2,5,1,1,3,5,0,0,4.47,24,95,58,17,4,7,9,4,3,0,57,,,0,1,0,20,1,0,1,0,0,0,1.13,0.122,0.17%,1.32
2019-08-04,STL,OAK,"L,2-4",4,5.1,6,3,3,3,7,1,2,4.50,26,99,59,19,10,9,5,2,2,0,48,,,0,0,0,21,1,0,0,1,0,0,1.30,-0.091,-0.10%,-0.13
2019-08-10,STL,PIT,"W,3-1",5,6.0,6,1,1,2,8,1,0,4.35,26,98,68,16,14,7,9,6,2,0,62,,,0,0,0,24,0,0,0,0,0,0,1.33,0.260,0.24%,2.11
2019-08-16,STL,CIN,"W,13-4",5,6.2,7,4,3,1,6,1,0,4.33,28,91,64,23,7,12,9,4,0,0,51,,,0,0,0,27,2,0,0,1,0,1,.36,0.147,0.17%,-0.43
2019-08-21,STL,MIL,"L,3-5",4,5.0,8,5,5,4,2,1,0,4.51,27,109,66,23,4,11,10,6,0,0,29,,,0,0,0,23,3,0,1,0,0,0,.62,-0.275,-0.37%,-2.41
2019-08-26,STL,MIL,"W,12-2",4,3.2,6,2,2,3,4,0,0,4.52,20,90,49,17,6,7,6,3,1,0,42,,,0,0,0,17,2,1,0,0,0,0,.53,0.051,0.07%,-0.32
2019-09-02,STL,SFG,"W,3-1",6,7.0,4,0,0,0,1,0,0,4.30,25,96,62,23,2,8,16,7,1,0,70,,,0,0,0,25,1,0,0,0,0,0,.72,0.344,0.29%,3.63
