date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-07-27,CHC,STL,"L,2-5",99,2.0,0,0,0,0,2,0,0,0.00,6,27,19,8,1,1,3,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.11,0.017,0.01%,0.94
2018-08-24,CHC,CIN,"W,3-2",27,5.2,4,1,1,1,8,0,0,1.17,22,84,58,15,12,7,6,2,1,0,64,,,0,0,0,21,3,0,0,0,0,0,.82,0.148,0.14%,1.58
2018-08-29,CHC,NYM,"L,3-10",4,5.0,5,4,4,2,5,1,0,3.55,21,89,53,15,10,8,6,1,0,0,44,,,0,0,0,19,1,0,0,0,0,0,.77,-0.200,-0.12%,-1.49
2018-09-18,CHC,ARI,"W,9-1",19,2.0,0,0,0,0,3,0,0,3.07,6,18,15,5,3,2,1,0,0,0,,0,0,0,0,0,6,0,0,0,1,0,1,.06,0.005,0.00%,1.02
2018-09-24,CHC,PIT,"L,1-5",5,1.0,0,0,0,1,1,0,0,2.87,4,15,6,2,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.17,0.012,0.01%,0.50
2018-09-25,CHC,PIT,"L,0-6",0,0.1,1,1,1,1,1,0,0,3.38,3,10,5,4,0,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.24,-0.012,-0.01%,-0.69
2018-09-30,CHC,STL,"W,10-5",4,2.0,1,2,2,2,3,0,0,4.00,9,49,30,10,6,1,3,1,1,0,,0,0,0,0,0,7,1,0,0,0,0,0,.81,0.083,0.14%,0.01
2019-07-16,CHC,CIN,"W,4-3",99,6.0,5,3,3,1,6,1,4,4.50,26,81,51,12,8,8,7,3,0,0,55,,,0,0,0,21,1,0,0,1,0,0,.85,0.025,0.03%,0.24
2019-07-22,CHC,SFG,"L,4-5",5,4.1,7,2,2,1,5,0,0,4.35,20,76,53,12,11,7,7,6,0,0,45,,,0,0,0,19,1,0,0,1,0,0,1.15,-0.106,-0.11%,-0.70
2019-08-10,CHC,CIN,"L,1-10",18,4.0,4,1,1,3,3,1,1,3.77,20,66,39,9,8,7,6,4,0,0,,0,0,0,0,0,16,1,0,0,0,0,0,.00,0.000,0.00%,1.18
2019-08-14,CHC,PHI,"L,1-11",3,6.0,4,3,3,2,4,2,1,3.98,23,80,49,12,5,10,6,2,1,0,,2,2,0,0,0,20,0,0,0,2,0,0,.03,-0.019,-0.02%,-0.41
2019-09-09,CHC,SDP,"W,10-2",25,1.0,1,0,0,0,2,0,0,3.80,4,14,10,3,3,1,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.06,0.003,0.00%,0.50
2019-09-13,CHC,PIT,"W,17-8",3,3.0,2,1,1,0,4,0,0,3.70,11,40,29,11,6,1,6,3,2,0,,0,0,0,0,0,11,0,1,0,0,0,0,.01,0.001,0.00%,0.62
2019-09-16,CHC,CIN,"W,8-2",2,2.0,1,0,0,0,3,0,0,3.42,7,24,16,5,4,1,3,1,1,0,,0,0,0,0,0,7,0,0,0,0,0,0,1.40,0.154,0.24%,1.08
2019-09-20,CHC,STL,"L,1-2",3,4.2,2,0,0,2,6,0,1,2.90,19,81,52,11,13,6,4,1,1,0,64,,,0,0,0,16,1,0,0,0,0,0,1.03,0.262,0.44%,2.46
2019-09-27,CHC,STL,"W,8-2",6,5.0,5,1,1,2,9,1,0,2.75,22,91,57,18,10,4,7,2,0,0,60,,,1,0,0,20,1,0,0,0,0,0,1.01,0.128,0.00%,1.59
2021-04-01,CHC,PIT,"L,3-5",99,1.0,0,0,0,0,1,0,0,0.00,3,17,10,5,1,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.24,0.018,0.01%,0.51
2021-04-05,CHC,MIL,"W,5-3",3,1.0,0,0,0,0,1,0,0,0.00,3,14,9,4,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.98,0.075,0.05%,0.51
2021-04-07,CHC,MIL,"L,2-4",1,1.1,1,1,1,0,0,1,0,2.70,5,22,12,3,2,4,1,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.25,-0.133,-0.09%,-0.25
2021-04-10,CHC,PIT,"L,2-8",2,2.1,1,0,0,2,1,0,1,1.59,10,40,20,5,3,3,3,1,0,0,,1,0,0,0,0,7,0,0,0,1,0,0,.15,0.019,0.01%,1.33
2021-04-13,CHC,MIL,"W,3-2",2,4.0,2,2,2,0,0,1,1,2.79,15,41,25,7,0,9,5,4,0,0,50,,,0,0,0,14,0,0,0,0,0,0,.78,-0.028,-0.02%,0.07
2021-04-18,CHC,ATL,"L,4-13",4,1.0,5,3,3,1,1,0,0,5.06,9,33,19,4,1,2,5,4,1,0,,0,0,0,0,0,8,2,0,1,0,0,0,.48,-0.039,-0.02%,-1.98
2021-04-21,CHC,NYM,"W,16-4",2,3.0,1,0,0,0,2,0,0,3.95,9,27,17,6,2,4,3,0,0,0,,0,0,0,0,0,9,0,0,0,1,0,0,.07,0.014,0.01%,1.53
2021-04-25,CHC,MIL,"L,0-6",3,2.0,2,0,0,0,0,0,0,3.45,8,34,22,5,1,6,2,1,0,0,,0,0,0,0,0,7,0,0,0,1,0,1,1.12,0.110,0.07%,1.02
2021-04-28,CHC,ATL,"L,0-10",2,2.1,5,3,3,1,2,2,0,4.50,13,57,40,11,6,5,5,2,0,0,,2,0,0,0,0,12,2,0,0,0,0,0,.03,-0.004,0.00%,-1.44
2021-05-02,CHC,CIN,"L,12-13",3,1.0,3,3,3,0,2,0,2,5.68,8,25,18,3,3,3,1,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,2.29,-0.300,-0.15%,-2.42
2021-05-05,CHC,LAD,"W,6-5",2,2.0,3,2,0,2,1,0,0,5.14,10,32,17,5,1,4,3,2,0,0,,0,0,0,0,0,8,1,0,0,0,0,0,4.02,-0.105,-0.06%,0.27
2021-05-15,CHC,DET,"L,8-9",9,1.2,2,3,3,2,2,0,0,5.96,9,39,21,8,4,2,3,0,1,0,,0,0,1,0,0,7,0,0,0,0,0,0,1.62,-0.189,-0.11%,-1.32
2021-06-08,CHC,SDP,"W,7-1",23,1.0,1,1,1,2,2,0,0,6.08,6,24,12,6,2,1,1,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.11,0.001,0.00%,-0.53
2021-06-15,CHC,NYM,"L,2-3",6,4.1,5,3,3,2,6,0,0,6.11,19,57,39,12,6,5,6,5,1,0,45,,,0,0,0,17,1,0,0,1,0,0,1.09,-0.027,-0.02%,-0.08
2021-06-20,CHC,MIA,"W,2-0",4,5.0,6,0,0,0,3,0,0,5.18,21,77,49,14,5,13,5,2,0,0,58,,,0,0,0,21,0,0,0,0,0,0,.95,0.288,0.24%,2.56
2021-06-26,CHC,LAD,"L,2-3",5,4.0,8,2,2,2,2,0,0,5.11,19,69,41,16,2,9,6,4,0,0,38,,,0,1,0,17,3,0,0,1,0,0,.93,-0.032,-0.03%,0.05
2021-07-02,CHC,CIN,"L,1-2",5,5.2,2,2,2,1,9,0,1,4.85,21,92,64,25,9,7,3,0,1,0,65,,,0,0,0,19,0,0,0,0,0,0,1.01,0.327,0.23%,2.99
2021-07-07,CHC,PHI,"W,8-3",4,5.2,5,3,3,1,5,1,0,4.84,23,95,63,18,7,7,10,5,1,0,51,,,0,0,0,22,1,0,0,0,0,0,.54,0.047,0.02%,-0.04
2021-07-19,CHC,STL,"L,3-8",11,4.0,6,5,1,2,6,0,0,4.64,21,81,52,17,7,8,5,4,0,0,42,,,0,0,0,18,0,0,0,1,0,1,1.06,-0.234,-0.09%,-3.12
2021-07-24,CHC,ARI,"L,3-7",4,5.0,3,2,2,2,1,1,0,4.55,20,86,51,12,5,6,11,5,3,0,52,,,0,0,0,18,2,0,0,0,0,0,.98,0.032,0.01%,0.56
2021-07-29,CHC,CIN,"L,4-7",4,6.0,9,4,3,0,0,1,1,4.55,27,96,66,15,6,19,7,3,0,0,40,,,0,0,0,26,1,0,0,2,0,1,1.21,-0.242,-0.06%,-0.93
2021-08-04,CHC,COL,"W,3-2",5,6.0,8,2,2,2,3,0,0,4.41,25,91,61,17,5,7,13,8,1,0,49,,,0,0,0,23,4,0,0,2,0,0,.88,0.151,0.01%,1.44
2021-08-10,CHC,MIL,"L,3-6",5,2.1,1,0,0,0,3,0,0,4.27,8,38,25,6,6,3,2,1,0,0,58,,,0,0,0,8,0,0,0,0,0,0,.94,0.146,0.00%,1.26
2021-08-15,CHC,MIA,"L,1-4",4,5.2,7,2,2,1,4,1,0,4.19,25,92,64,22,8,7,13,8,1,0,50,,,2,0,0,24,1,0,0,0,0,0,1.08,-0.067,0.00%,0.24
2021-08-22,CHC,KCR,"L,1-9",6,4.0,12,7,7,0,5,0,0,4.76,24,100,70,11,12,7,12,8,0,0,15,,,2,0,0,23,3,0,0,0,1,0,.92,-0.325,0.00%,-5.45
2021-08-28,CHC,CHW,"W,7-0",5,8.1,4,0,0,2,3,0,1,4.32,30,103,59,20,4,13,11,3,1,0,76,,,0,0,0,27,1,0,0,2,0,0,.40,0.218,0.00%,3.80
2021-09-03,CHC,PIT,"W,6-5",5,5.2,8,5,5,0,6,3,0,4.53,25,83,60,15,7,9,10,3,0,0,39,,,1,0,0,25,1,0,0,0,0,0,.88,-0.177,0.00%,-2.04
