date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2021-04-10,DET,CLE,"L,3-11",99,1.0,0,0,0,0,1,0,0,0.00,3,16,11,1,5,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.06,0.005,0.00%,0.53
2021-04-14,DET,HOU,"W,6-4",3,1.0,1,0,0,0,2,0,0,0.00,4,11,9,4,2,2,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.36,0.058,0.03%,0.53
2021-04-15,DET,OAK,"L,4-8",0,0.0,1,1,1,2,0,0,0,4.50,3,16,6,2,0,0,1,1,0,0,,3,3,0,0,0,1,1,0,0,0,0,0,1.28,-0.143,-0.08%,-3.00
2021-04-17,DET,OAK,"L,0-7",1,1.1,0,0,0,0,2,0,0,2.70,4,15,11,2,1,1,1,1,0,0,,3,1,0,0,0,4,0,0,0,0,0,0,.04,-0.002,0.00%,0.26
2021-04-22,DET,PIT,"L,2-4",4,0.2,1,0,0,0,1,0,0,2.25,3,12,9,4,2,0,2,1,1,0,,0,0,1,0,0,3,0,0,0,0,0,0,.38,0.005,0.00%,0.18
2021-04-25,DET,KCR,"L,0-4",2,1.0,1,0,0,0,1,0,0,1.80,5,17,10,1,0,2,2,1,1,0,,0,0,1,0,0,5,0,0,0,0,0,1,.68,0.028,0.01%,0.50
2021-04-29,DET,CHW,"L,0-11",3,1.0,3,3,3,0,1,2,0,6.00,6,26,17,4,2,1,4,3,0,0,,2,2,0,0,0,6,0,0,0,0,0,0,.02,-0.003,0.00%,-3.13
2021-05-01,DET,NYY,"L,4-6",1,1.1,1,0,0,0,2,0,0,4.91,4,23,12,2,4,2,0,0,0,0,,2,0,0,0,0,4,0,0,0,0,0,0,.25,0.019,0.00%,1.03
2021-05-04,DET,BOS,"L,7-11",2,0.2,4,3,3,0,1,2,0,7.88,6,20,13,3,2,1,4,2,0,0,,2,0,0,0,0,6,0,0,0,0,0,0,.52,-0.149,-0.03%,-2.47
2021-05-06,DET,BOS,"L,9-12",1,0.2,1,2,0,1,2,0,0,7.27,4,22,13,3,5,1,0,0,0,0,,1,1,0,0,0,3,0,0,0,0,0,0,3.56,-0.186,-0.04%,-0.57
