date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2017-04-21,LAA,TOR,"L,7-8",99,3.2,2,2,2,4,3,0,0,4.91,17,75,40,13,3,7,3,2,1,0,48,,,0,0,0,12,0,0,0,0,0,0,1.23,-0.105,-0.05%,-0.73
2017-05-04,LAA,SEA,"L,3-11",12,4.0,8,6,6,3,4,0,1,9.39,23,90,54,17,5,8,7,4,2,0,23,,,0,1,0,19,3,0,0,0,0,0,1.11,-0.412,-0.29%,-4.00
2017-05-09,LAA,OAK,"W,7-3",4,5.1,4,3,3,5,7,2,0,7.62,24,93,50,22,9,2,10,5,0,0,50,,,2,0,0,19,2,0,0,1,0,0,.97,-0.051,-0.03%,-0.52
2017-05-14,LAA,DET,"W,4-1",4,6.1,3,1,1,2,7,0,0,5.59,22,96,61,18,11,5,8,2,2,0,68,,,0,1,1,20,2,0,0,0,0,0,1.01,0.230,0.10%,1.90
2017-05-20,LAA,NYM,"L,5-7",5,4.0,3,4,3,4,7,0,1,5.79,21,86,51,16,7,4,5,2,0,0,45,,,1,0,0,15,1,0,0,0,1,1,1.03,-0.142,-0.07%,-1.89
2017-06-01,LAA,MIN,"L,2-4",11,6.0,5,1,1,2,4,1,0,4.91,24,84,51,15,9,10,8,2,1,0,60,,,0,0,0,22,0,0,0,1,0,0,.94,0.142,0.07%,1.69
2017-06-07,LAA,DET,"L,0-4",5,6.0,3,1,0,4,9,0,1,4.08,26,101,59,16,15,7,5,4,0,0,69,,,0,0,0,21,0,0,0,1,0,1,1.13,0.187,0.08%,2.20
2017-06-12,LAA,NYY,"L,3-5",4,4.2,5,2,2,5,5,0,0,4.05,24,93,50,18,12,4,10,6,2,0,46,,,0,0,0,19,0,0,0,0,0,0,1.19,-0.034,-0.02%,0.06
2017-06-17,LAA,KCR,"W,9-0",4,6.0,2,0,0,1,9,0,0,3.52,22,94,62,16,22,8,4,1,1,0,76,,,2,0,0,21,0,0,0,1,0,1,.88,0.290,0.13%,3.07
2017-06-23,LAA,BOS,"L,4-9",5,3.1,5,5,5,2,3,1,0,4.20,17,87,54,22,2,4,8,7,0,0,31,,,1,0,0,15,2,0,0,0,0,0,.68,-0.309,-0.14%,-4.02
2017-06-28,LAA,LAD,"W,3-2",4,6.0,1,0,0,5,4,0,0,3.74,23,99,54,22,9,8,6,1,1,0,69,,,0,0,0,18,0,0,0,1,0,0,1.23,0.359,0.18%,3.07
2017-07-03,LAA,MIN,"L,5-9",4,5.0,6,5,5,4,6,2,1,4.18,26,83,51,12,11,4,11,6,0,0,37,,,1,0,0,21,2,0,0,0,0,0,.79,-0.240,-0.11%,-2.36
2017-07-19,LAA,WSN,"W,7-0",15,7.0,1,0,0,1,7,0,0,3.74,23,88,52,17,11,9,6,3,0,0,81,,,0,0,0,22,1,0,0,0,0,0,.72,0.364,0.11%,3.59
2016-04-29,MIN,DET,"L,2-9",99,1.0,5,2,2,1,1,0,0,18.00,9,29,18,2,2,4,3,3,0,0,,1,1,0,0,0,8,1,0,0,0,0,0,.12,-0.019,-0.01%,-2.16
2016-05-03,MIN,HOU,"L,4-6",3,2.2,3,3,3,3,4,1,0,12.27,14,64,34,11,7,1,6,1,1,0,41,,,1,0,0,11,2,0,0,0,0,0,1.18,-0.245,-0.06%,-1.92
2016-09-07,LAA,OAK,"L,1-4",99,3.1,1,1,1,4,5,0,0,7.71,15,68,37,14,5,2,4,3,1,0,55,,,1,0,0,11,1,0,0,0,0,0,1.10,0.129,0.00%,1.28
2016-09-13,LAA,SEA,"L,0-8",5,4.0,5,4,4,2,3,2,0,8.18,19,76,45,21,3,6,8,4,1,0,37,,,1,0,0,16,1,0,0,0,1,0,.62,-0.243,0.00%,-2.07
2016-09-18,LAA,TOR,"W,4-0",4,5.0,2,0,0,3,7,0,0,5.63,19,79,47,15,11,5,4,1,0,0,67,,,0,0,0,16,1,0,0,1,0,0,1.16,0.283,0.00%,2.41
2016-09-23,LAA,HOU,"W,10-6",4,5.1,4,4,4,3,4,0,0,5.91,23,82,45,12,8,7,9,4,1,0,45,,,0,0,0,19,1,0,0,0,1,0,1.36,0.027,0.00%,0.32
2016-09-28,LAA,OAK,"W,8-6",4,4.0,5,2,2,1,5,0,0,5.68,18,78,46,16,6,3,9,6,0,0,48,,,0,0,0,17,3,1,0,0,0,0,.85,-0.045,0.00%,-0.07
