date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2016-04-23,PHI,MIL,"W,10-6",99,2.0,1,0,0,1,2,0,0,0.00,8,43,27,7,2,3,2,2,0,0,,1,0,0,0,0,6,1,0,0,0,0,0,1.68,0.176,0.10%,1.40
2016-04-29,PHI,CLE,"W,4-3",5,2.0,0,0,0,1,4,0,0,0.00,7,26,17,7,5,2,0,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.42,0.161,0.09%,0.98
2016-04-30,PHI,CLE,"W,4-3",0,1.0,0,0,0,0,0,0,0,0.00,3,8,5,1,0,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.15,0.087,0.05%,0.49
2016-05-04,PHI,STL,"L,4-5",3,1.0,1,0,0,0,0,0,0,0.00,4,14,8,2,1,2,2,1,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.52,0.107,0.07%,0.49
2016-05-06,PHI,MIA,"L,4-6",1,1.0,0,0,0,0,1,0,0,0.00,3,9,7,1,2,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.14,0.084,0.06%,0.46
2016-05-08,PHI,MIA,"W,6-5",1,0.1,3,2,2,0,0,1,0,2.45,4,20,14,3,0,2,2,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.61,-0.298,-0.21%,-1.41
2016-05-12,PHI,ATL,"W,7-4",3,0.1,0,0,0,0,0,0,0,2.35,1,2,2,0,1,0,1,0,1,0,,1,0,0,0,0,1,0,0,0,0,0,0,3.04,0.063,0.04%,0.22
2016-05-14,PHI,CIN,"W,4-3",1,1.0,0,0,0,1,2,0,0,2.08,4,20,12,3,3,0,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.03,0.073,0.05%,0.49
2016-05-16,PHI,MIA,"L,3-5",1,0.1,1,2,2,2,0,0,0,4.00,4,20,10,3,2,0,2,2,0,0,,0,0,0,0,0,1,1,0,0,0,1,0,.64,-0.091,-0.07%,-1.41
2016-05-17,PHI,MIA,"W,3-1",0,0.1,0,0,0,0,0,0,0,3.86,1,1,1,0,0,0,1,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,1.06,0.030,0.02%,0.23
