date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2015-05-09,TBR,TEX,"W,7-2",99,3.1,1,0,0,1,2,0,1,0.00,14,52,33,13,5,3,7,3,2,0,,0,0,0,0,0,12,0,0,0,0,0,1,.37,0.049,0.03%,0.34
2015-05-16,TBR,MIN,"L,4-6",6,2.2,2,0,0,3,4,0,0,0.00,12,50,27,5,8,2,3,2,0,0,,1,0,0,1,0,9,1,0,0,0,0,0,.78,0.106,0.07%,1.64
2015-06-01,TBR,LAA,"L,3-7",15,1.0,1,2,2,1,1,1,0,2.57,5,20,9,3,1,0,3,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.18,-0.042,-0.03%,-1.54
2015-06-05,TBR,SEA,"W,1-0",3,3.0,2,0,0,2,3,0,0,1.80,12,46,30,8,9,5,2,2,0,0,,0,0,0,0,0,10,0,0,0,1,0,0,2.07,0.259,0.19%,1.39
2015-07-08,TBR,KCR,"L,7-9",32,2.0,1,0,0,0,1,0,0,1.50,7,19,12,3,2,3,3,0,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.04,0.004,0.00%,1.01
2015-09-08,TBR,DET,"L,7-8",61,1.2,1,1,0,0,2,0,0,1.32,7,18,14,2,4,3,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,1,1,2.61,-0.233,-0.03%,-0.35
2015-09-11,TBR,BOS,"W,8-4",2,1.0,0,0,0,2,1,0,0,1.23,5,24,12,2,3,0,2,1,0,0,,0,0,1,0,0,3,0,0,0,0,0,0,1.06,0.048,0.01%,0.47
2015-09-12,TBR,BOS,"L,4-10",0,1.0,0,0,0,0,0,0,0,1.15,3,8,7,1,0,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,0.00%,0.47
2015-09-13,TBR,BOS,"L,0-2",0,0.2,1,0,0,0,0,0,0,1.10,2,6,5,3,0,1,1,1,0,0,,3,2,0,0,0,2,0,0,0,1,0,0,3.32,-0.199,-0.02%,-0.47
2015-09-16,TBR,NYY,"L,1-3",2,2.0,2,1,1,0,1,1,0,1.47,8,28,19,5,3,3,4,1,1,0,,0,0,0,0,0,8,1,0,0,0,0,0,.48,-0.023,0.00%,-0.07
2015-09-19,TBR,BAL,"L,1-2",2,1.0,1,0,0,0,1,0,0,1.40,4,17,14,1,3,1,2,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.69,0.048,0.00%,0.47
2015-09-20,TBR,BAL,"W,7-6",0,0.1,0,0,0,0,0,0,0,1.37,1,3,1,0,0,0,1,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.67,0.019,0.00%,0.31
2015-09-22,TBR,BOS,"W,5-2",1,1.0,1,0,0,0,1,0,0,1.31,3,7,6,2,1,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.91,0.070,0.00%,0.52
2015-09-23,TBR,BOS,"W,6-2",0,0.2,0,0,0,1,0,0,0,1.27,3,16,7,1,2,1,1,0,0,0,,2,0,1,0,0,2,0,0,0,0,0,0,3.25,0.159,0.00%,0.55
2015-09-26,TBR,TOR,"L,8-10",2,1.0,0,0,0,0,1,0,0,1.21,3,12,7,3,1,0,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.13,0.010,0.00%,0.50
2015-09-27,TBR,TOR,"L,4-5",0,0.1,0,0,0,0,0,0,0,1.19,1,3,1,0,0,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,1.85,0.048,0.00%,0.44
2015-10-02,TBR,TOR,"L,4-8",4,0.2,3,3,3,0,0,2,0,2.31,5,17,9,3,0,1,4,0,0,0,,0,0,0,0,0,5,0,1,0,0,0,0,.64,-0.236,0.00%,-2.63
