date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2021-05-18,MIN,CHW,"W,5-4",99,4.0,5,4,4,1,4,2,1,9.00,20,82,56,14,7,5,9,4,0,0,39,,,0,0,0,18,2,0,0,0,0,1,.87,-0.211,-0.04%,-1.96
2021-06-06,MIN,KCR,"W,2-1",18,4.0,5,1,1,0,4,0,0,5.63,15,51,37,9,8,2,9,5,1,0,52,,,0,0,0,15,0,1,0,0,0,0,1.18,0.099,0.01%,1.19
2021-06-11,MIN,HOU,"L,4-6",4,5.0,7,2,2,1,7,1,0,4.85,22,73,52,20,5,2,12,4,2,0,51,,,1,0,0,20,1,0,0,1,1,0,1.17,0.071,0.01%,0.56
2021-06-16,MIN,SEA,"W,7-2",4,4.0,1,0,0,0,6,0,0,3.71,12,63,40,10,4,2,4,1,2,0,66,,,0,1,0,12,0,0,0,0,0,0,.82,0.200,0.01%,1.98
2021-06-22,MIN,CIN,"L,7-10",5,4.1,6,4,4,2,2,1,0,4.64,21,78,53,13,3,9,8,2,1,0,35,,,0,1,0,19,1,0,0,0,0,1,1.15,-0.282,-0.03%,-1.86
2021-06-30,MIN,CHW,"L,3-13",7,3.1,4,5,5,2,3,3,0,5.84,16,80,49,14,7,2,9,2,0,0,33,,,0,0,0,14,0,0,0,0,0,0,.63,-0.292,-0.03%,-3.10
2021-07-05,MIN,CHW,"W,8-5",4,5.0,2,0,0,3,7,0,0,4.85,20,93,57,14,12,4,6,3,0,0,67,,,0,0,0,17,1,0,0,0,0,0,.78,0.247,0.02%,2.56
2021-07-10,MIN,DET,"W,9-4",4,3.1,4,4,4,2,4,2,0,5.45,16,79,49,16,6,4,6,2,1,0,38,,,1,0,0,14,0,0,0,0,0,0,.72,-0.195,-0.01%,-2.15
2021-07-20,MIN,CHW,"L,5-9",9,5.0,5,4,3,1,4,1,0,5.45,21,66,48,12,7,5,11,4,2,0,46,,,0,0,0,20,1,1,0,1,0,1,.78,-0.185,0.00%,-1.37
2021-07-25,MIN,LAA,"L,2-6",4,5.1,3,2,2,1,4,1,0,5.19,19,68,46,9,10,7,7,2,0,0,57,,,0,1,0,18,0,1,0,0,0,0,.86,0.088,0.00%,0.80
2021-07-31,MIN,STL,"W,8-1",5,4.0,4,1,1,1,6,0,0,4.94,16,64,44,14,7,3,6,3,1,0,55,,,0,0,0,15,0,0,0,1,0,0,.58,0.109,0.00%,0.88
2021-08-06,MIN,HOU,"W,5-4",5,5.0,7,3,3,1,5,2,0,4.99,23,80,55,14,8,4,13,5,3,0,45,,,0,0,0,22,1,0,0,0,0,0,.67,-0.072,0.00%,-0.37
2021-08-11,MIN,CHW,"W,1-0",4,5.1,6,0,0,1,6,0,0,4.53,22,82,54,12,17,8,7,3,1,0,61,,,0,0,0,21,0,0,0,1,0,0,1.31,0.280,0.00%,2.53
2021-08-17,MIN,CLE,"L,1-3",5,6.0,5,3,2,0,3,1,0,4.38,23,69,52,14,7,8,12,4,2,0,55,,,0,0,0,22,2,0,0,0,1,0,.86,-0.055,0.00%,0.07
2021-08-25,MIN,BOS,"W,9-6",7,5.0,4,0,0,1,7,0,0,4.06,19,81,50,12,8,2,9,3,0,0,65,,,0,0,0,18,0,0,0,0,0,0,.99,0.257,0.00%,2.84
2021-08-30,MIN,DET,"W,3-2",4,6.0,5,2,2,0,5,1,0,3.98,22,77,53,10,10,4,13,4,4,0,59,,,0,0,0,22,2,0,0,2,0,0,1.11,0.124,0.00%,1.00
2021-09-06,MIN,CLE,"W,5-2",6,4.0,6,2,2,0,4,1,0,4.00,16,59,42,14,6,7,5,1,0,0,46,,,1,0,0,16,1,0,0,1,0,0,1.04,0.010,0.00%,0.11
2021-09-12,MIN,KCR,"L,3-5",5,4.1,5,3,3,0,6,1,0,4.12,18,75,49,9,15,5,7,1,0,0,47,,,0,0,0,17,1,0,0,0,1,0,.90,-0.049,0.00%,-0.37
2021-09-18,MIN,TOR,"L,2-6",5,4.0,4,4,4,2,3,2,0,4.34,18,74,48,9,12,4,9,3,1,0,39,,,0,0,0,16,1,0,0,0,0,0,.93,-0.269,0.00%,-1.87
2021-09-24,MIN,TOR,"W,3-1",5,5.1,4,1,1,0,6,1,0,4.19,20,82,59,10,11,4,10,3,2,0,62,,,0,0,0,20,2,0,0,0,0,0,.90,0.197,0.00%,1.80
