date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-06-05,BOS,DET,"W,6-0",99,1.0,0,0,0,0,0,0,0,0.00,3,9,7,2,1,2,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.04,0.003,0.00%,0.53
2018-06-06,BOS,DET,"W,7-1",0,1.0,0,0,0,0,0,0,0,0.00,3,11,7,2,1,0,3,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.17,0.013,0.01%,0.53
2018-06-10,BOS,CHW,"L,2-5",3,1.0,1,0,0,0,3,0,0,0.00,4,22,13,4,1,0,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.96,0.056,0.03%,0.53
2018-06-11,BOS,BAL,"W,2-0",0,1.1,1,0,0,1,2,0,0,0.00,6,23,11,2,3,2,1,0,0,0,,1,0,1,0,0,5,1,0,0,0,0,0,2.82,0.202,0.12%,0.73
2018-06-13,BOS,BAL,"W,5-1",1,1.0,0,0,0,0,0,0,0,0.00,3,15,10,4,0,1,2,0,0,0,,2,1,0,0,0,2,0,0,0,0,1,0,1.01,0.058,0.03%,0.50
2018-06-16,BOS,SEA,"L,0-1",2,1.0,1,0,0,0,2,0,0,0.00,4,14,10,4,3,1,1,0,1,0,,0,0,0,0,0,4,1,0,0,0,0,0,.60,0.029,0.02%,0.48
2018-06-17,BOS,SEA,"W,9-3",0,0.2,1,1,1,2,1,0,0,1.29,5,24,11,3,2,0,2,1,0,0,,0,0,0,0,0,3,1,0,0,0,0,0,.11,-0.005,0.00%,-1.11
2018-06-23,BOS,SEA,"L,2-7",5,1.0,1,0,0,0,2,0,0,1.13,4,17,12,5,1,1,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.02,0.001,0.00%,0.53
2018-06-26,BOS,LAA,"W,9-1",2,1.0,0,0,0,0,1,0,0,1.00,3,15,10,3,0,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.02,0.002,0.00%,0.53
2018-06-28,BOS,LAA,"W,4-2",1,1.0,0,0,0,1,2,0,0,0.90,4,15,7,1,4,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.35,0.098,0.05%,0.53
2018-07-01,BOS,NYY,"L,1-11",2,1.0,0,0,0,0,0,0,0,0.82,3,11,5,2,0,1,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.00%,0.51
2018-07-03,BOS,WSN,"W,11-4",1,1.0,0,0,0,0,1,0,0,0.75,3,9,6,2,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.15,0.012,0.01%,0.51
2018-07-06,BOS,KCR,"W,10-5",2,1.0,2,2,2,0,0,1,0,2.08,5,17,11,6,0,2,3,1,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,.16,-0.002,0.00%,-1.49
2018-07-07,BOS,KCR,"W,15-4",0,0.1,0,0,0,0,0,0,0,2.03,1,5,3,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.16,0.004,0.00%,0.11
2018-07-09,BOS,TEX,"W,5-0",1,1.0,1,0,0,0,1,0,0,1.88,4,15,9,3,2,2,1,0,0,0,,0,0,0,0,0,4,0,1,0,0,0,0,1.71,0.074,0.04%,0.53
2018-07-10,BOS,TEX,"W,8-4",0,0.2,1,0,0,0,0,0,0,1.80,3,11,7,1,2,1,2,0,0,0,,2,2,0,0,0,3,1,0,0,0,0,0,1.52,-0.009,0.00%,-0.56
2018-07-12,BOS,TOR,"W,6-4",1,0.1,1,0,0,0,0,0,0,1.76,2,8,4,2,0,0,2,2,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.86,0.014,0.01%,0.11
2018-07-14,BOS,TOR,"W,6-2",1,1.0,0,0,0,0,2,0,0,1.65,3,12,9,1,3,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.54,0.041,0.02%,0.53
2018-07-15,BOS,TOR,"W,5-2",0,0.1,0,0,0,0,1,0,0,1.62,1,7,4,2,1,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,1.11,0.032,0.01%,0.24
2018-07-22,BOS,DET,"W,9-1",6,1.0,3,1,1,0,0,1,0,2.04,5,23,15,5,1,1,4,1,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,.04,0.001,0.00%,-0.47
2018-07-23,BOS,BAL,"W,5-3",0,1.0,2,2,2,0,1,1,0,2.89,5,18,11,3,4,1,3,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.60,-0.013,0.00%,-1.50
2018-08-02,BOS,NYY,"W,15-7",9,2.0,1,1,1,0,1,1,0,3.05,7,26,20,8,2,4,2,2,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.09,0.015,0.01%,0.06
2018-08-07,BOS,TOR,"W,10-7",4,1.0,2,0,0,1,0,0,0,2.91,6,16,10,2,1,2,3,2,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.65,0.047,0.01%,0.50
2018-08-09,BOS,TOR,"L,5-8",1,1.0,1,0,0,0,1,0,0,2.78,3,10,7,3,1,1,1,0,0,0,,0,0,0,1,0,3,0,0,0,0,0,0,.47,0.021,0.00%,0.50
2018-08-10,BOS,BAL,"W,19-12",0,1.1,1,0,0,0,3,0,0,2.63,4,24,14,5,5,1,0,0,0,0,,1,0,1,1,0,4,0,0,0,0,0,0,.47,0.029,0.01%,0.73
2018-08-11,BOS,BAL,"W,6-4",0,0.1,1,0,0,2,0,0,0,2.59,4,21,10,7,0,1,1,1,0,0,,1,1,0,0,0,2,0,0,0,0,0,0,1.20,-0.076,-0.01%,-0.68
2018-08-19,BOS,TBR,"L,0-2",7,2.0,0,0,0,0,1,0,0,2.39,6,13,11,4,1,4,1,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.73,0.113,0.01%,1.06
2018-08-21,BOS,CLE,"L,3-6",1,1.0,0,1,1,1,1,0,0,2.63,4,17,11,7,1,1,1,0,0,0,,0,0,1,0,0,2,0,0,0,0,1,0,.25,-0.021,0.00%,-0.47
2018-08-22,BOS,CLE,"W,10-4",0,1.0,1,0,0,0,1,0,0,2.54,3,10,9,4,1,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.87,0.068,0.01%,0.53
2018-08-25,BOS,TBR,"L,1-5",2,1.0,2,1,1,1,1,1,0,2.76,6,22,14,5,2,2,2,0,1,0,,0,0,1,0,0,5,0,0,0,0,0,0,.35,-0.041,0.00%,-0.51
2018-08-28,BOS,MIA,"W,8-7",2,1.2,1,0,0,1,0,0,0,2.61,6,21,12,4,2,3,2,1,1,0,,1,0,0,1,0,5,0,0,0,0,0,0,1.10,0.133,0.03%,1.08
2018-08-30,BOS,CHW,"W,9-4",1,1.0,0,0,0,0,1,0,0,2.53,2,9,7,2,2,1,0,0,0,0,,1,0,0,0,0,2,0,0,0,1,0,0,.17,0.016,0.00%,0.89
2018-08-31,BOS,CHW,"L,1-6",0,1.0,1,0,0,0,1,0,0,2.45,4,15,10,1,2,0,3,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.02,0.001,0.00%,0.50
2018-09-03,BOS,ATL,"W,8-2",2,0.2,0,0,0,1,0,0,0,2.41,3,12,5,0,1,1,1,0,1,0,,2,0,0,0,0,2,0,0,0,0,0,0,2.91,0.141,0.01%,1.17
2018-09-05,BOS,ATL,"W,9-8",1,1.0,1,1,1,0,1,1,0,2.60,4,14,9,3,2,1,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.12,-0.236,-0.01%,-0.51
2018-09-08,BOS,HOU,"L,3-5",2,1.2,2,0,0,1,0,0,0,2.48,8,20,13,4,0,4,3,3,0,0,,1,1,0,0,0,6,0,0,0,0,1,0,.61,-0.021,0.00%,0.08
2018-09-11,BOS,TOR,"W,7-2",2,1.0,0,0,0,1,1,0,0,2.41,4,20,10,4,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.72,0.052,0.00%,0.53
2018-09-13,BOS,TOR,"W,4-3",1,0.1,0,0,0,0,1,0,0,2.39,1,3,3,0,2,0,0,0,0,0,,3,0,0,0,0,1,0,0,0,0,0,0,5.60,0.143,0.00%,0.79
2018-09-16,BOS,NYM,"W,4-3",2,1.0,0,0,0,1,2,0,0,2.33,3,19,10,4,3,0,0,0,0,0,,0,0,0,1,1,2,0,0,0,0,0,0,1.77,0.110,0.00%,0.53
2018-09-18,BOS,NYY,"L,2-3",1,0.1,0,2,2,2,0,0,0,2.77,3,16,5,2,1,0,1,0,1,0,,0,0,1,0,0,1,0,0,0,0,0,0,2.56,-0.079,0.00%,-0.41
2018-09-21,BOS,CLE,"W,7-5",2,0.1,0,0,0,0,0,0,0,2.75,1,7,4,2,0,0,1,1,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,3.62,0.094,0.00%,0.45
2018-09-26,BOS,BAL,"W,19-3",4,1.0,1,0,0,0,0,0,0,2.68,4,12,8,3,1,2,2,0,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.00,0.000,0.00%,0.53
2018-09-29,BOS,NYY,"L,5-8",2,1.0,4,3,3,0,2,0,0,3.27,7,20,14,3,3,4,1,1,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,.83,-0.174,0.00%,-2.47
2019-03-29,BOS,SEA,"W,7-6",99,1.0,0,0,0,0,1,0,0,0.00,3,11,7,3,1,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.17,0.013,0.01%,0.51
2019-03-31,BOS,SEA,"L,8-10",1,1.0,0,0,0,1,2,0,0,0.00,4,21,14,3,4,0,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.24,0.018,0.01%,0.51
2019-04-02,BOS,OAK,"L,0-1",1,1.0,0,0,0,0,2,0,0,0.00,3,12,9,1,3,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.59,0.045,0.02%,0.53
2019-04-06,BOS,ARI,"L,4-5",3,1.0,0,0,0,0,1,0,0,0.00,3,13,9,4,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.17,0.091,0.04%,0.54
2019-04-07,BOS,ARI,"W,1-0",0,1.0,0,0,0,0,1,0,0,0.00,3,12,8,3,3,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.80,0.062,0.03%,0.54
2019-04-09,BOS,TOR,"L,5-7",1,0.1,1,0,0,1,0,0,0,0.00,3,15,6,2,1,1,1,1,0,0,,1,1,1,0,0,2,0,0,0,0,0,0,1.42,-0.113,-0.05%,-0.74
2019-04-12,BOS,BAL,"W,6-4",2,1.0,0,0,0,1,2,0,0,0.00,4,14,9,5,2,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.12,0.085,0.04%,0.58
2019-04-15,BOS,BAL,"L,1-8",2,1.0,0,0,0,0,1,0,0,0.00,3,12,7,3,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.33,0.026,0.01%,0.58
2019-04-17,BOS,NYY,"L,3-5",1,0.1,1,3,3,2,1,0,0,3.52,4,15,6,3,2,0,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,2.85,-0.180,-0.08%,-1.08
