date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-04-24,COL,SDP,"W,8-0",99,1.0,1,0,0,0,1,0,0,0.00,3,10,7,3,1,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.02,0.001,0.00%,0.57
2018-04-28,COL,MIA,"L,1-4",3,1.0,1,0,0,0,1,0,0,0.00,4,16,11,4,1,2,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.11,0.005,0.00%,0.45
2018-05-09,COL,LAA,"L,0-8",10,1.0,4,2,2,0,0,0,0,6.00,6,27,18,5,2,2,4,4,0,0,,0,0,0,0,0,6,2,0,0,1,0,0,.08,-0.015,-0.01%,-1.43
2018-05-13,COL,MIL,"L,3-7",3,2.0,1,0,0,0,4,0,1,3.60,8,45,29,9,5,1,2,1,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,.06,0.008,0.01%,1.13
2018-05-19,COL,SFG,"L,4-9",5,3.0,3,2,2,0,6,1,0,4.50,12,41,27,6,10,1,5,1,1,0,,0,0,0,0,0,12,1,0,0,0,0,0,.09,-0.049,-0.04%,-0.65
2018-05-23,COL,LAD,"L,0-3",3,1.0,0,0,0,0,0,0,0,4.00,3,11,7,2,2,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.07,0.006,0.01%,0.47
2018-05-27,COL,CIN,"W,8-2",3,0.1,3,1,1,1,0,0,0,4.82,5,14,9,0,1,1,3,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.09,-0.013,-0.01%,-2.08
2018-05-29,COL,SFG,"W,11-4",1,1.0,1,0,0,0,0,0,0,4.35,3,8,6,2,1,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.03,0.001,0.00%,0.57
2018-06-01,COL,LAD,"L,8-11",2,0.0,3,4,4,1,0,1,0,7.84,4,20,11,2,2,0,3,1,0,0,,0,0,0,0,0,3,1,0,0,0,0,0,1.83,-0.464,-0.42%,-3.64
2018-06-08,COL,ARI,"L,4-9",6,1.0,2,1,1,0,1,1,0,7.94,5,25,18,4,3,1,3,2,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.04,-0.008,-0.01%,-0.43
2018-06-09,COL,ARI,"L,7-12",0,1.1,0,0,0,0,2,0,1,7.11,5,19,12,4,4,1,1,0,1,0,,1,0,0,0,0,4,0,0,0,0,0,0,.05,0.006,0.01%,0.92
2018-06-14,COL,PHI,"L,3-9",4,1.0,3,2,2,0,0,0,0,7.90,6,22,16,2,5,1,5,4,1,0,,0,0,0,0,0,6,1,1,0,0,0,0,.04,-0.009,-0.01%,-1.51
