date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2021-04-04,BAL,BOS,"W,11-3",99,6.0,4,3,3,1,5,1,0,4.50,23,73,54,14,11,6,11,6,1,0,56,,,0,0,0,21,2,0,0,0,1,0,.28,0.110,0.08%,0.41
2021-04-10,BAL,BOS,"L,4-6",5,6.0,7,3,3,1,4,1,0,4.50,24,85,61,17,8,9,10,3,2,0,49,,,0,1,0,23,2,0,0,0,0,0,1.06,0.000,0.00%,0.22
2021-04-15,BAL,SEA,"L,1-2",4,5.0,6,2,2,3,2,2,0,4.24,22,87,47,11,5,7,10,6,0,0,46,,,0,0,1,19,0,0,0,1,0,0,1.22,-0.011,-0.01%,0.69
2021-04-21,BAL,MIA,"L,0-3",5,4.2,6,3,3,2,4,0,0,4.57,21,81,50,6,14,6,9,3,3,0,42,,,1,0,0,18,1,0,0,1,0,0,1.35,-0.025,-0.01%,0.18
2021-04-27,BAL,NYY,"L,1-5",5,3.2,9,4,4,1,3,2,0,5.33,21,74,48,11,8,4,13,8,1,0,29,,,0,0,0,19,2,0,0,0,1,0,.79,-0.153,-0.09%,-1.65
2021-05-02,BAL,OAK,"L,5-7",4,4.2,7,4,3,2,4,1,2,5.40,25,87,49,12,10,5,12,4,0,0,38,,,0,0,0,21,1,0,0,0,0,0,.97,-0.258,-0.14%,-2.02
2021-05-16,BAL,NYY,"W,10-6",13,5.2,2,1,1,1,6,1,0,4.79,20,84,57,15,10,9,4,0,2,0,,0,0,0,0,0,19,0,0,0,0,0,0,.89,0.257,0.08%,1.98
2021-05-22,BAL,WSN,"L,9-12",5,3.0,7,5,5,1,2,1,0,5.59,17,82,48,15,3,5,9,4,2,0,26,,,0,0,0,16,0,0,0,0,0,0,.95,-0.258,-0.04%,-3.54
2021-05-27,BAL,CHW,"L,1-5",4,5.0,6,1,1,1,6,1,0,5.15,21,82,49,19,8,7,7,4,0,0,56,,,0,0,0,20,0,0,0,1,0,0,1.06,0.166,0.01%,1.64
2021-06-01,BAL,MIN,"W,7-4",4,5.1,6,2,2,2,7,1,0,4.96,24,87,57,16,18,6,9,5,1,0,53,,,0,0,0,22,2,0,0,0,0,0,.66,0.045,0.00%,0.27
2021-06-08,BAL,NYM,"W,10-3",6,5.0,2,2,2,2,7,1,0,4.83,19,90,57,16,11,4,6,2,2,0,60,,,0,0,0,17,0,0,0,0,0,0,.70,0.064,0.00%,0.69
2021-06-13,BAL,TBR,"L,1-7",4,5.2,6,3,3,3,3,0,0,4.83,25,95,56,15,7,10,9,7,1,0,45,,,1,1,0,22,0,0,0,0,0,0,1.15,-0.128,0.00%,-0.35
2021-09-28,BAL,BOS,"W,4-2",99,4.0,2,1,1,2,2,1,0,4.66,16,70,45,12,4,5,7,0,1,0,54,,,0,0,0,14,0,0,0,0,0,0,.68,0.099,0.00%,1.15
2021-10-03,BAL,TOR,"L,4-12",4,0.2,5,3,3,0,1,1,0,5.04,7,28,17,4,2,1,5,4,0,0,31,,,0,0,0,7,0,0,0,0,0,0,1.13,-0.249,0.00%,-2.92
