date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2021-04-02,HOU,OAK,"W,9-5",99,2.1,1,0,0,1,1,0,0,0.00,8,35,19,6,2,6,0,0,0,0,,2,0,0,0,0,7,0,0,0,1,0,0,1.22,0.152,0.10%,1.43
2021-04-05,HOU,LAA,"L,6-7",2,2.0,1,0,0,0,0,0,0,0.00,7,39,22,7,3,2,5,1,1,0,,0,0,0,0,0,7,0,0,0,0,0,0,1.30,0.162,0.12%,1.06
2021-04-09,HOU,OAK,"L,2-6",3,2.1,1,1,1,0,1,0,0,1.35,8,31,22,6,3,2,5,1,3,0,,0,0,0,0,0,8,0,0,0,0,0,0,1.39,0.165,0.12%,1.03
2021-04-13,HOU,DET,"L,2-8",3,1.2,2,2,2,2,4,1,0,3.24,8,39,25,5,7,0,2,1,0,0,,1,0,0,0,1,6,0,0,0,0,0,0,.27,-0.037,-0.02%,-0.93
2021-04-16,HOU,SEA,"L,5-6",2,0.2,2,2,2,1,0,0,0,5.00,5,17,9,0,1,2,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,1,0,2.06,-0.180,-0.12%,-1.73
2021-04-20,HOU,COL,"L,2-6",3,0.1,1,0,0,0,0,0,0,4.82,2,6,3,1,0,0,2,0,0,0,,2,2,0,0,0,2,1,0,0,0,0,0,2.04,-0.282,-0.15%,-1.53
2021-04-22,HOU,LAA,"W,8-2",1,1.1,2,2,2,1,2,1,1,5.91,8,38,22,7,4,3,1,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.12,-0.016,-0.01%,-1.89
2021-04-26,HOU,SEA,"W,5-2",3,1.0,0,0,0,0,2,0,0,5.40,3,16,12,2,5,0,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.63,0.049,0.03%,0.53
2021-04-29,HOU,SEA,"L,0-1",2,2.0,1,0,0,1,2,0,0,4.61,8,34,21,4,7,3,2,1,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.92,0.116,0.08%,1.05
2021-05-02,HOU,TBR,"L,4-5",2,1.0,1,1,0,0,3,0,1,4.30,6,26,14,2,5,1,1,1,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,1.87,-0.115,-0.08%,-0.52
2021-05-04,HOU,NYY,"L,3-7",1,0.1,2,2,1,1,1,0,0,4.80,4,17,10,3,3,2,0,0,0,0,,2,2,0,0,0,3,0,0,0,0,0,0,1.86,-0.364,-0.24%,-3.49
2021-05-05,HOU,NYY,"L,3-6",0,1.0,1,0,0,1,1,0,0,4.50,4,16,11,1,4,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,2.38,0.089,0.05%,0.52
2021-05-08,HOU,TOR,"L,4-8",2,1.0,0,0,0,0,1,0,0,4.24,3,11,7,1,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.40,0.031,0.02%,0.53
2021-05-09,HOU,TOR,"W,7-4",0,1.0,0,0,0,0,0,0,0,4.00,2,8,6,1,1,1,1,0,1,0,,1,0,0,0,0,2,0,0,0,1,0,0,1.39,0.089,0.06%,0.92
2021-05-13,HOU,TEX,"W,4-3",3,1.0,0,0,0,1,1,0,0,3.79,3,17,8,1,4,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,4.22,0.315,0.24%,1.16
2021-05-15,HOU,TEX,"W,6-5",1,2.0,1,0,0,0,1,0,0,3.43,7,22,15,3,3,3,3,0,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.92,0.099,0.08%,1.05
2021-05-18,HOU,OAK,"L,5-6",2,1.0,1,1,1,1,0,0,0,3.68,5,14,8,1,1,3,1,0,0,0,,2,0,0,0,0,3,0,0,0,0,1,0,3.21,-0.257,-0.24%,-0.24
2021-05-20,HOU,OAK,"W,8-4",1,1.0,1,0,0,0,0,0,0,3.52,4,15,8,3,1,3,1,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,1.33,0.054,0.06%,0.50
2021-05-21,HOU,TEX,"L,5-7",0,0.2,1,3,2,1,1,1,0,4.18,4,16,7,1,2,0,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,5.85,-0.551,-0.47%,-1.97
2021-05-23,HOU,TEX,"L,2-3",1,1.0,2,1,1,0,1,0,0,4.38,4,13,9,4,2,0,3,2,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.75,-0.074,-0.06%,-0.48
2021-05-26,HOU,LAD,"W,5-2",2,1.0,0,0,0,2,1,0,0,4.21,5,24,10,2,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.63,0.035,0.03%,0.53
2021-07-06,HOU,OAK,"W,9-6",40,2.0,1,0,0,0,2,0,0,3.90,7,24,16,7,2,0,5,1,1,0,,0,0,0,0,0,7,1,0,0,0,0,0,1.09,0.126,0.13%,1.05
2021-07-09,HOU,NYY,"L,0-4",2,0.1,2,2,2,1,0,0,0,4.50,5,28,15,3,3,3,1,1,0,0,,0,0,1,0,0,4,2,0,0,0,0,1,.61,-0.143,-0.11%,-2.69
2021-07-11,HOU,NYY,"W,8-7",1,1.0,1,1,1,1,1,0,0,4.66,5,25,13,7,1,2,1,0,0,0,,0,0,1,0,0,4,0,0,0,0,0,0,.92,-0.086,-0.07%,-0.47
2021-07-16,HOU,CHW,"W,7-1",4,1.0,0,0,0,0,0,0,0,4.50,3,12,7,2,1,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.11,0.008,0.01%,0.53
2021-07-20,HOU,CLE,"W,9-3",3,1.0,1,0,0,1,1,0,0,4.35,5,21,12,2,4,2,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.03,0.002,0.00%,0.53
2021-07-21,HOU,CLE,"L,4-5",0,1.0,1,0,0,0,3,0,0,4.22,4,15,12,2,5,0,1,1,0,0,,3,3,0,0,0,4,1,0,0,0,0,0,3.23,-0.134,-0.11%,-0.63
2021-07-24,HOU,TEX,"W,4-1",2,1.0,0,0,0,0,2,0,0,4.09,4,21,13,3,4,1,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,1,1.16,0.049,0.04%,0.53
2021-07-26,HOU,SEA,"L,8-11",1,1.0,1,1,1,1,2,0,0,4.24,5,23,13,3,4,1,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.26,-0.079,-0.07%,-0.63
2021-07-28,HOU,SEA,"W,11-4",1,1.1,2,0,0,0,1,0,0,4.08,6,29,18,3,2,1,4,2,1,0,,3,0,0,0,0,6,0,0,0,0,0,0,.33,0.041,0.03%,1.26
2021-08-29,HOU,TEX,"L,2-13",31,0.2,5,7,7,1,1,1,1,5.75,9,37,20,2,6,1,5,3,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,.22,-0.067,-0.03%,-5.81
