date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-03-30,COL,ARI,"L,8-9",99,1.0,0,0,0,1,1,0,0,0.00,4,13,5,2,0,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.44,0.031,0.02%,0.51
2018-03-31,COL,ARI,"W,2-1",0,1.0,1,0,0,0,0,0,0,0.00,3,12,8,3,1,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,1.56,0.088,0.05%,0.51
2018-04-02,COL,SDP,"W,7-4",1,1.0,1,0,0,0,0,0,0,0.00,4,15,9,2,2,1,3,1,1,0,,0,0,0,0,0,4,1,0,0,0,0,0,1.04,0.048,0.03%,0.45
2018-04-04,COL,SDP,"W,5-2",1,0.1,1,0,0,0,0,0,0,0.00,2,3,3,1,0,1,1,0,0,0,,1,1,0,0,0,2,0,0,0,0,0,0,.53,-0.005,0.00%,-0.70
2018-04-07,COL,ATL,"W,3-2",2,1.0,1,0,0,0,0,0,0,0.00,3,9,6,1,2,1,2,1,1,0,,0,0,0,0,0,3,0,0,0,1,0,0,1.75,0.101,0.06%,0.57
2018-04-09,COL,SDP,"L,6-7",1,1.1,1,0,0,0,1,0,0,0.00,5,22,12,2,3,2,2,1,0,0,,2,0,1,0,0,5,0,0,0,0,0,0,1.40,0.112,0.07%,1.04
2018-04-10,COL,SDP,"L,2-5",0,1.0,3,3,3,0,0,1,0,4.05,6,14,9,1,0,3,3,2,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,1.35,-0.358,-0.22%,-2.43
2018-04-12,COL,WSN,"W,5-1",1,1.0,1,0,0,0,1,0,0,3.52,4,20,11,4,0,2,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.38,0.029,0.02%,0.51
2018-04-13,COL,WSN,"W,2-1",0,1.0,0,0,0,0,2,0,0,3.12,3,16,11,2,5,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.42,0.109,0.07%,0.51
2018-04-15,COL,WSN,"W,6-5",1,0.2,2,1,1,2,1,1,0,3.86,6,25,15,2,1,0,3,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,1.67,-0.208,-0.12%,-1.27
2018-04-17,COL,PIT,"W,2-0",1,0.1,0,0,0,0,0,0,0,3.72,1,6,3,1,1,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,2.37,0.096,0.06%,0.70
2018-04-20,COL,CHC,"L,5-16",2,0.2,4,5,5,1,1,1,0,7.84,7,29,17,3,1,1,4,3,0,0,,1,1,0,0,0,6,1,0,0,0,0,0,.38,-0.092,-0.06%,-4.63
2018-04-22,COL,CHC,"L,7-9",1,0.1,2,0,0,0,1,0,0,7.59,3,11,7,0,4,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.92,-0.052,-0.03%,-0.68
2018-04-24,COL,SDP,"W,8-0",1,1.0,0,0,0,0,3,0,0,6.94,3,13,10,1,5,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.02,0.002,0.00%,0.57
2018-04-25,COL,SDP,"W,5-2",0,1.0,0,1,1,2,1,0,0,7.11,5,20,9,2,1,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,1,0,1.00,0.003,0.00%,-0.43
2018-04-27,COL,MIA,"W,1-0",1,1.0,0,0,0,0,0,0,0,6.59,3,12,9,3,1,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.15,0.085,0.05%,0.45
2018-04-29,COL,MIA,"L,0-3",1,1.0,1,1,1,2,1,0,0,6.75,6,22,10,4,2,1,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,1,0,.34,-0.026,-0.02%,-0.55
2018-05-04,COL,NYM,"W,8-7",4,1.0,1,0,0,1,2,0,0,6.32,5,23,14,5,2,2,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.16,0.009,0.01%,0.44
2018-05-06,COL,NYM,"W,3-2",1,0.2,0,0,0,0,2,0,0,6.06,2,10,6,2,4,0,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,2.11,0.102,0.07%,0.35
2018-05-10,COL,MIL,"L,2-5",3,1.0,0,0,0,1,2,0,0,5.71,3,17,8,2,3,0,0,0,0,0,,0,0,0,1,0,2,0,0,0,0,0,0,.32,0.019,0.01%,0.57
2018-05-11,COL,MIL,"L,10-11",0,1.0,1,0,0,0,0,0,0,5.40,3,11,6,3,0,2,1,0,0,0,,0,0,0,0,0,3,1,0,0,1,0,0,1.75,0.077,0.05%,0.57
2018-05-12,COL,MIL,"W,4-0",0,0.1,0,0,0,0,0,0,0,5.30,1,5,3,0,2,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,1.57,0.026,0.02%,0.33
2018-05-14,COL,SDP,"W,6-4",1,1.1,1,0,0,1,2,0,0,4.95,5,24,15,6,2,1,1,1,0,0,,1,1,0,0,0,4,0,0,0,1,0,0,1.38,0.032,0.02%,-0.21
2018-05-17,COL,SFG,"W,5-3",2,1.0,0,0,0,0,3,0,0,4.71,3,16,11,4,4,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.13,0.083,0.07%,0.45
2018-05-18,COL,SFG,"W,6-1",0,1.1,0,0,0,0,2,0,0,4.43,4,19,13,5,4,2,0,0,0,0,,2,0,0,0,0,4,0,0,0,0,0,0,.93,0.095,0.08%,0.92
2018-05-20,COL,SFG,"L,5-9",1,1.0,2,2,2,1,0,0,0,5.01,6,23,14,2,2,2,3,1,0,0,,2,2,0,0,0,5,0,1,0,0,0,0,2.32,-0.322,-0.29%,-1.55
2018-05-22,COL,LAD,"L,3-5",1,1.0,3,3,3,0,0,2,0,5.92,6,19,12,2,1,2,4,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,1.25,-0.443,-0.38%,-2.53
2018-05-26,COL,CIN,"L,5-6",3,1.0,2,1,1,0,1,0,0,6.04,5,18,11,3,2,3,1,1,0,0,,1,1,0,0,0,5,0,0,0,0,0,0,1.23,-0.102,-0.08%,-0.51
2018-05-28,COL,SFG,"W,6-5",1,1.0,2,0,0,0,0,0,0,5.81,5,16,12,2,2,3,2,2,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,3.81,0.150,0.14%,0.57
2018-05-29,COL,SFG,"W,11-4",0,1.0,1,1,1,0,2,1,0,5.93,4,23,12,2,3,1,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.08,0.002,0.00%,-0.43
2018-06-01,COL,LAD,"L,8-11",2,1.0,0,0,0,0,0,0,0,5.72,3,9,6,0,1,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.44,0.035,0.03%,0.57
2018-06-02,COL,LAD,"L,4-12",0,0.1,3,3,3,0,0,1,0,6.59,4,23,14,3,2,3,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.83,-0.372,-0.33%,-2.74
2018-06-05,COL,CIN,"W,9-6",2,0.2,5,3,3,0,0,0,0,7.36,7,17,14,3,1,1,6,5,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,.23,-0.041,-0.03%,-3.00
2018-06-07,COL,CIN,"L,5-7",1,2.0,1,0,0,2,0,0,0,6.89,7,24,11,4,1,5,0,0,0,0,,0,0,0,0,0,4,0,0,0,2,0,0,2.84,0.272,0.21%,0.99
2018-06-09,COL,ARI,"L,7-12",1,0.2,4,6,1,2,2,0,0,7.03,9,36,20,4,6,3,2,1,0,0,,0,0,1,0,0,7,1,0,1,0,0,1,2.11,-0.709,-0.59%,-5.78
2018-06-12,COL,PHI,"L,4-5",2,1.0,1,1,1,1,1,0,0,7.09,5,20,12,3,2,1,2,1,1,0,,0,0,1,0,0,4,0,0,0,0,0,0,.09,-0.012,-0.01%,-0.51
2018-06-16,COL,TEX,"L,2-5",3,1.0,0,0,0,0,1,0,0,6.88,3,13,8,2,1,1,1,0,0,0,,1,1,0,0,0,2,0,0,0,0,1,0,.15,0.003,0.00%,0.49
2018-06-17,COL,TEX,"L,12-13",0,0.1,1,1,1,1,0,0,0,7.08,3,8,3,1,0,1,1,0,0,0,,1,1,0,0,0,2,1,0,0,0,0,0,1.95,-0.167,-0.08%,-1.36
