date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2021-04-01,KCR,TEX,"W,14-10",99,3.0,3,2,2,1,5,0,0,6.00,12,44,31,8,8,2,4,1,0,0,,0,0,0,0,0,11,0,0,0,0,0,0,1.01,-0.029,-0.02%,-0.36
2021-04-08,KCR,CHW,"L,0-6",6,0.1,3,2,2,1,0,0,0,10.80,5,27,14,4,2,3,1,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.30,-0.038,-0.03%,-2.41
2021-04-12,KCR,LAA,"L,3-10",3,0.0,0,0,0,3,0,0,0,10.80,3,11,3,1,0,0,0,0,0,0,,1,1,0,0,0,0,0,0,1,0,0,0,.76,-0.061,-0.04%,-1.46
2021-05-29,KCR,MIN,"L,5-6",46,4.1,4,3,3,3,6,0,0,8.22,20,72,45,12,8,5,6,2,0,0,,1,1,0,0,0,17,2,0,0,0,0,1,.88,-0.171,-0.10%,-1.25
2021-06-12,KCR,OAK,"L,2-11",13,1.1,2,1,1,0,2,1,0,8.00,6,21,16,4,2,1,3,2,0,0,,2,0,0,0,0,6,0,0,0,0,0,0,.10,-0.002,0.00%,-0.01
2021-06-16,KCR,DET,"L,5-6",3,3.0,2,0,0,0,4,0,1,6.00,11,44,30,8,9,4,2,1,0,0,,0,0,0,0,0,10,0,1,0,1,0,0,1.18,0.191,0.04%,1.64
2021-06-20,KCR,BOS,"W,7-3",3,0.0,2,1,1,1,0,1,0,6.75,3,13,7,1,0,0,2,2,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.62,-0.092,-0.02%,-2.01
2021-06-23,KCR,NYY,"L,5-6",2,2.0,1,2,2,3,2,0,0,7.07,10,54,28,7,5,1,4,1,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,1.37,-0.120,-0.03%,-0.96
2021-06-25,KCR,TEX,"L,4-9",1,1.0,0,0,0,1,1,0,0,6.60,4,18,9,4,0,0,2,1,0,0,,1,1,0,0,0,2,0,0,0,0,1,0,.02,-0.002,0.00%,0.14
2021-06-28,KCR,BOS,"L,5-6",2,2.0,1,0,0,2,3,0,0,5.82,9,39,23,5,9,3,1,0,1,0,,0,0,0,0,0,7,0,0,0,1,0,1,.96,0.086,0.01%,1.14
2021-07-04,KCR,MIN,"L,2-6",5,1.0,0,0,0,0,1,0,0,5.50,3,9,5,0,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.06,0.005,0.00%,0.55
2021-07-06,KCR,CIN,"W,7-6",1,3.2,3,1,1,0,6,0,0,4.98,14,59,41,4,14,2,6,3,0,0,,2,0,0,0,0,14,2,0,0,0,0,0,.27,0.023,0.00%,1.60
2021-07-18,KCR,BAL,"L,0-5",11,4.0,3,2,2,2,6,0,1,4.91,18,78,44,8,9,3,6,2,1,0,52,,,0,0,0,15,0,0,0,0,0,0,1.26,-0.018,0.00%,0.19
2021-07-24,KCR,DET,"W,9-8",5,2.2,2,5,5,4,2,1,0,6.04,14,53,27,5,3,2,6,3,0,0,32,,,0,0,0,9,0,0,0,0,1,0,1.22,-0.280,0.00%,-3.47
2021-07-29,KCR,CHW,"W,5-0",4,6.0,4,0,0,1,4,0,0,4.98,21,84,53,15,7,5,11,4,1,0,67,,,0,0,0,20,1,0,0,2,0,0,.75,0.246,0.01%,3.28
2021-08-04,KCR,CHW,"W,9-1",5,5.0,2,1,1,2,6,1,0,4.58,18,93,56,11,13,4,6,6,0,0,63,,,0,0,0,16,0,0,0,0,0,0,.65,0.155,0.00%,1.64
2021-08-09,KCR,NYY,"L,6-8",4,6.2,5,1,1,1,3,0,0,4.11,24,96,63,21,8,13,7,3,1,0,62,,,0,0,0,23,1,1,0,2,0,0,1.22,0.185,0.00%,2.30
2021-08-16,KCR,HOU,"W,7-6",6,6.0,8,4,4,0,1,2,1,4.33,25,72,45,9,2,10,13,6,1,0,41,,,0,0,0,24,1,0,0,1,0,0,1.09,-0.256,0.00%,-1.35
2021-08-22,KCR,CHC,"W,9-1",5,7.0,4,1,1,3,8,0,0,3.97,27,107,63,15,15,5,11,4,2,0,70,,,0,0,0,24,1,0,0,1,0,0,.57,0.169,0.00%,2.58
2021-08-27,KCR,SEA,"W,8-7",4,5.2,1,1,0,0,6,0,0,3.62,18,80,57,10,18,6,6,0,4,0,,0,0,0,0,0,17,0,0,0,0,1,0,1.76,0.383,0.00%,2.36
2021-09-03,KCR,CHW,"W,7-2",6,6.0,5,2,2,3,3,0,0,3.57,26,95,57,16,7,9,11,4,1,0,54,,,0,0,0,23,0,0,0,0,0,0,.66,0.182,0.00%,1.28
2021-09-09,KCR,BAL,"W,6-0",5,6.0,3,0,0,3,1,0,0,3.29,23,89,55,8,7,5,14,2,3,0,64,,,0,0,0,20,0,0,0,0,0,0,1.17,0.402,0.00%,3.22
2021-09-15,KCR,OAK,"L,10-12",5,4.0,9,7,7,4,3,1,0,3.90,24,87,49,9,6,5,12,7,1,0,15,,,1,1,0,20,0,0,0,0,0,0,1.26,-0.373,0.00%,-3.83
2021-09-24,KCR,DET,"W,3-1",8,5.0,2,0,0,3,1,0,1,3.68,20,89,51,9,5,7,8,4,1,0,61,,,0,0,0,16,0,0,0,1,0,0,1.16,0.299,0.00%,2.50
2020-09-01,KCR,CLE,"L,1-10",99,3.2,2,0,0,1,2,0,0,0.00,14,50,28,7,5,5,6,2,2,0,,2,0,0,0,0,13,1,0,0,0,0,0,.33,0.079,0.03%,2.65
2020-09-06,KCR,CHW,"L,2-8",4,2.2,3,1,1,1,2,0,1,1.42,12,44,28,6,4,3,5,3,0,0,,0,0,1,0,0,10,1,0,0,1,0,0,1.03,-0.004,0.00%,0.14
2020-09-12,KCR,PIT,"W,7-4",5,3.0,3,3,3,0,2,3,0,3.86,12,42,26,3,3,3,7,3,1,0,43,,,0,0,0,12,0,0,0,0,0,0,.62,-0.151,-0.01%,-1.33
2020-09-21,KCR,STL,"W,4-1",8,3.2,4,1,1,3,4,1,0,3.46,17,72,40,16,6,4,6,4,0,0,50,,,0,0,0,14,0,0,0,1,0,0,1.01,0.061,0.00%,0.77
2020-09-26,KCR,DET,"L,3-4",4,1.2,7,4,3,1,3,0,0,4.91,12,47,34,6,10,5,3,2,1,0,29,,,0,0,0,11,1,0,0,0,0,0,1.12,-0.280,0.00%,-3.14
